"Year","Metro / Non-Metro","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Metro","10,405","19,719,558","52.77","50.50","358,435"
"2021","Non-Metro","876","1,983,057","44.17","41.13","29,662"
"2020","Metro","9,782","19,634,432","49.82","47.40","340,806"
"2020","Non-Metro","821","1,974,161","41.59","38.22","27,911"
"2019","Metro","7,041","19,202,822","36.67","34.62","244,018"
"2019","Non-Metro","591","1,983,657","29.79","27.06","20,494"
"2018","Metro","6,550","19,021,317","34.44","32.42","225,965"
"2018","Non-Metro","531","1,987,010","26.72","24.59","17,936"
"Total","","36,597","85,506,014","42.80","40.48","1,265,227"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2018 to 2021","","","","","",""
"Geography: United States","","","","","",""
"Intent: Homicide","","","","","",""
"Mechanism: Firearm","","","","","",""
"Age: All Ages","","","","","",""
"Sex: Males","","","","","",""
"Race: Black","","","","","",""
"Ethnicity: All Ethnicities","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
