"Year","State","Age Group","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Alabama","0 to 4","--","42,727","--","--","--"
"2023","Alabama","5 to 9","--","44,402","--","--","--"
"2023","Alabama","10 to 14","--","45,639","--","--","--"
"2023","Alabama","15 to 19","56","50,400","111.11","--","2,646"
"2023","Alabama","20 to 24","85","48,929","173.72","--","3,642"
"2023","Alabama","25 to 29","68","44,991","151.14","--","2,580"
"2023","Alabama","30 to 34","48","48,325","99.33","--","1,588"
"2023","Alabama","35 to 39","41","39,729","103.20","--","1,145"
"2023","Alabama","40 to 44","44","38,662","113.81","--","993"
"2023","Alabama","45 to 49","24","34,302","69.97","--","448"
"2023","Alabama","50 to 54","15**","35,147","42.68**","--","189"
"2023","Alabama","55 to 59","13**","35,348","36.78**","--","104"
"2023","Alabama","60 to 64","--","35,833","--","--","--"
"2023","Alabama","65 to 69","--","31,114","--","--","--"
"2023","Alabama","70 to 74","--","22,854","--","--","--"
"2023","Alabama","75 to 79","--","13,349","--","--","--"
"2023","Alabama","80 to 84","0**","6,782","0.00**","--","--"
"2023","Alabama","85+","0**","4,585","0.00**","--","--"
"2023","Alaska","0 to 4","0**","638","0.00**","--","--"
"2023","Alaska","5 to 9","0**","757","0.00**","--","--"
"2023","Alaska","10 to 14","0**","640","0.00**","--","--"
"2023","Alaska","15 to 19","0**","707","0.00**","--","--"
"2023","Alaska","20 to 24","--","1,557","--","--","--"
"2023","Alaska","25 to 29","0**","1,482","0.00**","--","--"
"2023","Alaska","30 to 34","0**","1,465","0.00**","--","--"
"2023","Alaska","35 to 39","0**","1,189","0.00**","--","--"
"2023","Alaska","40 to 44","0**","974","0.00**","--","--"
"2023","Alaska","45 to 49","0**","860","0.00**","--","--"
"2023","Alaska","50 to 54","0**","825","0.00**","--","--"
"2023","Alaska","55 to 59","0**","702","0.00**","--","--"
"2023","Alaska","60 to 64","0**","715","0.00**","--","--"
