"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Alabama","446","622,064","71.70","70.67","15,288"
"2021","Alaska","--","13,520","--","--","--"
"2021","Arizona","76","175,937","43.20","39.71","2,477"
"2021","Arkansas","154","222,245","69.29","65.98","5,533"
"2021","California","513","1,104,177","46.46","43.44","16,580"
"2021","Colorado","48","128,702","37.30","33.94","1,424"
"2021","Connecticut","66","183,717","35.93","33.22","2,380"
"2021","Delaware","54","106,019","50.93","50.45","2,000"
"2021","District of Columbia","139","134,497","103.35","100.45","4,653"
"2021","Florida","613","1,636,008","37.47","36.02","21,331"
"2021","Georgia","688","1,615,422","42.59","40.68","23,472"
"2021","Hawaii","--","17,050","--","--","--"
"2021","Idaho","--","8,418","--","--","--"
"2021","Illinois","908","845,499","107.39","103.32","31,904"
"2021","Indiana","256","323,750","79.07","74.31","8,867"
"2021","Iowa","25","70,547","35.44","31.89","916"
"2021","Kansas","32","88,141","36.31","34.03","1,202"
"2021","Kentucky","187","188,389","99.26","90.91","6,554"
"2021","Louisiana","612","711,970","85.96","82.73","21,846"
"2021","Maine","0**","13,039","0.00**","0.00**","--"
"2021","Maryland","439","872,826","50.30","50.37","14,619"
"2021","Massachusetts","43","255,497","16.83","14.89","1,554"
"2021","Michigan","463","659,002","70.26","69.46","15,183"
"2021","Minnesota","88","209,797","41.95","40.63","2,978"
"2021","Mississippi","412","521,577","78.99","78.42","13,971"
"2021","Missouri","375","339,088","110.59","109.48","12,549"
"2021","Montana","--","3,685","--","--","--"
"2021","Nebraska","20**","50,777","39.39**","35.96**","763"
"2021","Nevada","82","149,701","54.78","50.71","2,664"
"2021","New Hampshire","--","11,995","--","--","--"
"2021","New Jersey","181","574,463","31.51","30.60","6,184"
"2021","New Mexico","14**","23,495","59.59**","54.49**","342"
"2021","New York","388","1,344,678","28.85","27.75","13,395"
"2021","North Carolina","491","1,054,770","46.55","44.35","17,124"
"2021","North Dakota","--","14,584","--","--","--"
"2021","Ohio","541","727,832","74.33","72.53","18,617"
"2021","Oklahoma","75","149,355","50.22","46.89","2,530"
"2021","Oregon","28","46,101","60.74","53.75","943"
"2021","Pennsylvania","545","687,100","79.32","72.69","19,502"
"2021","Rhode Island","--","34,329","--","--","--"
"2021","South Carolina","343","632,077","54.27","53.38","12,217"
"2021","South Dakota","--","12,291","--","--","--"
"2021","Tennessee","411","548,422","74.94","72.10","14,323"
"2021","Texas","750","1,761,117","42.59","39.76","25,461"
"2021","Utah","--","22,933","--","--","--"
"2021","Vermont","0**","5,047","0.00**","0.00**","--"
"2021","Virginia","322","800,308","40.24","39.49","10,881"
"2021","Washington","55","173,197","31.76","28.42","1,783"
"2021","West Virginia","18**","34,997","51.43**","47.99**","559"
"2021","Wisconsin","187","187,361","99.81","93.16","6,535"
"2021","Wyoming","0**","3,591","0.00**","0.00**","--"
"2020","Alabama","385","621,793","61.92","60.79","13,189"
"2020","Alaska","--","13,518","--","--","--"
"2020","Arizona","72","170,699","42.18","39.16","2,382"
"2020","Arkansas","151","222,075","68.00","67.80","5,060"
"2020","California","498","1,110,727","44.84","42.62","15,776"
"2020","Colorado","56","126,986","44.10","40.87","2,012"
"2020","Connecticut","58","181,489","31.96","29.81","1,979"
"2020","Delaware","61","104,384","58.44","56.30","2,244"
"2020","District of Columbia","129","137,768","93.64","92.89","4,568"
"2020","Florida","656","1,624,388","40.38","38.39","23,009"
"2020","Georgia","619","1,600,875","38.67","36.89","21,251"
"2020","Hawaii","0**","17,403","0.00**","0.00**","--"
"2020","Idaho","0**","8,070","0.00**","0.00**","--"
"2020","Illinois","841","852,893","98.61","94.04","29,474"
"2020","Indiana","261","319,702","81.64","75.83","9,533"
"2020","Iowa","38","68,138","55.77","45.71","1,519"
"2020","Kansas","59","87,968","67.07","62.71","1,891"
"2020","Kentucky","138","186,682","73.92","65.93","4,922"
"2020","Louisiana","571","716,701","79.67","77.33","19,949"
"2020","Maine","--","12,595","--","--","--"
"2020","Maryland","409","872,357","46.88","46.00","14,327"
"2020","Massachusetts","60","254,628","23.56","21.34","2,150"
"2020","Michigan","451","660,343","68.30","66.52","14,969"
"2020","Minnesota","74","205,378","36.03","32.73","2,633"
"2020","Mississippi","341","523,837","65.10","64.12","11,382"
"2020","Missouri","429","339,903","126.21","122.70","14,902"
"2020","Montana","--","3,549","--","--","--"
"2020","Nebraska","18**","50,494","35.65**","33.00**","614"
"2020","Nevada","52","146,148","35.58","34.91","1,775"
"2020","New Hampshire","0**","11,668","0.00**","0.00**","--"
"2020","New Jersey","171","573,894","29.80","28.35","5,853"
"2020","New Mexico","11**","23,191","47.43**","41.60**","388"
"2020","New York","354","1,365,130","25.93","24.78","12,453"
"2020","North Carolina","434","1,047,508","41.43","39.67","15,190"
"2020","North Dakota","--","14,768","--","--","--"
"2020","Ohio","537","724,248","74.15","72.09","19,268"
"2020","Oklahoma","70","148,045","47.28","44.05","2,356"
"2020","Oregon","20**","45,480","43.98**","41.52**","656"
"2020","Pennsylvania","542","686,837","78.91","72.27","19,827"
"2020","Rhode Island","--","33,983","--","--","--"
"2020","South Carolina","359","630,748","56.92","54.89","12,979"
"2020","South Dakota","--","11,971","--","--","--"
"2020","Tennessee","406","547,347","74.18","70.16","14,040"
"2020","Texas","667","1,732,519","38.50","35.64","22,678"
