"Year","State","Age Group","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Alabama","0 to 4","--","45,296","--","--","--"
"2021","Alabama","5 to 9","0**","45,111","0.00**","--","--"
"2021","Alabama","10 to 14","--","48,969","--","--","--"
"2021","Alabama","15 to 19","64","47,947","133.48","--","3,031"
"2021","Alabama","20 to 24","103","48,842","210.88","--","4,417"
"2021","Alabama","25 to 29","82","48,465","169.19","--","3,118"
"2021","Alabama","30 to 34","51","46,844","108.87","--","1,690"
"2021","Alabama","35 to 39","43","39,770","108.12","--","1,206"
"2021","Alabama","40 to 44","33","38,790","85.07","--","753"
"2021","Alabama","45 to 49","25","35,404","70.61","--","447"
"2021","Alabama","50 to 54","--","35,757","--","--","--"
"2021","Alabama","55 to 59","11**","37,997","28.95**","--","83"
"2021","Alabama","60 to 64","10**","36,820","27.16**","--","36"
"2021","Alabama","65 to 69","--","30,309","--","--","--"
"2021","Alabama","70 to 74","--","21,963","--","--","--"
"2021","Alabama","75 to 79","--","11,450","--","--","--"
"2021","Alabama","80 to 84","--","6,486","--","--","--"
"2021","Alabama","85+","--","4,440","--","--","--"
"2021","Alaska","0 to 4","0**","904","0.00**","--","--"
"2021","Alaska","5 to 9","0**","880","0.00**","--","--"
"2021","Alaska","10 to 14","0**","807","0.00**","--","--"
"2021","Alaska","15 to 19","--","873","--","--","--"
"2021","Alaska","20 to 24","0**","1,729","0.00**","--","--"
"2021","Alaska","25 to 29","--","1,658","--","--","--"
"2021","Alaska","30 to 34","0**","1,465","0.00**","--","--"
"2021","Alaska","35 to 39","0**","1,306","0.00**","--","--"
"2021","Alaska","40 to 44","0**","1,044","0.00**","--","--"
"2021","Alaska","45 to 49","0**","926","0.00**","--","--"
"2021","Alaska","50 to 54","0**","865","0.00**","--","--"
"2021","Alaska","55 to 59","0**","762","0.00**","--","--"
"2021","Alaska","60 to 64","0**","759","0.00**","--","--"
"2021","Alaska","65 to 69","0**","545","0.00**","--","--"
"2021","Alaska","70 to 74","0**","310","0.00**","--","--"
