"Year","State","Metro / Non-Metro","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Alabama","Metro","364","504,012","72.22","70.62","12,600"
"2021","Alabama","Non-Metro","82","126,648","64.75","65.81","2,688"
"2021","Alaska","Metro","--","12,735","--","--","--"
"2021","Alaska","Non-Metro","0**","2,385","0.00**","0.00**","--"
"2021","Arizona","Metro","80","201,621","39.68","36.69","2,631"
"2021","Arizona","Non-Metro","0**","2,325","0.00**","0.00**","--"
"2021","Arkansas","Metro","108","153,691","70.27","64.82","3,927"
"2021","Arkansas","Non-Metro","46","73,112","62.92","65.12","1,606"
"2021","California","Metro","522","1,265,070","41.26","38.30","16,886"
"2021","California","Non-Metro","0**","11,142","0.00**","0.00**","--"
"2021","Colorado","Metro","52","136,321","38.15","34.75","1,562"
"2021","Colorado","Non-Metro","0**","9,382","0.00**","0.00**","--"
"2021","Connecticut","Metro","74","216,665","34.15","31.07","2,679"
"2021","Connecticut","Non-Metro","0**","2,882","0.00**","0.00**","--"
"2021","Delaware","Metro","55","112,090","49.07","48.33","2,045"
"2021","District of Columbia","Metro","142","139,783","101.59","99.24","4,731"
"2021","Florida","Metro","613","1,734,110","35.35","34.12","21,337"
"2021","Florida","Non-Metro","17**","64,257","26.46**","24.77**","560"
"2021","Georgia","Metro","620","1,440,533","43.04","41.24","21,221"
"2021","Georgia","Non-Metro","72","228,085","31.57","29.97","2,415"
"2021","Hawaii","Metro","--","17,443","--","--","--"
"2021","Hawaii","Non-Metro","0**","1,390","0.00**","0.00**","--"
"2021","Idaho","Metro","--","7,113","--","--","--"
"2021","Idaho","Non-Metro","0**","2,983","0.00**","0.00**","--"
"2021","Illinois","Metro","906","842,532","107.53","105.00","31,881"
"2021","Illinois","Non-Metro","--","40,284","--","--","--"
"2021","Indiana","Metro","255","321,311","79.36","75.01","8,872"
"2021","Indiana","Non-Metro","--","16,122","--","--","--"
"2021","Iowa","Metro","19**","58,953","32.23**","28.87**","724"
"2021","Iowa","Non-Metro","--","15,125","--","--","--"
"2021","Kansas","Metro","34","78,315","43.41","42.13","1,255"
"2021","Kansas","Non-Metro","--","16,425","--","--","--"
"2021","Kentucky","Metro","181","157,961","114.59","107.42","6,344"
"2021","Kentucky","Non-Metro","--","36,815","--","--","--"
"2021","Louisiana","Metro","556","609,727","91.19","88.91","19,850"
"2021","Louisiana","Non-Metro","60","115,567","51.92","48.60","2,108"
"2021","Maine","Metro","--","11,089","--","--","--"
"2021","Maine","Non-Metro","0**","2,692","0.00**","0.00**","--"
"2021","Maryland","Metro","435","899,829","48.34","48.34","14,541"
"2021","Maryland","Non-Metro","--","10,267","--","--","--"
"2021","Massachusetts","Metro","46","315,559","14.58","12.91","1,665"
"2021","Massachusetts","Non-Metro","0**","2,210","0.00**","0.00**","--"
"2021","Michigan","Metro","467","652,620","71.56","71.89","15,329"
"2021","Michigan","Non-Metro","--","23,976","--","--","--"
"2021","Minnesota","Metro","86","203,586","42.24","40.86","2,946"
"2021","Minnesota","Non-Metro","--","13,513","--","--","--"
"2021","Mississippi","Metro","197","240,061","82.06","80.85","6,689"
