"Year","Intent","Age Group","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Unintentional","0 to 4","44","18,511,160","0.24","--","2,745"
"2023","Unintentional","5 to 9","16**","20,152,757","0.08**","--","941"
"2023","Unintentional","10 to 14","32","20,834,564","0.15","--","1,682"
"2023","Unintentional","15 to 19","51","22,075,480","0.23","--","2,461"
"2023","Unintentional","20 to 24","62","21,811,172","0.28","--","2,657"
"2023","Unintentional","25 to 29","44","22,018,360","0.20","--","1,691"
"2023","Unintentional","30 to 34","36","23,524,156","0.15","--","1,202"
"2023","Unintentional","35 to 39","16**","22,506,644","0.07**","--","438"
"2023","Unintentional","40 to 44","24","21,884,049","0.11","--","561"
"2023","Unintentional","45 to 49","19**","19,817,010","0.10**","--","345"
"2023","Unintentional","50 to 54","19**","20,676,771","0.09**","--","245"
"2023","Unintentional","55 to 59","30","20,606,257","0.15","--","239"
"2023","Unintentional","60 to 64","11**","21,248,154","0.05**","--","32"
"2023","Unintentional","65 to 69","13**","19,150,728","0.07**","--","0"
"2023","Unintentional","70 to 74","12**","15,534,556","0.08**","--","0"
"2023","Unintentional","75 to 79","17**","11,387,417","0.15**","--","0"
"2023","Unintentional","80 to 84","11**","6,980,680","0.16**","--","0"
"2023","Unintentional","85+","--","6,194,980","--","--","--"
"2023","Homicide","0 to 4","77","18,511,160","0.42","--","4,838"
"2023","Homicide","5 to 9","91","20,152,757","0.45","--","5,267"
"2023","Homicide","10 to 14","292","20,834,564","1.40","--","15,206"
"2023","Homicide","15 to 19","2,487","22,075,480","11.27","--","118,318"
"2023","Homicide","20 to 24","2,823","21,811,172","12.94","--","121,535"
"2023","Homicide","25 to 29","2,452","22,018,360","11.14","--","93,218"
"2023","Homicide","30 to 34","2,558","23,524,156","10.87","--","84,548"
"2023","Homicide","35 to 39","1,962","22,506,644","8.72","--","55,136"
"2023","Homicide","40 to 44","1,667","21,884,049","7.62","--","38,520"
"2023","Homicide","45 to 49","1,067","19,817,010","5.38","--","19,496"
"2023","Homicide","50 to 54","785","20,676,771","3.80","--","10,272"
"2023","Homicide","55 to 59","612","20,606,257","2.97","--","4,917"
"2023","Homicide","60 to 64","432","21,248,154","2.03","--","1,330"
"2023","Homicide","65 to 69","282","19,150,728","1.47","--","0"
"2023","Homicide","70 to 74","174","15,534,556","1.12","--","0"
"2023","Homicide","75 to 79","87","11,387,417","0.76","--","0"
"2023","Homicide","80 to 84","54","6,980,680","0.77","--","0"
"2023","Homicide","85+","25","6,194,980","0.40","--","0"
"2023","Legal Intervention","10 to 14","--","20,834,564","--","--","--"
"2023","Legal Intervention","15 to 19","28","22,075,480","0.13","--","1,329"
"2023","Legal Intervention","20 to 24","62","21,811,172","0.28","--","2,670"
"2023","Legal Intervention","25 to 29","79","22,018,360","0.36","--","2,980"
"2023","Legal Intervention","30 to 34","96","23,524,156","0.41","--","3,147"
"2023","Legal Intervention","35 to 39","91","22,506,644","0.40","--","2,549"
"2023","Legal Intervention","40 to 44","69","21,884,049","0.32","--","1,577"
"2023","Legal Intervention","45 to 49","59","19,817,010","0.30","--","1,077"
"2023","Legal Intervention","50 to 54","40","20,676,771","0.19","--","515"
"2023","Legal Intervention","55 to 59","31","20,606,257","0.15","--","235"
"2023","Legal Intervention","60 to 64","21","21,248,154","0.10","--","68"
"2023","Legal Intervention","65 to 69","15**","19,150,728","0.08**","--","0"
"2023","Legal Intervention","70 to 74","--","15,534,556","--","--","--"
"2023","Legal Intervention","75 to 79","--","11,387,417","--","--","--"
"2023","Legal Intervention","80 to 84","--","6,980,680","--","--","--"
"2023","Legal Intervention","85+","--","6,194,980","--","--","--"
"2023","Suicide","5 to 9","--","20,152,757","--","--","--"
"2023","Suicide","10 to 14","186","20,834,564","0.89","--","9,606"
"2023","Suicide","15 to 19","1,066","22,075,480","4.83","--","50,868"
"2023","Suicide","20 to 24","2,208","21,811,172","10.12","--","94,590"
"2023","Suicide","25 to 29","2,162","22,018,360","9.82","--","82,239"
"2023","Suicide","30 to 34","2,080","23,524,156","8.84","--","68,629"
"2023","Suicide","35 to 39","2,002","22,506,644","8.90","--","56,140"
"2023","Suicide","40 to 44","2,008","21,884,049","9.18","--","46,216"
"2023","Suicide","45 to 49","1,823","19,817,010","9.20","--","32,731"
"2023","Suicide","50 to 54","2,037","20,676,771","9.85","--","26,316"
"2023","Suicide","55 to 59","2,168","20,606,257","10.52","--","17,133"
"2023","Suicide","60 to 64","2,180","21,248,154","10.26","--","6,592"
"2023","Suicide","65 to 69","1,883","19,150,728","9.83","--","0"
"2023","Suicide","70 to 74","1,702","15,534,556","10.96","--","0"
"2023","Suicide","75 to 79","1,576","11,387,417","13.84","--","0"
"2023","Suicide","80 to 84","1,157","6,980,680","16.57","--","0"
"2023","Suicide","85+","1,061","6,194,980","17.13","--","0"
"2023","Undetermined","0 to 4","12**","18,511,160","0.07**","--","746"
"2023","Undetermined","5 to 9","--","20,152,757","--","--","--"
"2023","Undetermined","10 to 14","19**","20,834,564","0.09**","--","993"
"2023","Undetermined","15 to 19","59","22,075,480","0.27","--","2,823"
"2023","Undetermined","20 to 24","59","21,811,172","0.27","--","2,542"
"2023","Undetermined","25 to 29","47","22,018,360","0.21","--","1,799"
"2023","Undetermined","30 to 34","51","23,524,156","0.22","--","1,684"
"2023","Undetermined","35 to 39","28","22,506,644","0.12","--","802"
"2023","Undetermined","40 to 44","33","21,884,049","0.15","--","760"
"2023","Undetermined","45 to 49","24","19,817,010","0.12","--","451"
