"Year","Intent","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Unintentional","463","334,914,895","0.14","0.14","15,239"
"2023","Homicide","17,927","334,914,895","5.35","5.63","572,601"
"2023","Legal Intervention","604","334,914,895","0.18","0.19","16,198"
"2023","Suicide","27,300","334,914,895","8.15","7.63","491,120"
"2023","Undetermined","434","334,914,895","0.13","0.13","13,532"
"2022","Unintentional","463","333,271,411","0.14","0.14","15,155"
"2022","Homicide","19,651","333,271,411","5.90","6.20","634,233"
"2022","Legal Intervention","643","333,271,411","0.19","0.20","17,220"
"2022","Suicide","27,032","333,271,411","8.11","7.59","482,962"
"2022","Undetermined","415","333,271,411","0.13","0.13","12,307"
"2021","Unintentional","549","332,048,977","0.17","0.17","17,808"
"2021","Homicide","20,958","332,048,977","6.31","6.62","683,036"
"2021","Legal Intervention","537","332,048,977","0.16","0.17","15,219"
"2021","Suicide","26,328","332,048,977","7.93","7.50","494,753"
"2021","Undetermined","458","332,048,977","0.14","0.14","14,299"
"2020","Unintentional","535","331,526,933","0.16","0.17","17,319"
"2020","Homicide","19,384","331,526,933","5.85","6.12","636,697"
"2020","Legal Intervention","611","331,526,933","0.18","0.19","16,623"
"2020","Suicide","24,292","331,526,933","7.33","6.93","448,175"
"2020","Undetermined","400","331,526,933","0.12","0.12","12,291"
"2019","Unintentional","486","328,329,953","0.15","0.15","14,191"
"2019","Homicide","14,414","328,329,953","4.39","4.57","466,645"
"2019","Legal Intervention","520","328,329,953","0.16","0.17","14,193"
"2019","Suicide","23,941","328,329,953","7.29","6.83","419,871"
"2019","Undetermined","346","328,329,953","0.11","0.11","10,123"
"2018","Unintentional","458","326,838,199","0.14","0.14","14,047"
"2018","Homicide","13,958","326,838,199","4.27","4.42","447,683"
"2018","Legal Intervention","539","326,838,199","0.17","0.17","14,733"
"2018","Suicide","24,432","326,838,199","7.48","7.02","432,177"
"2018","Undetermined","353","326,838,199","0.11","0.11","10,545"
"2017","Unintentional","486","325,122,128","0.15","0.15","15,040"
"2017","Homicide","14,542","325,122,128","4.47","4.61","470,809"
"2017","Legal Intervention","553","325,122,128","0.17","0.18","15,812"
"2017","Suicide","23,854","325,122,128","7.34","6.93","428,783"
"2017","Undetermined","338","325,122,128","0.10","0.10","9,520"
"2016","Unintentional","495","323,071,755","0.15","0.15","14,967"
"2016","Homicide","14,415","323,071,755","4.46","4.60","472,087"
"2016","Legal Intervention","510","323,071,755","0.16","0.16","14,339"
"2016","Suicide","22,938","323,071,755","7.10","6.72","407,193"
"2016","Undetermined","300","323,071,755","0.09","0.09","8,283"
"2015","Unintentional","489","320,738,994","0.15","0.15","13,894"
"2015","Homicide","12,979","320,738,994","4.05","4.14","423,404"
"2015","Legal Intervention","484","320,738,994","0.15","0.15","13,400"
"2015","Suicide","22,018","320,738,994","6.87","6.50","384,262"
"2015","Undetermined","282","320,738,994","0.09","0.09","7,511"
"2014","Unintentional","461","318,386,329","0.15","0.14","12,819"
"2014","Homicide","11,008","318,386,329","3.46","3.53","360,488"
"2014","Legal Intervention","464","318,386,329","0.15","0.15","13,449"
"2014","Suicide","21,386","318,386,329","6.72","6.36","366,083"
"2014","Undetermined","275","318,386,329","0.09","0.09","6,754"
"2013","Unintentional","505","316,059,947","0.16","0.16","14,560"
"2013","Homicide","11,208","316,059,947","3.55","3.60","365,841"
"2013","Legal Intervention","467","316,059,947","0.15","0.15","13,382"
"2013","Suicide","21,175","316,059,947","6.70","6.38","366,457"
"2013","Undetermined","281","316,059,947","0.09","0.09","7,466"
"2012","Unintentional","548","313,877,662","0.18","0.17","15,219"
"2012","Homicide","11,622","313,877,662","3.70","3.76","383,108"
"2012","Legal Intervention","471","313,877,662","0.15","0.15","13,969"
"2012","Suicide","20,666","313,877,662","6.58","6.29","360,886"
"2012","Undetermined","256","313,877,662","0.08","0.08","6,704"
"2011","Unintentional","591","311,583,481","0.19","0.19","16,709"
"2011","Homicide","11,068","311,583,481","3.55","3.59","366,934"
