"Year","Intent","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Unintentional","Non-Hispanic","404","269,623,211","0.15","0.16","12,905"
"2022","Unintentional","Hispanic","59","63,664,346","0.09","0.09","2,250"
"2022","Homicide","Non-Hispanic","16,124","269,623,211","5.98","6.43","513,456"
"2022","Homicide","Hispanic","3,500","63,664,346","5.50","5.21","120,157"
"2022","Homicide","Unknown","27","--","0.00","0.00","620"
"2022","Legal Intervention","Non-Hispanic","482","269,623,211","0.18","0.19","12,403"
"2022","Legal Intervention","Hispanic","160","63,664,346","0.25","0.25","4,789"
"2022","Legal Intervention","Unknown","--","--","--","--","--"
"2022","Suicide","Non-Hispanic","24,902","269,623,211","9.24","8.40","423,910"
"2022","Suicide","Hispanic","2,074","63,664,346","3.26","3.27","58,345"
"2022","Suicide","Unknown","56","--","0.00","0.00","707"
"2022","Undetermined","Non-Hispanic","355","269,623,211","0.13","0.14","9,902"
"2022","Undetermined","Hispanic","60","63,664,346","0.09","0.09","2,405"
"2021","Unintentional","Non-Hispanic","483","269,406,382","0.18","0.19","15,338"
"2021","Unintentional","Hispanic","65","62,625,172","0.10","0.10","2,459"
"2021","Unintentional","Unknown","--","--","--","--","--"
"2021","Homicide","Non-Hispanic","17,472","269,406,382","6.49","6.96","563,699"
"2021","Homicide","Hispanic","3,455","62,625,172","5.52","5.18","118,494"
"2021","Homicide","Unknown","31","--","0.00","0.00","843"
"2021","Legal Intervention","Non-Hispanic","408","269,406,382","0.15","0.16","11,222"
"2021","Legal Intervention","Hispanic","129","62,625,172","0.21","0.20","3,997"
"2021","Suicide","Non-Hispanic","24,246","269,406,382","9.00","8.30","435,112"
"2021","Suicide","Hispanic","2,037","62,625,172","3.25","3.28","58,958"
"2021","Suicide","Unknown","45","--","0.00","0.00","683"
"2021","Undetermined","Non-Hispanic","401","269,406,382","0.15","0.16","12,258"
"2021","Undetermined","Hispanic","55","62,625,172","0.09","0.08","2,007"
"2021","Undetermined","Unknown","--","--","--","--","--"
"2020","Unintentional","Non-Hispanic","473","269,672,962","0.18","0.18","14,861"
"2020","Unintentional","Hispanic","62","61,838,550","0.10","0.09","2,458"
"2020","Homicide","Non-Hispanic","16,404","269,672,962","6.08","6.51","534,107"
"2020","Homicide","Hispanic","2,947","61,838,550","4.77","4.48","101,672"
"2020","Homicide","Unknown","33","--","0.00","0.00","918"
"2020","Legal Intervention","Non-Hispanic","477","269,672,962","0.18","0.19","12,488"
"2020","Legal Intervention","Hispanic","134","61,838,550","0.22","0.21","4,135"
"2020","Suicide","Non-Hispanic","22,455","269,672,962","8.33","7.66","395,490"
"2020","Suicide","Hispanic","1,790","61,838,550","2.90","2.93","51,936"
"2020","Suicide","Unknown","47","--","0.00","0.00","749"
"2020","Undetermined","Non-Hispanic","329","269,672,962","0.12","0.13","9,819"
"2020","Undetermined","Hispanic","70","61,838,550","0.11","0.11","2,472"
"2020","Undetermined","Unknown","--","--","--","--","--"
"2019","Unintentional","Non-Hispanic","426","267,925,466","0.16","0.16","12,120"
"2019","Unintentional","Hispanic","60","60,404,487","0.10","0.10","2,071"
"2019","Homicide","Non-Hispanic","12,092","267,925,466","4.51","4.83","387,763"
"2019","Homicide","Hispanic","2,301","60,404,487","3.81","3.61","78,289"
"2019","Homicide","Unknown","21","--","0.00","0.00","593"
"2019","Legal Intervention","Non-Hispanic","400","267,925,466","0.15","0.16","10,506"
"2019","Legal Intervention","Hispanic","117","60,404,487","0.19","0.19","3,607"
"2019","Legal Intervention","Unknown","--","--","--","--","--"
"2019","Suicide","Non-Hispanic","22,354","267,925,466","8.34","7.62","375,994"
"2019","Suicide","Hispanic","1,534","60,404,487","2.54","2.59","43,237"
"2019","Suicide","Unknown","53","--","0.00","0.00","640"
"2019","Undetermined","Non-Hispanic","299","267,925,466","0.11","0.11","8,439"
"2019","Undetermined","Hispanic","46","60,404,487","0.08","0.07","1,684"
"2019","Undetermined","Unknown","--","--","--","--","--"
"2018","Unintentional","Non-Hispanic","409","267,369,366","0.15","0.16","12,251"
"2018","Unintentional","Hispanic","49","59,468,833","0.08","0.08","1,796"
"2018","Homicide","Non-Hispanic","11,736","267,369,366","4.39","4.66","371,572"
"2018","Homicide","Hispanic","2,191","59,468,833","3.68","3.46","75,161"
"2018","Homicide","Unknown","31","--","0.00","0.00","950"
"2018","Legal Intervention","Non-Hispanic","416","267,369,366","0.16","0.17","11,050"
"2018","Legal Intervention","Hispanic","123","59,468,833","0.21","0.20","3,683"
"2018","Suicide","Non-Hispanic","22,778","267,369,366","8.52","7.80","386,877"
"2018","Suicide","Hispanic","1,601","59,468,833","2.69","2.81","44,474"
"2018","Suicide","Unknown","53","--","0.00","0.00","826"
"2018","Undetermined","Non-Hispanic","296","267,369,366","0.11","0.11","8,503"
"2018","Undetermined","Hispanic","54","59,468,833","0.09","0.08","1,992"
"2018","Undetermined","Unknown","--","--","--","--","--"
"2017","Unintentional","Non-Hispanic","434","266,719,299","0.16","0.17","13,067"
"2017","Unintentional","Hispanic","50","58,402,829","0.09","0.08","1,920"
"2017","Unintentional","Unknown","--","--","--","--","--"
"2017","Homicide","Non-Hispanic","12,241","266,719,299","4.59","4.84","390,201"
"2017","Homicide","Hispanic","2,268","58,402,829","3.88","3.61","79,545"
"2017","Homicide","Unknown","33","--","0.00","0.00","1,063"
"2017","Legal Intervention","Non-Hispanic","442","266,719,299","0.17","0.17","12,193"
"2017","Legal Intervention","Hispanic","111","58,402,829","0.19","0.18","3,619"
"2017","Suicide","Non-Hispanic","22,368","266,719,299","8.39","7.73","387,442"
"2017","Suicide","Hispanic","1,423","58,402,829","2.44","2.55","40,271"
"2017","Suicide","Unknown","63","--","0.00","0.00","1,070"
"2017","Undetermined","Non-Hispanic","304","266,719,299","0.11","0.11","8,268"
"2017","Undetermined","Hispanic","32","58,402,829","0.06","0.05","1,199"
"2017","Undetermined","Unknown","--","--","--","--","--"
"2016","Unintentional","Non-Hispanic","436","265,786,268","0.16","0.16","12,726"
"2016","Unintentional","Hispanic","58","57,285,487","0.10","0.09","2,209"
"2016","Unintentional","Unknown","--","--","--","--","--"
