"Year","Intent","Race","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Unintentional","White","253","196,225,966","0.13","0.13","6,674"
"2022","Unintentional","Black","125","42,070,471","0.30","0.30","5,248"
"2022","Unintentional","American Indian / Alaska Native","13**","2,420,972","0.54**","0.54**","483"
"2022","Unintentional","Asian","--","20,276,025","--","--","--"
"2022","Unintentional","HI Native / Pacific Islander","--","635,928","--","--","--"
"2022","Unintentional","More than One Race","--","7,993,849","--","--","--"
"2022","Homicide","White","3,830","196,225,966","1.95","2.07","96,167"
"2022","Homicide","Black","11,575","42,070,471","27.51","26.98","394,437"
"2022","Homicide","American Indian / Alaska Native","224","2,420,972","9.25","9.58","7,025"
"2022","Homicide","Asian","196","20,276,025","0.97","0.93","5,111"
"2022","Homicide","HI Native / Pacific Islander","37","635,928","5.82","5.50","1,171"
"2022","Homicide","More than One Race","262","7,993,849","3.28","3.43","9,545"
"2022","Legal Intervention","White","294","196,225,966","0.15","0.16","6,664"
"2022","Legal Intervention","Black","142","42,070,471","0.34","0.33","4,457"
"2022","Legal Intervention","American Indian / Alaska Native","28","2,420,972","1.16","1.15","781"
"2022","Legal Intervention","Asian","10**","20,276,025","0.05**","0.05**","249"
"2022","Legal Intervention","HI Native / Pacific Islander","--","635,928","--","--","--"
"2022","Legal Intervention","More than One Race","--","7,993,849","--","--","--"
"2022","Suicide","White","21,732","196,225,966","11.08","9.71","332,065"
"2022","Suicide","Black","2,237","42,070,471","5.32","5.20","65,529"
"2022","Suicide","American Indian / Alaska Native","256","2,420,972","10.57","10.50","7,343"
"2022","Suicide","Asian","372","20,276,025","1.84","1.74","9,965"
"2022","Suicide","HI Native / Pacific Islander","24","635,928","3.77","3.70","769"
"2022","Suicide","More than One Race","281","7,993,849","3.52","4.30","8,239"
"2022","Undetermined","White","214","196,225,966","0.11","0.11","4,757"
"2022","Undetermined","Black","124","42,070,471","0.30","0.30","4,488"
"2022","Undetermined","American Indian / Alaska Native","--","2,420,972","--","--","--"
"2022","Undetermined","Asian","--","20,276,025","--","--","--"
"2022","Undetermined","More than One Race","--","7,993,849","--","--","--"
"2021","Unintentional","White","310","196,894,384","0.16","0.16","8,435"
"2021","Unintentional","Black","150","41,859,278","0.36","0.36","6,138"
"2021","Unintentional","American Indian / Alaska Native","--","2,412,991","--","--","--"
"2021","Unintentional","Asian","--","19,811,597","--","--","--"
"2021","Unintentional","HI Native / Pacific Islander","--","624,677","--","--","--"
"2021","Unintentional","More than One Race","--","7,803,455","--","--","--"
"2021","Homicide","White","4,064","196,894,384","2.06","2.19","104,198"
"2021","Homicide","Black","12,721","41,859,278","30.39","29.62","436,907"
"2021","Homicide","American Indian / Alaska Native","185","2,412,991","7.67","7.92","5,803"
"2021","Homicide","Asian","204","19,811,597","1.03","0.99","5,677"
