"Year","Intent","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Unintentional","0 to 4","Alabama","--","290,299","--","--","--"
"2022","Unintentional","0 to 4","Arkansas","--","180,389","--","--","--"
"2022","Unintentional","0 to 4","Colorado","--","309,020","--","--","--"
"2022","Unintentional","0 to 4","Florida","--","1,106,804","--","--","--"
"2022","Unintentional","0 to 4","Georgia","--","631,545","--","--","--"
"2022","Unintentional","0 to 4","Indiana","--","404,946","--","--","--"
"2022","Unintentional","0 to 4","Kansas","--","175,442","--","--","--"
"2022","Unintentional","0 to 4","Kentucky","--","262,713","--","--","--"
"2022","Unintentional","0 to 4","Louisiana","--","280,020","--","--","--"
"2022","Unintentional","0 to 4","Missouri","--","353,605","--","--","--"
"2022","Unintentional","0 to 4","North Carolina","--","596,490","--","--","--"
"2022","Unintentional","0 to 4","Ohio","--","661,421","--","--","--"
"2022","Unintentional","0 to 4","Oklahoma","--","243,671","--","--","--"
"2022","Unintentional","0 to 4","Pennsylvania","--","671,205","--","--","--"
"2022","Unintentional","0 to 4","South Carolina","--","285,883","--","--","--"
"2022","Unintentional","0 to 4","South Dakota","0**","58,093","0.00**","--","--"
"2022","Unintentional","0 to 4","Tennessee","--","405,421","--","--","--"
"2022","Unintentional","0 to 4","Texas","--","1,902,639","--","--","--"
"2022","Unintentional","0 to 4","Utah","--","233,074","--","--","--"
"2022","Unintentional","0 to 4","Vermont","0**","27,594","0.00**","--","--"
"2022","Unintentional","0 to 4","Virginia","--","487,493","--","--","--"
"2022","Unintentional","5 to 9","Arkansas","--","191,924","--","--","--"
"2022","Unintentional","5 to 9","Colorado","--","332,093","--","--","--"
"2022","Unintentional","5 to 9","Florida","--","1,185,960","--","--","--"
"2022","Unintentional","5 to 9","Georgia","--","684,189","--","--","--"
"2022","Unintentional","5 to 9","Illinois","--","747,100","--","--","--"
"2022","Unintentional","5 to 9","Indiana","--","433,408","--","--","--"
"2022","Unintentional","5 to 9","Louisiana","--","295,518","--","--","--"
"2022","Unintentional","5 to 9","Minnesota","--","360,989","--","--","--"
"2022","Unintentional","5 to 9","Mississippi","--","181,350","--","--","--"
"2022","Unintentional","5 to 9","South Carolina","--","304,905","--","--","--"
"2022","Unintentional","5 to 9","Tennessee","--","421,316","--","--","--"
"2022","Unintentional","5 to 9","Texas","--","2,085,857","--","--","--"
"2022","Unintentional","10 to 14","Alabama","--","318,447","--","--","--"
"2022","Unintentional","10 to 14","Florida","--","1,231,864","--","--","--"
"2022","Unintentional","10 to 14","Hawaii","--","83,775","--","--","--"
"2022","Unintentional","10 to 14","Illinois","--","790,620","--","--","--"
"2022","Unintentional","10 to 14","Indiana","--","450,448","--","--","--"
"2022","Unintentional","10 to 14","Kansas","--","201,187","--","--","--"
"2022","Unintentional","10 to 14","Missouri","--","391,460","--","--","--"
"2022","Unintentional","10 to 14","North Carolina","--","660,316","--","--","--"
"2022","Unintentional","10 to 14","Oklahoma","--","275,405","--","--","--"
"2022","Unintentional","10 to 14","Pennsylvania","--","756,526","--","--","--"
"2022","Unintentional","10 to 14","Texas","--","2,150,307","--","--","--"
"2022","Unintentional","10 to 14","Utah","--","272,743","--","--","--"
"2022","Unintentional","10 to 14","Wisconsin","--","363,289","--","--","--"
"2022","Unintentional","15 to 19","Alabama","--","334,114","--","--","--"
"2022","Unintentional","15 to 19","Alaska","--","45,200","--","--","--"
"2022","Unintentional","15 to 19","Arizona","--","486,307","--","--","--"
"2022","Unintentional","15 to 19","California","--","2,564,615","--","--","--"
"2022","Unintentional","15 to 19","Colorado","--","373,129","--","--","--"
"2022","Unintentional","15 to 19","Florida","--","1,269,958","--","--","--"
"2022","Unintentional","15 to 19","Georgia","--","753,593","--","--","--"
"2022","Unintentional","15 to 19","Hawaii","--","77,426","--","--","--"
"2022","Unintentional","15 to 19","Indiana","--","463,294","--","--","--"
"2022","Unintentional","15 to 19","Louisiana","--","300,780","--","--","--"
"2022","Unintentional","15 to 19","Maine","--","78,493","--","--","--"
"2022","Unintentional","15 to 19","Maryland","--","388,243","--","--","--"
"2022","Unintentional","15 to 19","Michigan","--","638,504","--","--","--"
"2022","Unintentional","15 to 19","Mississippi","--","207,007","--","--","--"
"2022","Unintentional","15 to 19","Missouri","--","400,406","--","--","--"
"2022","Unintentional","15 to 19","Montana","--","68,745","--","--","--"
"2022","Unintentional","15 to 19","Nebraska","--","137,456","--","--","--"
"2022","Unintentional","15 to 19","New Mexico","--","143,139","--","--","--"
"2022","Unintentional","15 to 19","New York","--","1,194,568","--","--","--"
"2022","Unintentional","15 to 19","North Carolina","--","705,170","--","--","--"
"2022","Unintentional","15 to 19","North Dakota","--","54,073","--","--","--"
"2022","Unintentional","15 to 19","Oklahoma","--","276,917","--","--","--"
"2022","Unintentional","15 to 19","Pennsylvania","--","833,463","--","--","--"
"2022","Unintentional","15 to 19","South Dakota","--","61,348","--","--","--"
"2022","Unintentional","15 to 19","Texas","11**","2,152,692","0.51**","--","531"
"2022","Unintentional","15 to 19","Utah","--","274,221","--","--","--"
