"Year","Intent","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Unintentional","Alabama","25","5,074,296","0.49","0.51","833"
"2022","Unintentional","Alaska","--","733,583","--","--","--"
"2022","Unintentional","Arizona","13**","7,359,197","0.18**","0.18**","435"
"2022","Unintentional","Arkansas","14**","3,045,637","0.46**","0.45**","386"
"2022","Unintentional","California","20**","39,029,342","0.05**","0.05**","471"
"2022","Unintentional","Colorado","11**","5,839,926","0.19**","0.19**","382"
"2022","Unintentional","Connecticut","--","3,626,205","--","--","--"
"2022","Unintentional","Florida","19**","22,244,823","0.09**","0.09**","612"
"2022","Unintentional","Georgia","32","10,912,876","0.29","0.30","1,264"
"2022","Unintentional","Hawaii","--","1,440,196","--","--","--"
"2022","Unintentional","Idaho","--","1,939,033","--","--","--"
"2022","Unintentional","Illinois","--","12,582,032","--","--","--"
"2022","Unintentional","Indiana","21","6,833,037","0.31","0.32","725"
"2022","Unintentional","Iowa","--","3,200,517","--","--","--"
"2022","Unintentional","Kansas","--","2,937,150","--","--","--"
"2022","Unintentional","Kentucky","11**","4,512,310","0.24**","0.27**","317"
"2022","Unintentional","Louisiana","23","4,590,241","0.50","0.52","898"
"2022","Unintentional","Maine","--","1,385,340","--","--","--"
"2022","Unintentional","Maryland","--","6,164,660","--","--","--"
"2022","Unintentional","Massachusetts","--","6,981,974","--","--","--"
"2022","Unintentional","Michigan","10**","10,034,113","0.10**","0.09**","140"
"2022","Unintentional","Minnesota","--","5,717,184","--","--","--"
"2022","Unintentional","Mississippi","13**","2,940,057","0.44**","0.45**","397"
"2022","Unintentional","Missouri","20**","6,177,957","0.32**","0.33**","739"
"2022","Unintentional","Montana","--","1,122,867","--","--","--"
"2022","Unintentional","Nebraska","--","1,967,923","--","--","--"
"2022","Unintentional","Nevada","--","3,177,772","--","--","--"
"2022","Unintentional","New Hampshire","--","1,395,231","--","--","--"
"2022","Unintentional","New Jersey","--","9,261,699","--","--","--"
"2022","Unintentional","New Mexico","--","2,113,344","--","--","--"
"2022","Unintentional","New York","--","19,677,151","--","--","--"
"2022","Unintentional","North Carolina","20**","10,698,973","0.19**","0.21**","928"
"2022","Unintentional","North Dakota","--","779,261","--","--","--"
"2022","Unintentional","Ohio","14**","11,756,058","0.12**","0.14**","491"
"2022","Unintentional","Oklahoma","--","4,019,800","--","--","--"
"2022","Unintentional","Oregon","--","4,240,137","--","--","--"
"2022","Unintentional","Pennsylvania","13**","12,972,008","0.10**","0.11**","474"
"2022","Unintentional","South Carolina","14**","5,282,634","0.27**","0.28**","430"
"2022","Unintentional","South Dakota","--","909,824","--","--","--"
"2022","Unintentional","Tennessee","13**","7,051,339","0.18**","0.18**","409"
"2022","Unintentional","Texas","45","30,029,572","0.15","0.15","1,534"
"2022","Unintentional","Utah","--","3,380,800","--","--","--"
"2022","Unintentional","Vermont","0**","647,064","0.00**","0.00**","--"
"2022","Unintentional","Virginia","11**","8,683,619","0.13**","0.13**","312"
"2022","Unintentional","Washington","--","7,785,786","--","--","--"
"2022","Unintentional","West Virginia","--","1,775,156","--","--","--"
"2022","Unintentional","Wisconsin","--","5,892,539","--","--","--"
"2022","Unintentional","Wyoming","--","581,381","--","--","--"
"2022","Homicide","Alabama","624","5,074,296","12.30","13.15","20,311"
"2022","Homicide","Alaska","41","733,583","5.59","5.52","1,362"
"2022","Homicide","Arizona","490","7,359,197","6.66","7.04","15,074"
"2022","Homicide","Arkansas","290","3,045,637","9.52","9.92","9,008"
"2022","Homicide","California","1,676","39,029,342","4.29","4.35","52,028"
"2022","Homicide","Colorado","304","5,839,926","5.21","5.24","9,951"
"2022","Homicide","Connecticut","114","3,626,205","3.14","3.36","3,888"
"2022","Homicide","Delaware","48","1,018,396","4.71","5.25","1,613"
"2022","Homicide","District of Columbia","141","671,803","20.99","19.77","4,612"
"2022","Homicide","Florida","1,170","22,244,823","5.26","5.84","37,181"
"2022","Homicide","Georgia","1,033","10,912,876","9.47","9.61","33,985"
"2022","Homicide","Hawaii","18**","1,440,196","1.25**","1.38**","608"
"2022","Homicide","Idaho","38","1,939,033","1.96","2.11","1,052"
"2022","Homicide","Illinois","1,091","12,582,032","8.67","9.15","37,252"
"2022","Homicide","Indiana","468","6,833,037","6.85","7.13","15,253"
"2022","Homicide","Iowa","65","3,200,517","2.03","2.13","2,145"
"2022","Homicide","Kansas","127","2,937,150","4.32","4.58","3,860"
"2022","Homicide","Kentucky","283","4,512,310","6.27","6.81","8,750"
"2022","Homicide","Louisiana","740","4,590,241","16.12","17.12","25,025"
"2022","Homicide","Maine","19**","1,385,340","1.37**","1.58**","579"
"2022","Homicide","Maryland","539","6,164,660","8.74","9.38","18,069"
"2022","Homicide","Massachusetts","106","6,981,974","1.52","1.57","3,534"
"2022","Homicide","Michigan","640","10,034,113","6.38","6.88","20,409"
"2022","Homicide","Minnesota","143","5,717,184","2.50","2.66","4,738"
"2022","Homicide","Mississippi","511","2,940,057","17.38","18.49","16,423"
"2022","Homicide","Missouri","629","6,177,957","10.18","10.83","20,140"
"2022","Homicide","Montana","39","1,122,867","3.47","3.76","1,084"
"2022","Homicide","Nebraska","48","1,967,923","2.44","2.48","1,498"
"2022","Homicide","Nevada","180","3,177,772","5.66","5.83","5,428"
"2022","Homicide","New Hampshire","18**","1,395,231","1.29**","1.30**","468"
"2022","Homicide","New Jersey","235","9,261,699","2.54","2.74","7,739"
"2022","Homicide","New Mexico","218","2,113,344","10.32","11.25","6,547"
"2022","Homicide","New York","528","19,677,151","2.68","2.87","16,898"
"2022","Homicide","North Carolina","781","10,698,973","7.30","7.60","25,553"
"2022","Homicide","North Dakota","17**","779,261","2.18**","2.14**","484"
"2022","Homicide","Ohio","738","11,756,058","6.28","6.80","24,561"
"2022","Homicide","Oklahoma","240","4,019,800","5.97","6.39","7,227"
"2022","Homicide","Oregon","155","4,240,137","3.66","3.76","4,278"
"2022","Homicide","Pennsylvania","834","12,972,008","6.43","6.98","27,652"
"2022","Homicide","Rhode Island","14**","1,093,734","1.28**","1.36**","456"
"2022","Homicide","South Carolina","494","5,282,634","9.35","9.95","16,351"
"2022","Homicide","South Dakota","27","909,824","2.97","3.22","936"
"2022","Homicide","Tennessee","609","7,051,339","8.64","9.15","19,973"
"2022","Homicide","Texas","1,826","30,029,572","6.08","6.06","59,774"
"2022","Homicide","Utah","48","3,380,800","1.42","1.41","1,533"
"2022","Homicide","Vermont","13**","647,064","2.01**","2.38**","357"
"2022","Homicide","Virginia","556","8,683,619","6.40","6.66","18,320"
"2022","Homicide","Washington","313","7,785,786","4.02","4.06","8,888"
"2022","Homicide","West Virginia","81","1,775,156","4.56","5.05","2,123"
"2022","Homicide","Wisconsin","277","5,892,539","4.70","5.12","8,823"
"2022","Homicide","Wyoming","14**","581,381","2.41**","2.59**","432"
"2022","Legal Intervention","Alabama","--","5,074,296","--","--","--"
"2022","Legal Intervention","Alaska","--","733,583","--","--","--"
"2022","Legal Intervention","Arizona","34","7,359,197","0.46","0.48","944"
"2022","Legal Intervention","Arkansas","--","3,045,637","--","--","--"
"2022","Legal Intervention","California","85","39,029,342","0.22","0.22","2,426"
"2022","Legal Intervention","Colorado","24","5,839,926","0.41","0.38","663"
"2022","Legal Intervention","Connecticut","--","3,626,205","--","--","--"
"2022","Legal Intervention","Delaware","--","1,018,396","--","--","--"
"2022","Legal Intervention","District of Columbia","--","671,803","--","--","--"
"2022","Legal Intervention","Florida","30","22,244,823","0.14","0.14","746"
"2022","Legal Intervention","Georgia","26","10,912,876","0.24","0.23","754"
"2022","Legal Intervention","Hawaii","--","1,440,196","--","--","--"
"2022","Legal Intervention","Idaho","--","1,939,033","--","--","--"
"2022","Legal Intervention","Illinois","15**","12,582,032","0.12**","0.13**","353"
"2022","Legal Intervention","Indiana","14**","6,833,037","0.21**","0.24**","390"
"2022","Legal Intervention","Iowa","--","3,200,517","--","--","--"
"2022","Legal Intervention","Kansas","--","2,937,150","--","--","--"
"2022","Legal Intervention","Kentucky","13**","4,512,310","0.29**","0.31**","299"
"2022","Legal Intervention","Louisiana","--","4,590,241","--","--","--"
"2022","Legal Intervention","Maine","--","1,385,340","--","--","--"
"2022","Legal Intervention","Maryland","--","6,164,660","--","--","--"
"2022","Legal Intervention","Massachusetts","--","6,981,974","--","--","--"
"2022","Legal Intervention","Michigan","--","10,034,113","--","--","--"
"2022","Legal Intervention","Minnesota","--","5,717,184","--","--","--"
"2022","Legal Intervention","Mississippi","--","2,940,057","--","--","--"
"2022","Legal Intervention","Missouri","15**","6,177,957","0.24**","0.27**","400"
"2022","Legal Intervention","Montana","--","1,122,867","--","--","--"
"2022","Legal Intervention","Nebraska","--","1,967,923","--","--","--"
"2022","Legal Intervention","Nevada","--","3,177,772","--","--","--"
"2022","Legal Intervention","New Hampshire","--","1,395,231","--","--","--"
"2022","Legal Intervention","New Jersey","--","9,261,699","--","--","--"
"2022","Legal Intervention","New Mexico","29","2,113,344","1.37","1.46","735"
"2022","Legal Intervention","New York","13**","19,677,151","0.07**","0.07**","425"
"2022","Legal Intervention","North Carolina","30","10,698,973","0.28","0.29","886"
"2022","Legal Intervention","North Dakota","--","779,261","--","--","--"
"2022","Legal Intervention","Ohio","24","11,756,058","0.20","0.23","573"
"2022","Legal Intervention","Oregon","21","4,240,137","0.50","0.52","549"
"2022","Legal Intervention","Pennsylvania","16**","12,972,008","0.12**","0.13**","455"
"2022","Legal Intervention","South Carolina","12**","5,282,634","0.23**","0.22**","244"
"2022","Legal Intervention","South Dakota","--","909,824","--","--","--"
"2022","Legal Intervention","Tennessee","--","7,051,339","--","--","--"
"2022","Legal Intervention","Texas","74","30,029,572","0.25","0.25","1,999"
"2022","Legal Intervention","Utah","--","3,380,800","--","--","--"
"2022","Legal Intervention","Vermont","--","647,064","--","--","--"
"2022","Legal Intervention","Virginia","--","8,683,619","--","--","--"
