"Year","Intent","Ethnicity","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Unintentional","Non-Hispanic","Alabama","23","4,824,043","0.48","0.50","749"
"2022","Unintentional","Non-Hispanic","Alaska","--","677,088","--","--","--"
"2022","Unintentional","Non-Hispanic","Arizona","--","4,970,677","--","--","--"
"2022","Unintentional","Non-Hispanic","Arkansas","14**","2,785,101","0.50**","0.50**","386"
"2022","Unintentional","Non-Hispanic","California","12**","23,297,162","0.05**","0.05**","219"
"2022","Unintentional","Non-Hispanic","Colorado","--","4,524,961","--","--","--"
"2022","Unintentional","Non-Hispanic","Connecticut","--","2,967,226","--","--","--"
"2022","Unintentional","Non-Hispanic","Florida","14**","16,219,793","0.09**","0.09**","364"
"2022","Unintentional","Non-Hispanic","Georgia","32","9,772,328","0.33","0.34","1,264"
"2022","Unintentional","Non-Hispanic","Hawaii","--","1,280,093","--","--","--"
"2022","Unintentional","Non-Hispanic","Idaho","--","1,677,113","--","--","--"
"2022","Unintentional","Non-Hispanic","Illinois","--","10,278,307","--","--","--"
"2022","Unintentional","Non-Hispanic","Indiana","20**","6,291,288","0.32**","0.34**","711"
"2022","Unintentional","Non-Hispanic","Iowa","--","2,978,712","--","--","--"
"2022","Unintentional","Non-Hispanic","Kansas","--","2,554,115","--","--","--"
"2022","Unintentional","Non-Hispanic","Kentucky","11**","4,317,323","0.26**","0.28**","317"
"2022","Unintentional","Non-Hispanic","Louisiana","23","4,324,004","0.53","0.56","898"
"2022","Unintentional","Non-Hispanic","Maine","--","1,356,354","--","--","--"
"2022","Unintentional","Non-Hispanic","Maryland","--","5,457,844","--","--","--"
"2022","Unintentional","Non-Hispanic","Massachusetts","--","6,068,348","--","--","--"
"2022","Unintentional","Non-Hispanic","Michigan","10**","9,460,599","0.11**","0.09**","140"
"2022","Unintentional","Non-Hispanic","Minnesota","--","5,375,770","--","--","--"
"2022","Unintentional","Non-Hispanic","Mississippi","13**","2,835,178","0.46**","0.47**","397"
"2022","Unintentional","Non-Hispanic","Missouri","20**","5,879,472","0.34**","0.35**","739"
"2022","Unintentional","Non-Hispanic","Montana","--","1,072,148","--","--","--"
"2022","Unintentional","Non-Hispanic","Nebraska","--","1,725,406","--","--","--"
"2022","Unintentional","Non-Hispanic","Nevada","--","2,216,418","--","--","--"
"2022","Unintentional","Non-Hispanic","New Hampshire","--","1,331,039","--","--","--"
"2022","Unintentional","Non-Hispanic","New Jersey","--","7,233,228","--","--","--"
"2022","Unintentional","Non-Hispanic","New Mexico","--","1,053,479","--","--","--"
"2022","Unintentional","Non-Hispanic","New York","--","15,810,075","--","--","--"
"2022","Unintentional","Non-Hispanic","North Carolina","20**","9,576,964","0.21**","0.25**","928"
"2022","Unintentional","Non-Hispanic","North Dakota","--","743,186","--","--","--"
"2022","Unintentional","Non-Hispanic","Ohio","13**","11,231,059","0.12**","0.14**","452"
"2022","Unintentional","Non-Hispanic","Oklahoma","--","3,533,107","--","--","--"
"2022","Unintentional","Non-Hispanic","Oregon","--","3,630,603","--","--","--"
"2022","Unintentional","Non-Hispanic","Pennsylvania","10**","11,855,878","0.08**","0.09**","319"
"2022","Unintentional","Non-Hispanic","South Carolina","14**","4,934,475","0.28**","0.30**","430"
"2022","Unintentional","Non-Hispanic","South Dakota","--","865,316","--","--","--"
"2022","Unintentional","Non-Hispanic","Tennessee","13**","6,601,829","0.20**","0.20**","409"
"2022","Unintentional","Non-Hispanic","Texas","27","17,961,023","0.15","0.16","940"
"2022","Unintentional","Non-Hispanic","Utah","--","2,868,713","--","--","--"
"2022","Unintentional","Non-Hispanic","Virginia","10**","7,772,616","0.13**","0.13**","268"
"2022","Unintentional","Non-Hispanic","Washington","--","6,692,473","--","--","--"
"2022","Unintentional","Non-Hispanic","West Virginia","--","1,738,366","--","--","--"
