"Year","Intent","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Unintentional","White","Alabama","12**","3,283,664","0.37**","0.39**","404"
"2022","Unintentional","White","Alaska","--","431,312","--","--","--"
"2022","Unintentional","White","Arizona","--","3,895,240","--","--","--"
"2022","Unintentional","White","Arkansas","10**","2,161,415","0.46**","0.43**","208"
"2022","Unintentional","White","California","--","13,554,876","--","--","--"
"2022","Unintentional","White","Colorado","--","3,881,878","--","--","--"
"2022","Unintentional","White","Connecticut","--","2,315,721","--","--","--"
"2022","Unintentional","White","Delaware","0**","610,978","0.00**","0.00**","--"
"2022","Unintentional","White","District of Columbia","0**","252,150","0.00**","0.00**","--"
"2022","Unintentional","White","Florida","10**","11,642,694","0.09**","0.08**","142"
"2022","Unintentional","White","Georgia","11**","5,500,388","0.20**","0.20**","302"
"2022","Unintentional","White","Idaho","--","1,564,996","--","--","--"
"2022","Unintentional","White","Illinois","--","7,483,551","--","--","--"
"2022","Unintentional","White","Indiana","16**","5,264,074","0.30**","0.33**","536"
"2022","Unintentional","White","Iowa","--","2,679,799","--","--","--"
"2022","Unintentional","White","Kansas","--","2,183,438","--","--","--"
"2022","Unintentional","White","Kentucky","10**","3,754,388","0.27**","0.29**","293"
"2022","Unintentional","White","Louisiana","12**","2,652,879","0.45**","0.47**","349"
"2022","Unintentional","White","Maine","--","1,277,208","--","--","--"
"2022","Unintentional","White","Maryland","--","2,976,069","--","--","--"
"2022","Unintentional","White","Michigan","--","7,423,617","--","--","--"
"2022","Unintentional","White","Minnesota","--","4,438,142","--","--","--"
"2022","Unintentional","White","Mississippi","--","1,647,390","--","--","--"
"2022","Unintentional","White","Missouri","15**","4,845,098","0.31**","0.30**","437"
"2022","Unintentional","White","Montana","--","957,643","--","--","--"
"2022","Unintentional","White","Nebraska","--","1,514,050","--","--","--"
"2022","Unintentional","White","Nevada","--","1,452,282","--","--","--"
"2022","Unintentional","White","New Hampshire","--","1,238,534","--","--","--"
"2022","Unintentional","White","New Jersey","--","4,898,567","--","--","--"
"2022","Unintentional","White","New Mexico","--","754,687","--","--","--"
"2022","Unintentional","White","New York","--","10,669,241","--","--","--"
"2022","Unintentional","White","North Carolina","--","6,584,019","--","--","--"
"2022","Unintentional","White","North Dakota","--","646,993","--","--","--"
"2022","Unintentional","White","Ohio","--","9,087,163","--","--","--"
"2022","Unintentional","White","Oklahoma","--","2,549,334","--","--","--"
"2022","Unintentional","White","Oregon","--","3,118,334","--","--","--"
"2022","Unintentional","White","Pennsylvania","--","9,662,619","--","--","--"
"2022","Unintentional","White","South Carolina","10**","3,352,165","0.30**","0.33**","295"
"2022","Unintentional","White","South Dakota","--","734,240","--","--","--"
"2022","Unintentional","White","Tennessee","10**","5,141,367","0.20**","0.20**","287"
"2022","Unintentional","White","Texas","18**","11,939,611","0.15**","0.16**","619"
"2022","Unintentional","White","Utah","--","2,592,896","--","--","--"
"2022","Unintentional","White","Virginia","--","5,196,054","--","--","--"
"2022","Unintentional","White","Washington","0**","5,071,894","0.00**","0.00**","--"
"2022","Unintentional","White","West Virginia","--","1,618,266","--","--","--"
"2022","Unintentional","White","Wisconsin","--","4,720,083","--","--","--"
"2022","Unintentional","White","Wyoming","--","482,967","--","--","--"
"2022","Unintentional","Black","Alabama","11**","1,341,182","0.82**","0.86**","345"
"2022","Unintentional","Black","Alaska","--","23,753","--","--","--"
"2022","Unintentional","Black","Arizona","--","350,020","--","--","--"
"2022","Unintentional","Black","Arkansas","--","466,938","--","--","--"
"2022","Unintentional","Black","California","--","2,177,612","--","--","--"
"2022","Unintentional","Black","Colorado","--","241,142","--","--","--"
"2022","Unintentional","Black","Connecticut","--","389,067","--","--","--"
"2022","Unintentional","Black","Delaware","0**","228,813","0.00**","0.00**","--"
"2022","Unintentional","Black","District of Columbia","0**","291,274","0.00**","0.00**","--"
"2022","Unintentional","Black","Florida","--","3,429,201","--","--","--"
"2022","Unintentional","Black","Georgia","19**","3,502,283","0.54**","0.54**","862"
"2022","Unintentional","Black","Illinois","--","1,773,951","--","--","--"
"2022","Unintentional","Black","Indiana","--","675,424","--","--","--"
"2022","Unintentional","Black","Kansas","--","169,538","--","--","--"
"2022","Unintentional","Black","Kentucky","--","378,394","--","--","--"
"2022","Unintentional","Black","Louisiana","11**","1,477,731","0.74**","0.71**","549"
"2022","Unintentional","Black","Massachusetts","--","526,455","--","--","--"
"2022","Unintentional","Black","Michigan","--","1,381,727","--","--","--"
"2022","Unintentional","Black","Mississippi","--","1,098,629","--","--","--"
"2022","Unintentional","Black","Missouri","--","709,158","--","--","--"
"2022","Unintentional","Black","New Mexico","--","41,637","--","--","--"
"2022","Unintentional","Black","New York","--","2,837,505","--","--","--"
"2022","Unintentional","Black","North Carolina","13**","2,267,145","0.57**","0.56**","631"
"2022","Unintentional","Black","North Dakota","--","26,754","--","--","--"
"2022","Unintentional","Black","Ohio","--","1,514,821","--","--","--"
"2022","Unintentional","Black","Oklahoma","--","300,863","--","--","--"
"2022","Unintentional","Black","Oregon","0**","86,653","0.00**","0.00**","--"
"2022","Unintentional","Black","Pennsylvania","--","1,403,451","--","--","--"
"2022","Unintentional","Black","South Carolina","--","1,354,319","--","--","--"
"2022","Unintentional","Black","Tennessee","--","1,153,620","--","--","--"
"2022","Unintentional","Black","Texas","--","3,741,618","--","--","--"
"2022","Unintentional","Black","Utah","--","41,138","--","--","--"
"2022","Unintentional","Black","Vermont","0**","9,071","0.00**","0.00**","--"
"2022","Unintentional","Black","Virginia","--","1,664,108","--","--","--"
"2022","Unintentional","Black","Wisconsin","--","369,629","--","--","--"
"2022","Unintentional","American Indian / Alaska Native","Arizona","--","274,326","--","--","--"
"2022","Unintentional","American Indian / Alaska Native","Michigan","--","57,106","--","--","--"
"2022","Unintentional","American Indian / Alaska Native","Minnesota","--","59,910","--","--","--"
"2022","Unintentional","American Indian / Alaska Native","Nebraska","--","16,137","--","--","--"
"2022","Unintentional","American Indian / Alaska Native","Nevada","0**","26,334","0.00**","0.00**","--"
"2022","Unintentional","American Indian / Alaska Native","New Hampshire","0**","2,937","0.00**","0.00**","--"
"2022","Unintentional","American Indian / Alaska Native","New Jersey","0**","14,162","0.00**","0.00**","--"
"2022","Unintentional","American Indian / Alaska Native","New Mexico","--","185,093","--","--","--"
"2022","Unintentional","American Indian / Alaska Native","Oklahoma","--","333,051","--","--","--"
"2022","Unintentional","American Indian / Alaska Native","South Dakota","--","70,119","--","--","--"
"2022","Unintentional","American Indian / Alaska Native","Washington","--","94,189","--","--","--"
"2022","Unintentional","Asian","California","--","6,083,599","--","--","--"
"2022","Unintentional","Asian","Georgia","--","510,018","--","--","--"
"2022","Unintentional","HI Native / Pacific Islander","Georgia","--","7,892","--","--","--"
"2022","Unintentional","HI Native / Pacific Islander","Hawaii","--","137,307","--","--","--"
"2022","Unintentional","HI Native / Pacific Islander","Idaho","0**","3,615","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Illinois","0**","3,751","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Indiana","0**","2,949","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Iowa","0**","6,432","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Kansas","0**","3,410","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Kentucky","0**","3,831","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Louisiana","0**","1,775","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Maine","0**","444","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Maryland","0**","3,022","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Massachusetts","0**","3,202","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Michigan","0**","3,032","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Minnesota","0**","3,528","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Mississippi","0**","1,189","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Missouri","0**","9,833","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Montana","0**","891","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Nebraska","0**","1,387","0.00**","0.00**","--"
"2022","Unintentional","HI Native / Pacific Islander","Utah","--","35,994","--","--","--"
"2022","Unintentional","More than One Race","Arizona","--","168,966","--","--","--"
"2022","Unintentional","More than One Race","California","--","1,176,462","--","--","--"
"2022","Unintentional","More than One Race","Hawaii","--","288,108","--","--","--"
"2022","Unintentional","More than One Race","Idaho","0**","43,569","0.00**","0.00**","--"
"2022","Unintentional","More than One Race","Illinois","0**","227,886","0.00**","0.00**","--"
"2022","Unintentional","More than One Race","Indiana","0**","144,392","0.00**","0.00**","--"
"2022","Unintentional","More than One Race","Iowa","0**","61,257","0.00**","0.00**","--"
"2022","Unintentional","More than One Race","Kansas","--","82,787","--","--","--"
"2022","Unintentional","More than One Race","Mississippi","--","39,685","--","--","--"
"2022","Unintentional","More than One Race","Missouri","0**","148,812","0.00**","0.00**","--"
"2022","Unintentional","More than One Race","Montana","0**","29,860","0.00**","0.00**","--"
"2022","Unintentional","More than One Race","Nebraska","--","41,743","--","--","--"
"2022","Unintentional","More than One Race","Nevada","0**","122,726","0.00**","0.00**","--"
"2022","Unintentional","More than One Race","New Hampshire","0**","23,171","0.00**","0.00**","--"
"2022","Unintentional","More than One Race","New Jersey","0**","154,789","0.00**","0.00**","--"
"2022","Unintentional","More than One Race","New Mexico","--","34,975","--","--","--"
"2022","Unintentional","More than One Race","New York","0**","382,887","0.00**","0.00**","--"
"2022","Unintentional","More than One Race","Washington","--","349,041","--","--","--"
"2022","Homicide","White","Alabama","140","3,283,664","4.26","4.57","3,257"
"2022","Homicide","White","Alaska","17**","431,312","3.94**","4.22**","551"
"2022","Homicide","White","Arizona","117","3,895,240","3.00","3.26","2,685"
"2022","Homicide","White","Arkansas","86","2,161,415","3.98","4.05","1,941"
"2022","Homicide","White","California","205","13,554,876","1.51","1.50","4,548"
"2022","Homicide","White","Colorado","95","3,881,878","2.45","2.44","2,579"
"2022","Homicide","White","Connecticut","15**","2,315,721","0.65**","0.69**","412"
"2022","Homicide","White","Delaware","--","610,978","--","--","--"
"2022","Homicide","White","District of Columbia","--","252,150","--","--","--"
"2022","Homicide","White","Florida","237","11,642,694","2.04","2.32","5,407"
"2022","Homicide","White","Georgia","152","5,500,388","2.76","2.86","3,912"
"2022","Homicide","White","Hawaii","--","306,591","--","--","--"
"2022","Homicide","White","Idaho","27","1,564,996","1.73","1.88","697"
"2022","Homicide","White","Illinois","81","7,483,551","1.08","1.17","2,078"
"2022","Homicide","White","Indiana","127","5,264,074","2.41","2.49","3,312"
"2022","Homicide","White","Iowa","21","2,679,799","0.78","0.80","492"
"2022","Homicide","White","Kansas","52","2,183,438","2.38","2.47","1,283"
"2022","Homicide","White","Kentucky","118","3,754,388","3.14","3.38","3,154"
"2022","Homicide","White","Louisiana","95","2,652,879","3.58","4.02","2,791"
"2022","Homicide","White","Maine","16**","1,277,208","1.25**","1.45**","487"
"2022","Homicide","White","Maryland","44","2,976,069","1.48","1.67","1,347"
"2022","Homicide","White","Massachusetts","16**","4,856,171","0.33**","0.36**","519"
"2022","Homicide","White","Michigan","105","7,423,617","1.41","1.58","3,111"
"2022","Homicide","White","Minnesota","33","4,438,142","0.74","0.78","844"
"2022","Homicide","White","Mississippi","85","1,647,390","5.16","5.55","2,164"
"2022","Homicide","White","Missouri","161","4,845,098","3.32","3.58","4,367"
"2022","Homicide","White","Montana","25","957,643","2.61","2.79","587"
"2022","Homicide","White","Nebraska","19**","1,514,050","1.26**","1.26**","520"
"2022","Homicide","White","Nevada","46","1,452,282","3.17","3.36","1,071"
"2022","Homicide","White","New Hampshire","16**","1,238,534","1.29**","1.33**","411"
"2022","Homicide","White","New Jersey","24","4,898,567","0.49","0.52","551"
"2022","Homicide","White","New Mexico","40","754,687","5.30","6.22","975"
"2022","Homicide","White","New York","53","10,669,241","0.50","0.53","1,393"
"2022","Homicide","White","North Carolina","145","6,584,019","2.20","2.27","3,272"
"2022","Homicide","White","North Dakota","13**","646,993","2.01**","1.98**","340"
"2022","Homicide","White","Ohio","163","9,087,163","1.79","1.96","4,424"
"2022","Homicide","White","Oklahoma","92","2,549,334","3.61","3.90","2,293"
"2022","Homicide","White","Oregon","78","3,118,334","2.50","2.53","1,845"
"2022","Homicide","White","Pennsylvania","116","9,662,619","1.20","1.33","2,998"
"2022","Homicide","White","Rhode Island","--","764,338","--","--","--"
"2022","Homicide","White","South Carolina","91","3,352,165","2.72","2.87","2,409"
"2022","Homicide","White","South Dakota","10**","734,240","1.36**","1.50**","311"
"2022","Homicide","White","Tennessee","150","5,141,367","2.92","3.12","3,834"
"2022","Homicide","White","Texas","337","11,939,611","2.82","2.87","8,253"
"2022","Homicide","White","Utah","26","2,592,896","1.00","1.02","696"
"2022","Homicide","White","Vermont","--","594,892","--","--","--"
"2022","Homicide","White","Virginia","104","5,196,054","2.00","2.05","2,411"
"2022","Homicide","White","Washington","113","5,071,894","2.23","2.17","2,504"
"2022","Homicide","White","West Virginia","58","1,618,266","3.58","3.95","1,409"
"2022","Homicide","White","Wisconsin","36","4,720,083","0.76","0.83","966"
"2022","Homicide","White","Wyoming","--","482,967","--","--","--"
"2022","Homicide","Black","Alabama","467","1,341,182","34.82","34.41","16,503"
"2022","Homicide","Black","Alaska","--","23,753","--","--","--"
"2022","Homicide","Black","Arizona","79","350,020","22.57","21.40","2,577"
"2022","Homicide","Black","Arkansas","182","466,938","38.98","38.16","6,221"
"2022","Homicide","Black","California","522","2,177,612","23.97","23.61","16,446"
"2022","Homicide","Black","Colorado","71","241,142","29.44","27.87","2,397"
"2022","Homicide","Black","Connecticut","53","389,067","13.62","13.17","1,792"
"2022","Homicide","Black","Delaware","34","228,813","14.86","14.92","1,210"
"2022","Homicide","Black","District of Columbia","139","291,274","47.72","48.73","4,560"
"2022","Homicide","Black","Florida","672","3,429,201","19.60","19.19","23,200"
"2022","Homicide","Black","Georgia","812","3,502,283","23.19","22.32","27,714"
"2022","Homicide","Black","Hawaii","--","28,043","--","--","--"
"2022","Homicide","Black","Idaho","--","15,413","--","--","--"
"2022","Homicide","Black","Illinois","834","1,773,951","47.01","47.18","29,154"
"2022","Homicide","Black","Indiana","288","675,424","42.64","41.04","9,995"
"2022","Homicide","Black","Iowa","34","134,424","25.29","21.66","1,247"
"2022","Homicide","Black","Kansas","43","169,538","25.36","24.75","1,434"
"2022","Homicide","Black","Kentucky","159","378,394","42.02","41.80","5,402"
"2022","Homicide","Black","Louisiana","618","1,477,731","41.82","41.38","21,357"
"2022","Homicide","Black","Maine","--","25,928","--","--","--"
"2022","Homicide","Black","Maryland","466","1,873,368","24.88","25.43","15,759"
"2022","Homicide","Black","Massachusetts","57","526,455","10.83","10.00","2,014"
"2022","Homicide","Black","Michigan","476","1,381,727","34.45","34.89","15,190"
"2022","Homicide","Black","Minnesota","83","423,114","19.62","17.97","2,961"
"2022","Homicide","Black","Mississippi","412","1,098,629","37.50","37.35","13,855"
"2022","Homicide","Black","Missouri","435","709,158","61.34","60.60","14,641"
"2022","Homicide","Black","Montana","--","6,205","--","--","--"
"2022","Homicide","Black","Nebraska","22","98,369","22.37","20.83","753"
"2022","Homicide","Black","Nevada","62","309,116","20.06","19.10","1,933"
"2022","Homicide","Black","New Hampshire","--","22,345","--","--","--"
"2022","Homicide","Black","New Jersey","165","1,204,711","13.70","13.66","5,610"
"2022","Homicide","Black","New Mexico","--","41,637","--","--","--"
"2022","Homicide","Black","New York","343","2,837,505","12.09","12.35","11,241"
"2022","Homicide","Black","North Carolina","530","2,267,145","23.38","22.86","18,468"
"2022","Homicide","Black","North Dakota","--","26,754","--","--","--"
"2022","Homicide","Black","Ohio","532","1,514,821","35.12","35.13","18,692"
"2022","Homicide","Black","Oklahoma","70","300,863","23.27","22.69","2,282"
"2022","Homicide","Black","Oregon","41","86,653","47.32","44.72","1,316"
