"Year","Intent","Sex","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Unintentional","Males","Alabama","22","2,467,360","0.89","0.92","763"
"2022","Unintentional","Males","Alaska","--","385,947","--","--","--"
"2022","Unintentional","Males","Arizona","12**","3,679,034","0.33**","0.33**","401"
"2022","Unintentional","Males","Arkansas","12**","1,505,477","0.80**","0.79**","281"
"2022","Unintentional","Males","California","19**","19,535,016","0.10**","0.10**","422"
"2022","Unintentional","Males","Colorado","--","2,964,544","--","--","--"
"2022","Unintentional","Males","Connecticut","--","1,776,254","--","--","--"
"2022","Unintentional","Males","Florida","17**","10,945,426","0.16**","0.16**","514"
"2022","Unintentional","Males","Georgia","29","5,330,652","0.54","0.54","1,079"
"2022","Unintentional","Males","Hawaii","--","724,711","--","--","--"
"2022","Unintentional","Males","Idaho","--","977,139","--","--","--"
"2022","Unintentional","Males","Illinois","--","6,228,734","--","--","--"
"2022","Unintentional","Males","Indiana","19**","3,395,488","0.56**","0.59**","681"
"2022","Unintentional","Males","Iowa","--","1,606,737","--","--","--"
"2022","Unintentional","Males","Kansas","--","1,475,455","--","--","--"
"2022","Unintentional","Males","Kentucky","--","2,240,509","--","--","--"
"2022","Unintentional","Males","Louisiana","22","2,247,370","0.98","1.00","836"
"2022","Unintentional","Males","Maine","--","683,232","--","--","--"
"2022","Unintentional","Males","Maryland","--","3,001,909","--","--","--"
"2022","Unintentional","Males","Massachusetts","--","3,417,950","--","--","--"
"2022","Unintentional","Males","Michigan","--","4,982,544","--","--","--"
"2022","Unintentional","Males","Minnesota","--","2,871,216","--","--","--"
"2022","Unintentional","Males","Mississippi","11**","1,428,776","0.77**","0.77**","296"
"2022","Unintentional","Males","Missouri","18**","3,054,821","0.59**","0.57**","613"
"2022","Unintentional","Males","Montana","--","569,846","--","--","--"
"2022","Unintentional","Males","Nebraska","--","990,672","--","--","--"
"2022","Unintentional","Males","Nevada","--","1,603,852","--","--","--"
"2022","Unintentional","Males","New Hampshire","--","697,809","--","--","--"
"2022","Unintentional","Males","New Jersey","--","4,565,014","--","--","--"
"2022","Unintentional","Males","New Mexico","--","1,053,151","--","--","--"
"2022","Unintentional","Males","New York","--","9,626,210","--","--","--"
"2022","Unintentional","Males","North Carolina","17**","5,239,829","0.32**","0.35**","770"
"2022","Unintentional","Males","North Dakota","--","400,463","--","--","--"
"2022","Unintentional","Males","Ohio","13**","5,809,684","0.22**","0.25**","449"
"2022","Unintentional","Males","Oklahoma","--","2,004,482","--","--","--"
"2022","Unintentional","Males","Oregon","--","2,117,172","--","--","--"
"2022","Unintentional","Males","Pennsylvania","12**","6,405,343","0.19**","0.20**","413"
"2022","Unintentional","Males","South Carolina","--","2,572,119","--","--","--"
"2022","Unintentional","Males","South Dakota","--","462,723","--","--","--"
"2022","Unintentional","Males","Tennessee","12**","3,462,358","0.35**","0.34**","347"
"2022","Unintentional","Males","Texas","42","15,019,450","0.28","0.28","1,415"
"2022","Unintentional","Males","Utah","--","1,716,831","--","--","--"
"2022","Unintentional","Males","Vermont","0**","322,025","0.00**","0.00**","--"
"2022","Unintentional","Males","Virginia","11**","4,299,114","0.26**","0.25**","312"
"2022","Unintentional","Males","Washington","--","3,928,342","--","--","--"
"2022","Unintentional","Males","West Virginia","--","886,306","--","--","--"
"2022","Unintentional","Males","Wisconsin","--","2,955,306","--","--","--"
"2022","Unintentional","Males","Wyoming","--","297,954","--","--","--"
"2022","Unintentional","Females","Alabama","--","2,606,936","--","--","--"
"2022","Unintentional","Females","Arizona","--","3,680,163","--","--","--"
"2022","Unintentional","Females","Arkansas","--","1,540,160","--","--","--"
"2022","Unintentional","Females","California","--","19,494,326","--","--","--"
"2022","Unintentional","Females","Colorado","--","2,875,382","--","--","--"
"2022","Unintentional","Females","Connecticut","0**","1,849,951","0.00**","0.00**","--"
"2022","Unintentional","Females","Delaware","0**","523,876","0.00**","0.00**","--"
"2022","Unintentional","Females","District of Columbia","0**","352,121","0.00**","0.00**","--"
"2022","Unintentional","Females","Florida","--","11,299,397","--","--","--"
"2022","Unintentional","Females","Georgia","--","5,582,224","--","--","--"
"2022","Unintentional","Females","Idaho","--","961,894","--","--","--"
"2022","Unintentional","Females","Illinois","--","6,353,298","--","--","--"
"2022","Unintentional","Females","Indiana","--","3,437,549","--","--","--"
"2022","Unintentional","Females","Kansas","--","1,461,695","--","--","--"
"2022","Unintentional","Females","Kentucky","--","2,271,801","--","--","--"
"2022","Unintentional","Females","Louisiana","--","2,342,871","--","--","--"
"2022","Unintentional","Females","Michigan","--","5,051,569","--","--","--"
"2022","Unintentional","Females","Minnesota","--","2,845,968","--","--","--"
"2022","Unintentional","Females","Mississippi","--","1,511,281","--","--","--"
"2022","Unintentional","Females","Missouri","--","3,123,136","--","--","--"
"2022","Unintentional","Females","Nebraska","--","977,251","--","--","--"
"2022","Unintentional","Females","Nevada","--","1,573,920","--","--","--"
"2022","Unintentional","Females","New Mexico","--","1,060,193","--","--","--"
"2022","Unintentional","Females","North Carolina","--","5,459,144","--","--","--"
"2022","Unintentional","Females","Ohio","--","5,946,374","--","--","--"
"2022","Unintentional","Females","Oregon","--","2,122,965","--","--","--"
"2022","Unintentional","Females","Pennsylvania","--","6,566,665","--","--","--"
"2022","Unintentional","Females","South Carolina","--","2,710,515","--","--","--"
"2022","Unintentional","Females","South Dakota","--","447,101","--","--","--"
"2022","Unintentional","Females","Tennessee","--","3,588,981","--","--","--"
"2022","Unintentional","Females","Texas","--","15,010,122","--","--","--"
"2022","Unintentional","Females","West Virginia","--","888,850","--","--","--"
"2022","Homicide","Males","Alabama","528","2,467,360","21.40","22.34","17,373"
"2022","Homicide","Males","Alaska","29","385,947","7.51","7.26","962"
"2022","Homicide","Males","Arizona","402","3,679,034","10.93","11.30","12,464"
"2022","Homicide","Males","Arkansas","236","1,505,477","15.68","16.16","7,593"
"2022","Homicide","Males","California","1,475","19,535,016","7.55","7.49","46,247"
"2022","Homicide","Males","Colorado","230","2,964,544","7.76","7.64","7,644"
"2022","Homicide","Males","Connecticut","95","1,776,254","5.35","5.59","3,313"
"2022","Homicide","Males","Delaware","42","494,520","8.49","9.35","1,470"
"2022","Homicide","Males","District of Columbia","128","319,682","40.04","38.20","4,259"
"2022","Homicide","Males","Florida","979","10,945,426","8.94","9.73","31,666"
"2022","Homicide","Males","Georgia","857","5,330,652","16.08","16.11","28,984"
