"Intent","Year","Estimated Number","Population","Crude Rate","Age-Adjusted Rate","Cases (Sample)","Standard Error","CV","Lower 95% CI","Upper 95% CI"
"Unintentional (Includes undetermined)","2021","30,303","331,893,745","9.13","9.46","647","7,809","25.8%","14,997","45,609"
"Unintentional (Includes undetermined)","2020","29,317","329,484,123","8.90","9.19","603","7,626","26.0%","14,371","44,263"
"Unintentional (Includes undetermined)","2019","20,814","328,329,953","6.34","6.51","426","5,445","26.2%","10,142","31,485"
"Unintentional (Includes undetermined)","2018","18,921","326,838,199","5.79","5.90","355","5,263","27.8%","8,606","29,236"
"Unintentional (Includes undetermined)","2017","20,488","325,122,128","6.30","6.41","394","5,251","25.6%","10,195","30,780"
"Unintentional (Includes undetermined)","2016","21,219","323,071,755","6.57","6.46","412","4,636","21.8%","12,132","30,306"
"Unintentional (Includes undetermined)","2015","17,311","320,738,994","5.40","5.31","371","4,055","23.4%","9,363","25,259"
"Unintentional (Includes undetermined)","2014","15,928","318,386,329","5.00","4.91","341","2,823","17.7%","10,396","21,460"
"Unintentional (Includes undetermined)","2013","16,864","316,059,947","5.34","5.37","346","4,611","27.3%","7,827","25,900"
"Unintentional (Includes undetermined)","2012","17,362","313,877,662","5.53","5.45","305","4,972","28.6%","7,617","27,106"
"Unintentional (Includes undetermined)","2011","14,675","311,583,481","4.71","4.66","290","3,953","26.9%","6,927","22,423"
"Unintentional (Includes undetermined)","2010","14,161","308,758,105","4.59","4.61","271","3,190","22.5%","7,908","20,414"
"Unintentional (Includes undetermined)","2009","18,610","306,771,529","6.07","6.00","343","3,510","18.9%","11,731","25,489"
"Unintentional (Includes undetermined)","2008","17,215","304,093,966","5.66","5.66","285","3,067","17.8%","11,204","23,226"
"Unintentional (Includes undetermined)","2007","15,698","301,231,207","5.21","5.13","266","3,497","22.3%","8,844","22,551"
"Unintentional (Includes undetermined)","2006","14,678","298,379,912","4.92","4.86","280","3,131","21.3%","8,541","20,816"
"Unintentional (Includes undetermined)","2005","15,388","295,516,599","5.21","5.10","327","3,331","21.6%","8,859","21,917"
"Unintentional (Includes undetermined)","2004","16,555","292,805,298","5.65","5.64","353","3,896","23.5%","8,920","24,191"
"Unintentional (Includes undetermined)","2003","18,941","290,107,933","6.53","6.46","331","3,598","19.0%","11,889","25,992"
"Unintentional (Includes undetermined)","2002","17,579","287,625,193","6.11","6.04","340","3,802","21.6%","10,128","25,030"
"Unintentional (Includes undetermined)","2001","17,696","284,968,955","6.21","6.08","322","3,646","20.6%","10,550","24,842"
"Assault - Other","2021","--","331,893,745","--","--","--","--","--","--","--"
"Assault - Other","2020","--","329,484,123","--","--","--","--","--","--","--"
"Assault - Other","2019","--","328,329,953","--","--","--","--","--","--","--"
