"Year","Age Group","Estimated Number","Population","Crude Rate","Age-Adjusted Rate","Cases (Sample)","Standard Error","CV","Lower 95% CI","Upper 95% CI"
"2021","0 to 4","--","18,827,338","--","--","--","--","--","--","--"
"2021","5 to 9","--","20,291,548","--","--","--","--","--","--","--"
"2021","10 to 14","1,673","21,447,784","7.80","--","72","492","29.4%","709","2,637"
"2021","15 to 19","--","21,564,666","--","--","--","--","--","--","--"
"2021","20 to 24","--","21,523,997","--","--","--","--","--","--","--"
"2021","25 to 29","--","22,392,477","--","--","--","--","--","--","--"
"2021","30 to 34","--","23,102,628","--","--","--","--","--","--","--"
"2021","35 to 39","--","22,299,318","--","--","--","--","--","--","--"
"2021","40 to 44","--","21,104,536","--","--","--","--","--","--","--"
"2021","45 to 49","--","19,781,510","--","--","--","--","--","--","--"
"2021","50 to 54","--","20,906,926","--","--","--","--","--","--","--"
"2021","55 to 59","--","21,567,314","--","--","--","--","--","--","--"
"2021","60 to 64","--","21,235,750","--","--","--","--","--","--","--"
"2021","65 to 69","2,124","18,394,320","11.55","--","44","604","28.5%","940","3,309"
"2021","70 to 74","--","15,271,802","--","--","--","--","--","--","--"
"2021","75 to 79","--","9,904,769","--","--","--","--","--","--","--"
"2021","80 to 84","--","6,301,306","--","--","--","--","--","--","--"
"2021","85+","--","5,975,756","--","--","--","--","--","--","--"
"2021","Unknown","--","--","--","--","--","--","--","--","--"
"2020","0 to 4","--","19,301,292","--","--","--","--","--","--","--"
"2020","5 to 9","--","20,237,711","--","--","--","--","--","--","--"
"2020","10 to 14","--","20,754,423","--","--","--","--","--","--","--"
"2020","15 to 19","--","20,960,929","--","--","--","--","--","--","--"
"2020","20 to 24","--","21,594,755","--","--","--","--","--","--","--"
"2020","25 to 29","--","23,231,243","--","--","--","--","--","--","--"
"2020","30 to 34","--","22,838,403","--","--","--","--","--","--","--"
"2020","35 to 39","--","21,828,304","--","--","--","--","--","--","--"
"2020","40 to 44","--","20,307,888","--","--","--","--","--","--","--"
"2020","45 to 49","--","19,970,606","--","--","--","--","--","--","--"
"2020","50 to 54","5,311","20,395,527","26.04","--","109","1,508","28.4%","2,355","8,266"
"2020","55 to 59","--","21,603,099","--","--","--","--","--","--","--"
"2020","60 to 64","--","20,800,578","--","--","--","--","--","--","--"
"2020","65 to 69","--","17,873,667","--","--","--","--","--","--","--"
"2020","70 to 74","--","14,675,731","--","--","--","--","--","--","--"
"2020","75 to 79","--","9,986,833","--","--","--","--","--","--","--"
"2020","80 to 84","--","6,464,714","--","--","--","--","--","--","--"
"2020","85+","--","6,658,420","--","--","--","--","--","--","--"
"2020","Unknown","--","--","--","--","--","--","--","--","--"
"2019","0 to 4","--","19,571,339","--","--","--","--","--","--","--"
"2019","5 to 9","--","20,221,753","--","--","--","--","--","--","--"
