"Year","Sex","Estimated Number","Population","Crude Rate","Age-Adjusted Rate","Cases (Sample)","Standard Error","CV","Lower 95% CI","Upper 95% CI"
"2021","Males","--","164,384,742","--","--","--","--","--","--","--"
"2021","Females","--","167,509,003","--","--","--","--","--","--","--"
"2020","Males","--","162,256,202","--","--","--","--","--","--","--"
"2020","Females","--","167,227,921","--","--","--","--","--","--","--"
"2020","Unknown","--","--","--","--","--","--","--","--","--"
"2019","Males","--","161,692,336","--","--","--","--","--","--","--"
"2019","Females","--","166,637,617","--","--","--","--","--","--","--"
"2019","Unknown","--","--","--","--","--","--","--","--","--"
"2018","Males","--","160,960,513","--","--","--","--","--","--","--"
"2018","Females","--","165,877,686","--","--","--","--","--","--","--"
"2018","Unknown","--","--","--","--","--","--","--","--","--"
"2017","Males","--","160,113,445","--","--","--","--","--","--","--"
"2017","Females","--","165,008,683","--","--","--","--","--","--","--"
"2016","Males","--","159,085,693","--","--","--","--","--","--","--"
"2016","Females","--","163,986,062","--","--","--","--","--","--","--"
"2015","Males","75,908","157,906,843","48.07","47.12","2,260","22,139","29.2%","32,516","119,300"
"2015","Females","9,065","162,832,151","5.57","5.72","267","2,653","29.3%","3,865","14,266"
"2015","Unknown","--","--","--","--","--","--","--","--","--"
"2014","Males","72,215","156,695,810","46.09","45.14","2,053","20,807","28.8%","31,434","112,996"
"2014","Females","--","161,690,519","--","--","--","--","--","--","--"
"2014","Unknown","--","--","--","--","--","--","--","--","--"
"2013","Males","74,575","155,514,054","47.95","47.14","2,048","21,610","29.0%","32,220","116,931"
"2013","Females","9,674","160,545,893","6.03","6.16","256","2,780","28.7%","4,224","15,124"
"2013","Unknown","--","--","--","--","--","--","--","--","--"
"2012","Males","73,531","154,397,027","47.62","46.60","1,838","18,176","24.7%","37,905","109,157"
"2012","Females","7,864","159,480,635","4.93","4.92","198","1,873","23.8%","4,194","11,535"
"2011","Males","65,271","153,212,980","42.60","41.32","1,553","16,599","25.4%","32,738","97,805"
"2011","Females","8,612","158,370,501","5.44","5.69","195","2,448","28.4%","3,813","13,411"
"2010","Males","65,824","151,788,777","43.37","42.71","1,560","17,047","25.9%","32,412","99,237"
"2010","Females","7,680","156,969,328","4.89","4.99","173","2,106","27.4%","3,552","11,809"
"2009","Males","58,661","150,807,454","38.90","37.77","1,529","14,053","24.0%","31,116","86,205"
"2009","Females","8,085","155,964,075","5.18","5.36","176","1,661","20.5%","4,830","11,341"
"2009","Unknown","--","--","--","--","--","--","--","--","--"
"2008","Males","71,170","149,489,951","47.61","46.16","1,684","18,272","25.7%","35,358","106,983"
"2008","Females","7,451","154,604,015","4.82","4.97","171","2,087","28.0%","3,361","11,542"
"2007","Males","62,674","148,064,854","42.33","41.01","1,610","17,667","28.2%","28,046","97,302"
"2007","Females","7,181","153,166,353","4.69","4.73","180","2,057","28.6%","3,149","11,213"
"2007","Unknown","--","--","--","--","--","--","--","--","--"
"2006","Males","63,349","146,647,265","43.20","41.51","1,656","17,630","27.8%","28,794","97,904"
"2006","Females","7,968","151,732,647","5.25","5.34","184","1,560","19.6%","4,909","11,026"
"2006","Unknown","--","--","--","--","--","--","--","--","--"
"2005","Males","63,095","145,197,078","43.45","41.91","1,664","16,571","26.3%","30,616","95,573"
"2005","Females","6,730","150,319,521","4.48","4.57","166","1,582","23.5%","3,630","9,831"
"2004","Males","57,730","143,828,012","40.14","38.75","1,533","13,857","24.0%","30,570","84,890"
"2004","Females","6,557","148,977,286","4.40","4.48","159","1,784","27.2%","3,061","10,053"
"2004","Unknown","--","--","--","--","--","--","--","--","--"
"2003","Males","59,214","142,428,897","41.57","40.07","1,375","12,680","21.4%","34,361","84,067"
"2003","Females","6,620","147,679,036","4.48","4.54","139","1,803","27.2%","3,086","10,154"
"2002","Males","52,554","141,230,559","37.21","35.71","1,375","11,274","21.5%","30,456","74,651"
"2002","Females","6,264","146,394,634","4.28","4.33","160","1,321","21.1%","3,675","8,853"
"2002","Unknown","--","--","--","--","--","--","--","--","--"
"2001","Males","55,781","139,891,492","39.87","38.01","1,333","12,311","22.1%","31,651","79,912"
"2001","Females","7,231","145,077,463","4.98","5.08","145","1,750","24.2%","3,802","10,660"
"Total","","1,944,042","6,515,645,013","29.84","--","46,062","--","--","--","--"
"","","","","","","","","","",""
"Injury Outcome: Nonfatal All Injuries","","","","","","","","","",""
"Data Years: 2001 to 2021","","","","","","","","","",""
"Geography: United States","","","","","","","","","",""
"Disposition: All Cases","","","","","","","","","",""
"Intent: All Intents","","","","","","","","","",""
"Mechanism: Firearm","","","","","","","","","",""
"Age: All Ages","","","","","","","","","",""
"Sex: Males, Females, Unknown","","","","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","","","","",""
