"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code","Age Groups","Age Groups Code",Count,Population,Crude Rate
,"1999","1999","Breast","26000","Alabama","01","< 1 year","1",0,28712,0.0
,"1999","1999","Breast","26000","Alabama","01","1-4 years","1-4",0,115715,0.0
,"1999","1999","Breast","26000","Alabama","01","5-9 years","5-9",0,153779,0.0
,"1999","1999","Breast","26000","Alabama","01","10-14 years","10-14",0,154380,0.0
,"1999","1999","Breast","26000","Alabama","01","15-19 years","15-19",0,161690,0.0
,"1999","1999","Breast","26000","Alabama","01","20-24 years","20-24",Suppressed,154634,Suppressed
,"1999","1999","Breast","26000","Alabama","01","25-29 years","25-29",Suppressed,155151,Suppressed
,"1999","1999","Breast","26000","Alabama","01","30-34 years","30-34",54,153099,35.3
,"1999","1999","Breast","26000","Alabama","01","35-39 years","35-39",136,175011,77.7
,"1999","1999","Breast","26000","Alabama","01","40-44 years","40-44",220,176290,124.8
,"1999","1999","Breast","26000","Alabama","01","45-49 years","45-49",280,159445,175.6
,"1999","1999","Breast","26000","Alabama","01","50-54 years","50-54",359,141883,253.0
,"1999","1999","Breast","26000","Alabama","01","55-59 years","55-59",330,115362,286.1
,"1999","1999","Breast","26000","Alabama","01","60-64 years ","60-64",354,101124,350.1
,"1999","1999","Breast","26000","Alabama","01","65-69 years","65-69",326,91405,356.7
,"1999","1999","Breast","26000","Alabama","01","70-74 years","70-74",341,85406,399.3
,"1999","1999","Breast","26000","Alabama","01","75-79 years","75-79",278,71682,387.8
,"1999","1999","Breast","26000","Alabama","01","80-84 years","80-84",187,50239,372.2
,"1999","1999","Breast","26000","Alabama","01","85+ years","85+",128,48252,265.3
,"1999","1999","Breast","26000","Alaska","02","< 1 year","1",0,4427,0.0
,"1999","1999","Breast","26000","Alaska","02","1-4 years","1-4",0,18915,0.0
,"1999","1999","Breast","26000","Alaska","02","5-9 years","5-9",0,26893,0.0
,"1999","1999","Breast","26000","Alaska","02","10-14 years","10-14",0,27178,0.0
,"1999","1999","Breast","26000","Alaska","02","15-19 years","15-19",0,23567,0.0
,"1999","1999","Breast","26000","Alaska","02","20-24 years","20-24",Suppressed,18485,Suppressed
,"1999","1999","Breast","26000","Alaska","02","25-29 years","25-29",Suppressed,20053,Suppressed
,"1999","1999","Breast","26000","Alaska","02","30-34 years","30-34",Suppressed,23259,Suppressed
,"1999","1999","Breast","26000","Alaska","02","35-39 years","35-39",17,28001,60.7
,"1999","1999","Breast","26000","Alaska","02","40-44 years","40-44",36,28816,124.9
,"1999","1999","Breast","26000","Alaska","02","45-49 years","45-49",44,25028,175.8
,"1999","1999","Breast","26000","Alaska","02","50-54 years","50-54",51,18261,279.3
,"1999","1999","Breast","26000","Alaska","02","55-59 years","55-59",36,12235,294.2
,"1999","1999","Breast","26000","Alaska","02","60-64 years ","60-64",31,7933,390.8
,"1999","1999","Breast","26000","Alaska","02","65-69 years","65-69",21,6069,346.0
,"1999","1999","Breast","26000","Alaska","02","70-74 years","70-74",24,4863,493.5
,"1999","1999","Breast","26000","Alaska","02","75-79 years","75-79",19,3595,528.5
,"1999","1999","Breast","26000","Alaska","02","80-84 years","80-84",Suppressed,2061,Suppressed
,"1999","1999","Breast","26000","Alaska","02","85+ years","85+",Suppressed,1627,Suppressed
,"1999","1999","Breast","26000","Arizona","04","< 1 year","1",0,37892,0.0
,"1999","1999","Breast","26000","Arizona","04","1-4 years","1-4",0,145805,0.0
,"1999","1999","Breast","26000","Arizona","04","5-9 years","5-9",0,185805,0.0
,"1999","1999","Breast","26000","Arizona","04","10-14 years","10-14",0,177345,0.0
,"1999","1999","Breast","26000","Arizona","04","15-19 years","15-19",Suppressed,173368,Suppressed
,"1999","1999","Breast","26000","Arizona","04","20-24 years","20-24",Suppressed,166323,Suppressed
,"1999","1999","Breast","26000","Arizona","04","25-29 years","25-29",Suppressed,178042,Suppressed
,"1999","1999","Breast","26000","Arizona","04","30-34 years","30-34",38,176739,21.5
,"1999","1999","Breast","26000","Arizona","04","35-39 years","35-39",106,193497,54.8
,"1999","1999","Breast","26000","Arizona","04","40-44 years","40-44",195,183329,106.4
,"1999","1999","Breast","26000","Arizona","04","45-49 years","45-49",280,163841,170.9
,"1999","1999","Breast","26000","Arizona","04","50-54 years","50-54",351,144700,242.6
,"1999","1999","Breast","26000","Arizona","04","55-59 years","55-59",359,120208,298.6
,"1999","1999","Breast","26000","Arizona","04","60-64 years ","60-64",371,104097,356.4
,"1999","1999","Breast","26000","Arizona","04","65-69 years","65-69",404,98389,410.6
,"1999","1999","Breast","26000","Arizona","04","70-74 years","70-74",435,93661,464.4
,"1999","1999","Breast","26000","Arizona","04","75-79 years","75-79",370,79267,466.8
,"1999","1999","Breast","26000","Arizona","04","80-84 years","80-84",220,51946,423.5
,"1999","1999","Breast","26000","Arizona","04","85+ years","85+",173,44045,392.8
,"1999","1999","Breast","26000","Arkansas","05","< 1 year","1",0,17501,0.0
,"1999","1999","Breast","26000","Arkansas","05","1-4 years","1-4",0,71093,0.0
,"1999","1999","Breast","26000","Arkansas","05","5-9 years","5-9",0,91756,0.0
,"1999","1999","Breast","26000","Arkansas","05","10-14 years","10-14",0,93689,0.0
,"1999","1999","Breast","26000","Arkansas","05","15-19 years","15-19",0,97269,0.0
,"1999","1999","Breast","26000","Arkansas","05","20-24 years","20-24",Suppressed,89045,Suppressed
