"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","Age Groups","Age Groups Code",Count,Population,Crude Rate
,"1999","1999","Breast","26000","< 1 year","1",0,1827171,0.0
,"1999","1999","Breast","26000","1-4 years","1-4",0,7394181,0.0
,"1999","1999","Breast","26000","5-9 years","5-9",0,9919394,0.0
,"1999","1999","Breast","26000","10-14 years","10-14",Suppressed,9719801,Suppressed
,"1999","1999","Breast","26000","15-19 years","15-19",16,9615370,0.2
,"1999","1999","Breast","26000","20-24 years","20-24",122,8967771,1.4
,"1999","1999","Breast","26000","25-29 years","25-29",780,9573296,8.1
,"1999","1999","Breast","26000","30-34 years","30-34",2791,10131068,27.5
,"1999","1999","Breast","26000","35-39 years","35-39",7061,11335710,62.3
,"1999","1999","Breast","26000","40-44 years","40-44",13413,11057798,121.3
,"1999","1999","Breast","26000","45-49 years","45-49",18867,9864954,191.3
,"1999","1999","Breast","26000","50-54 years","50-54",22226,8540542,260.2
,"1999","1999","Breast","26000","55-59 years","55-59",21605,6680872,323.4
,"1999","1999","Breast","26000","60-64 years ","60-64",20652,5538848,372.9
,"1999","1999","Breast","26000","65-69 years","65-69",21395,5073442,421.7
,"1999","1999","Breast","26000","70-74 years","70-74",22974,4918966,467.0
,"1999","1999","Breast","26000","75-79 years","75-79",20911,4276338,489.0
,"1999","1999","Breast","26000","80-84 years","80-84",14028,3039863,461.5
,"1999","1999","Breast","26000","85+ years","85+",11744,2918829,402.4
,"2000","2000","Breast","26000","< 1 year","1",Suppressed,1856559,Suppressed
,"2000","2000","Breast","26000","1-4 years","1-4",0,7386625,0.0
,"2000","2000","Breast","26000","5-9 years","5-9",0,9852526,0.0
,"2000","2000","Breast","26000","10-14 years","10-14",Suppressed,9926394,Suppressed
,"2000","2000","Breast","26000","15-19 years","15-19",Suppressed,9710015,Suppressed
,"2000","2000","Breast","26000","20-24 years","20-24",121,9217075,1.3
,"2000","2000","Breast","26000","25-29 years","25-29",792,9412771,8.4
,"2000","2000","Breast","26000","30-34 years","30-34",2711,10075949,26.9
,"2000","2000","Breast","26000","35-39 years","35-39",6929,11220940,61.8
,"2000","2000","Breast","26000","40-44 years","40-44",13387,11212451,119.4
,"2000","2000","Breast","26000","45-49 years","45-49",19421,10139929,191.5
,"2000","2000","Breast","26000","50-54 years","50-54",22613,8966667,252.2
,"2000","2000","Breast","26000","55-59 years","55-59",22357,6922269,323.0
,"2000","2000","Breast","26000","60-64 years ","60-64",21144,5620799,376.2
,"2000","2000","Breast","26000","65-69 years","65-69",21386,5057099,422.9
,"2000","2000","Breast","26000","70-74 years","70-74",21980,4885847,449.9
,"2000","2000","Breast","26000","75-79 years","75-79",20330,4327077,469.8
,"2000","2000","Breast","26000","80-84 years","80-84",13938,3090837,450.9
,"2000","2000","Breast","26000","85+ years","85+",11586,2983941,388.3
,"2001","2001","Breast","26000","< 1 year","1",0,1942094,0.0
,"2001","2001","Breast","26000","1-4 years","1-4",0,7389458,0.0
,"2001","2001","Breast","26000","5-9 years","5-9",Suppressed,9740654,Suppressed
,"2001","2001","Breast","26000","10-14 years","10-14",Suppressed,10123827,Suppressed
,"2001","2001","Breast","26000","15-19 years","15-19",22,9797025,0.2
,"2001","2001","Breast","26000","20-24 years","20-24",130,9567089,1.4
,"2001","2001","Breast","26000","25-29 years","25-29",786,9208824,8.5
,"2001","2001","Breast","26000","30-34 years","30-34",2901,10166748,28.5
,"2001","2001","Breast","26000","35-39 years","35-39",6870,11035791,62.3
,"2001","2001","Breast","26000","40-44 years","40-44",13611,11390611,119.5
,"2001","2001","Breast","26000","45-49 years","45-49",19359,10404182,186.1
,"2001","2001","Breast","26000","50-54 years","50-54",23494,9449057,248.6
,"2001","2001","Breast","26000","55-59 years","55-59",23229,7138713,325.4
,"2001","2001","Breast","26000","60-64 years ","60-64",21567,5773027,373.6
,"2001","2001","Breast","26000","65-69 years","65-69",21270,5080378,418.7
,"2001","2001","Breast","26000","70-74 years","70-74",21736,4858423,447.4
,"2001","2001","Breast","26000","75-79 years","75-79",20374,4336371,469.8
,"2001","2001","Breast","26000","80-84 years","80-84",14260,3180706,448.3
,"2001","2001","Breast","26000","85+ years","85+",11741,3020999,388.6
,"2002","2002","Breast","26000","< 1 year","1",0,1913004,0.0
,"2002","2002","Breast","26000","1-4 years","1-4",0,7484518,0.0
,"2002","2002","Breast","26000","5-9 years","5-9",0,9598433,0.0
,"2002","2002","Breast","26000","10-14 years","10-14",Suppressed,10263170,Suppressed
,"2002","2002","Breast","26000","15-19 years","15-19",19,9872299,0.2
,"2002","2002","Breast","26000","20-24 years","20-24",134,9804605,1.4
,"2002","2002","Breast","26000","25-29 years","25-29",805,9156096,8.8
,"2002","2002","Breast","26000","30-34 years","30-34",2741,10172399,26.9
,"2002","2002","Breast","26000","35-39 years","35-39",6541,10800992,60.6
,"2002","2002","Breast","26000","40-44 years","40-44",13527,11426121,118.4
,"2002","2002","Breast","26000","45-49 years","45-49",19485,10681521,182.4
,"2002","2002","Breast","26000","50-54 years","50-54",22996,9479615,242.6
,"2002","2002","Breast","26000","55-59 years","55-59",24290,7726133,314.4
,"2002","2002","Breast","26000","60-64 years ","60-64",22318,5988972,372.7
,"2002","2002","Breast","26000","65-69 years","65-69",21146,5109390,413.9
,"2002","2002","Breast","26000","70-74 years","70-74",20991,4803492,437.0
,"2002","2002","Breast","26000","75-79 years","75-79",19718,4326571,455.7
,"2002","2002","Breast","26000","80-84 years","80-84",14362,3264277,440.0
,"2002","2002","Breast","26000","85+ years","85+",11506,3047614,377.5
,"2003","2003","Breast","26000","< 1 year","1",Suppressed,1942634,Suppressed
,"2003","2003","Breast","26000","1-4 years","1-4",0,7636693,0.0
,"2003","2003","Breast","26000","5-9 years","5-9",Suppressed,9581247,Suppressed
,"2003","2003","Breast","26000","10-14 years","10-14",Suppressed,10444875,Suppressed
,"2003","2003","Breast","26000","15-19 years","15-19",17,10086567,0.2
,"2003","2003","Breast","26000","20-24 years","20-24",140,10093723,1.4
,"2003","2003","Breast","26000","25-29 years","25-29",825,9307104,8.9
,"2003","2003","Breast","26000","30-34 years","30-34",2788,10193818,27.3
,"2003","2003","Breast","26000","35-39 years","35-39",6618,10660101,62.1
,"2003","2003","Breast","26000","40-44 years","40-44",13776,11546602,119.3
,"2003","2003","Breast","26000","45-49 years","45-49",20352,11017265,184.7
,"2003","2003","Breast","26000","50-54 years","50-54",22324,9759654,228.7
,"2003","2003","Breast","26000","55-59 years","55-59",23723,8141956,291.4
,"2003","2003","Breast","26000","60-64 years ","60-64",21797,6377463,341.8
,"2003","2003","Breast","26000","65-69 years","65-69",19893,5253706,378.6
,"2003","2003","Breast","26000","70-74 years","70-74",19334,4794496,403.3
,"2003","2003","Breast","26000","75-79 years","75-79",18838,4365982,431.5
,"2003","2003","Breast","26000","80-84 years","80-84",13879,3347175,414.6
,"2003","2003","Breast","26000","85+ years","85+",11203,3127975,358.2
,"2004","2004","Breast","26000","< 1 year","1",0,1962216,0.0
,"2004","2004","Breast","26000","1-4 years","1-4",0,7713175,0.0
,"2004","2004","Breast","26000","5-9 years","5-9",0,9503231,0.0
,"2004","2004","Breast","26000","10-14 years","10-14",Suppressed,10443706,Suppressed
,"2004","2004","Breast","26000","15-19 years","15-19",17,10242793,0.2
,"2004","2004","Breast","26000","20-24 years","20-24",138,10190641,1.4
,"2004","2004","Breast","26000","25-29 years","25-29",810,9479080,8.5
,"2004","2004","Breast","26000","30-34 years","30-34",2799,10041145,27.9
