"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States","States Code","Race","Race Code","Ethnicity","Ethnicity Code",Count,Population,Crude Rate
,"1999","1999","Breast","26000","Alabama","01","American Indian or Alaska Native","1002-5","Hispanic","2135-2",0,206,0.0
,"1999","1999","Breast","26000","Alabama","01","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",Suppressed,11205,Suppressed
,"1999","1999","Breast","26000","Alabama","01","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Breast","26000","Alabama","01","Asian or Pacific Islander","A-PI","Hispanic","2135-2",Suppressed,219,Suppressed
,"1999","1999","Breast","26000","Alabama","01","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",Suppressed,17489,Suppressed
,"1999","1999","Breast","26000","Alabama","01","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Breast","26000","Alabama","01","Black or African American","2054-5","Hispanic","2135-2",Suppressed,3005,Suppressed
,"1999","1999","Breast","26000","Alabama","01","Black or African American","2054-5","Non-Hispanic","2186-5",593,620470,95.6
,"1999","1999","Breast","26000","Alabama","01","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Breast","26000","Alabama","01","White","2106-3","Hispanic","2135-2",Suppressed,24671,Suppressed
,"1999","1999","Breast","26000","Alabama","01","White","2106-3","Non-Hispanic","2186-5",2349,1615994,145.4
,"1999","1999","Breast","26000","Alabama","01","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Breast","26000","Alabama","01","Other Races and Unknown combined","2131-1","Hispanic","2135-2",Suppressed,Not Applicable,Not Applicable
,"1999","1999","Breast","26000","Alabama","01","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",22,Not Applicable,Not Applicable
,"1999","1999","Breast","26000","Alabama","01","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Breast","26000","Alaska","02","American Indian or Alaska Native","1002-5","Hispanic","2135-2",0,1047,0.0
,"1999","1999","Breast","26000","Alaska","02","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",35,51561,67.9
,"1999","1999","Breast","26000","Alaska","02","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Breast","26000","Alaska","02","Asian or Pacific Islander","A-PI","Hispanic","2135-2",0,378,0.0
,"1999","1999","Breast","26000","Alaska","02","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",Suppressed,15534,Suppressed
