"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States","States Code",Count,Population,Crude Rate
,"1999","1999","Breast","26000","Alabama","01",3009,2293259,131.2
,"1999","1999","Breast","26000","Alaska","02",306,301266,101.6
,"1999","1999","Breast","26000","Arizona","04",3319,2518299,131.8
,"1999","1999","Breast","26000","Arkansas","05",1851,1359445,136.2
,"1999","1999","Breast","26000","California","06",21924,16800161,130.5
,"1999","1999","Breast","26000","Colorado","08",2858,2101358,136.0
,"1999","1999","Breast","26000","Connecticut","09",2975,1747148,170.3
,"1999","1999","Breast","26000","Delaware","10",585,398732,146.7
,"1999","1999","Breast","26000","District of Columbia","11",447,301797,148.1
,"1999","1999","Breast","26000","Florida","12",13585,8073847,168.3
,"1999","1999","Breast","26000","Georgia","13",4736,4096031,115.6
,"1999","1999","Breast","26000","Hawaii","15",880,601830,146.2
,"1999","1999","Breast","26000","Idaho","16",816,636798,128.1
,"1999","1999","Breast","26000","Illinois","17",9062,6313350,143.5
,"1999","1999","Breast","26000","Indiana","18",4369,3083351,141.7
,"1999","1999","Breast","26000","Iowa","19",2336,1488223,157.0
,"1999","1999","Breast","26000","Kansas","20",1976,1356044,145.7
,"1999","1999","Breast","26000","Kentucky","21",2914,2056401,141.7
,"1999","1999","Breast","26000","Louisiana","22",2978,2302744,129.3
,"1999","1999","Breast","26000","Maine","23",996,650598,153.1
,"1999","1999","Breast","26000","Maryland","24",3900,2716928,143.5
,"1999","1999","Breast","26000","Massachusetts","25",5200,3274830,158.8
,"1999","1999","Breast","26000","Michigan","26",7166,5047770,142.0
,"1999","1999","Breast","26000","Minnesota","27",3491,2462931,141.7
,"1999","1999","Breast","26000","Mississippi","28",Missing,Missing,Missing
,"1999","1999","Breast","26000","Missouri","29",4099,2860166,143.3
,"1999","1999","Breast","26000","Montana","30",711,450543,157.8
,"1999","1999","Breast","26000","Nebraska","31",1257,865531,145.2
,"1999","1999","Breast","26000","Nevada","32",1018,949422,107.2
,"1999","1999","Breast","26000","New Hampshire","33",906,621409,145.8
,"1999","1999","Breast","26000","New Jersey","34",6750,4304271,156.8
,"1999","1999","Breast","26000","New Mexico","35",1178,918661,128.2
,"1999","1999","Breast","26000","New York","36",14215,9777654,145.4
,"1999","1999","Breast","26000","North Carolina","37",5541,4062710,136.4
,"1999","1999","Breast","26000","North Dakota","38",477,322617,147.9
,"1999","1999","Breast","26000","Ohio","39",8787,5835017,150.6
,"1999","1999","Breast","26000","Oklahoma","40",2553,1748783,146.0
,"1999","1999","Breast","26000","Oregon","41",2865,1712226,167.3
,"1999","1999","Breast","26000","Pennsylvania","42",10416,6347064,164.1
,"1999","1999","Breast","26000","Rhode Island","44",842,540724,155.7
,"1999","1999","Breast","26000","South Carolina","45",2839,2045606,138.8
,"1999","1999","Breast","26000","South Dakota","46",Missing,Missing,Missing
,"1999","1999","Breast","26000","Tennessee","47",3672,2897466,126.7
,"1999","1999","Breast","26000","Texas","48",12098,10360202,116.8
,"1999","1999","Breast","26000","Utah","49",1006,1100167,91.4
,"1999","1999","Breast","26000","Vermont","50",516,308398,167.3
,"1999","1999","Breast","26000","Virginia","51",4769,3569683,133.6
,"1999","1999","Breast","26000","Washington","53",4545,2934901,154.9
,"1999","1999","Breast","26000","West Virginia","54",1450,931809,155.6
,"1999","1999","Breast","26000","Wisconsin","55",4064,2701525,150.4
,"1999","1999","Breast","26000","Wyoming","56",336,244518,137.4
,"2000","2000","Breast","26000","Alabama","01",2964,2302835,128.7
,"2000","2000","Breast","26000","Alaska","02",361,303213,119.1
,"2000","2000","Breast","26000","Arizona","04",3410,2584579,131.9
