Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,1999,1999,Breast,26000,50-54 years,50-54,3555,16923612,21
,1999,1999,Breast,26000,55-59 years,55-59,3682,13084821,28.1
,1999,1999,Breast,26000,60-64 years ,60-64,3717,10693205,34.8
,1999,1999,Breast,26000,65-69 years,65-69,4147,9541498,43.5
,1999,1999,Breast,26000,70-74 years,70-74,4962,8877411,55.9
,2000,2000,Breast,26000,50-54 years,50-54,3655,17779447,20.6
,2000,2000,Breast,26000,55-59 years,55-59,3790,13565937,27.9
,2000,2000,Breast,26000,60-64 years ,60-64,3783,10863129,34.8
,2000,2000,Breast,26000,65-69 years,65-69,4135,9523909,43.4
,2000,2000,Breast,26000,70-74 years,70-74,4889,8860028,55.2
,2001,2001,Breast,26000,50-54 years,50-54,3803,18687285,20.4
,2001,2001,Breast,26000,55-59 years,55-59,3843,13968975,27.5
,2001,2001,Breast,26000,60-64 years ,60-64,3789,11136320,34
,2001,2001,Breast,26000,65-69 years,65-69,3972,9562233,41.5
,2001,2001,Breast,26000,70-74 years,70-74,4743,8821946,53.8
,2002,2002,Breast,26000,50-54 years,50-54,3707,18739906,19.8
,2002,2002,Breast,26000,55-59 years,55-59,3924,15143067,25.9
,2002,2002,Breast,26000,60-64 years ,60-64,3914,11560265,33.9
,2002,2002,Breast,26000,65-69 years,65-69,3954,9638481,41
,2002,2002,Breast,26000,70-74 years,70-74,4551,8750054,52
,2003,2003,Breast,26000,50-54 years,50-54,3631,19097278,19
,2003,2003,Breast,26000,55-59 years,55-59,4206,15814557,26.6
,2003,2003,Breast,26000,60-64 years ,60-64,4061,12194388,33.3
,2003,2003,Breast,26000,65-69 years,65-69,3887,9830796,39.5
,2003,2003,Breast,26000,70-74 years,70-74,4451,8670119,51.3
,2004,2004,Breast,26000,50-54 years,50-54,3639,19564668,18.6
,2004,2004,Breast,26000,55-59 years,55-59,4312,16607176,26
,2004,2004,Breast,26000,60-64 years ,60-64,4162,12698128,32.8
,2004,2004,Breast,26000,65-69 years,65-69,4065,10073429,40.4
,2004,2004,Breast,26000,70-74 years,70-74,4220,8594104,49.1
,2005,2005,Breast,26000,50-54 years,50-54,3619,20296389,17.8
,2005,2005,Breast,26000,55-59 years,55-59,4393,17720854,24.8
,2005,2005,Breast,26000,60-64 years ,60-64,4345,13316528,32.6
,2005,2005,Breast,26000,65-69 years,65-69,3956,10426990,37.9
,2005,2005,Breast,26000,70-74 years,70-74,4242,8720225,48.6
,2006,2006,Breast,26000,50-54 years,50-54,3507,20802296,16.9
,2006,2006,Breast,26000,55-59 years,55-59,4549,18622104,24.4
,2006,2006,Breast,26000,60-64 years ,60-64,4425,13727378,32.2
,2006,2006,Breast,26000,65-69 years,65-69,3984,10709581,37.2
,2006,2006,Breast,26000,70-74 years,70-74,4065,8774951,46.3
,2007,2007,Breast,26000,50-54 years,50-54,3519,21374729,16.5
,2007,2007,Breast,26000,55-59 years,55-59,4307,18678382,23.1
,2007,2007,Breast,26000,60-64 years ,60-64,4541,14875832,30.5
,2007,2007,Breast,26000,65-69 years,65-69,4286,11130918,38.5
,2007,2007,Breast,26000,70-74 years,70-74,3990,8856410,45.1
,2008,2008,Breast,26000,50-54 years,50-54,3506,21876287,16
,2008,2008,Breast,26000,55-59 years,55-59,4241,19037202,22.3
,2008,2008,Breast,26000,60-64 years ,60-64,4645,15551146,29.9
,2008,2008,Breast,26000,65-69 years,65-69,4407,11760073,37.5
,2008,2008,Breast,26000,70-74 years,70-74,4141,9042434,45.8
,2009,2009,Breast,26000,50-54 years,50-54,3595,22243298,16.2
,2009,2009,Breast,26000,55-59 years,55-59,4188,19503576,21.5
,2009,2009,Breast,26000,60-64 years ,60-64,4804,16339105,29.4
,2009,2009,Breast,26000,65-69 years,65-69,4453,12263229,36.3
,2009,2009,Breast,26000,70-74 years,70-74,4080,9275381,44
,2010,2010,Breast,26000,50-54 years,50-54,3625,22599564,16
,2010,2010,Breast,26000,55-59 years,55-59,4304,20024271,21.5
,2010,2010,Breast,26000,60-64 years ,60-64,4901,17208628,28.5
,2010,2010,Breast,26000,65-69 years,65-69,4640,12697864,36.5
,2010,2010,Breast,26000,70-74 years,70-74,4160,9469382,43.9
,2011,2011,Breast,26000,50-54 years,50-54,3621,22844331,15.9
,2011,2011,Breast,26000,55-59 years,55-59,4357,20514950,21.2
,2011,2011,Breast,26000,60-64 years ,60-64,4956,18035633,27.5
,2011,2011,Breast,26000,65-69 years,65-69,4688,13062581,35.9
,2011,2011,Breast,26000,70-74 years,70-74,4226,9730434,43.4
,2012,2012,Breast,26000,50-54 years,50-54,3418,22884279,14.9
,2012,2012,Breast,26000,55-59 years,55-59,4407,21054500,20.9
,2012,2012,Breast,26000,60-64 years ,60-64,4874,18036056,27
,2012,2012,Breast,26000,65-69 years,65-69,4861,14167268,34.3
,2012,2012,Breast,26000,70-74 years,70-74,4317,10123795,42.6
,2013,2013,Breast,26000,50-54 years,50-54,3439,22893105,15
,2013,2013,Breast,26000,55-59 years,55-59,4269,21490925,19.9
,2013,2013,Breast,26000,60-64 years ,60-64,4873,18338133,26.6
,2013,2013,Breast,26000,65-69 years,65-69,4923,14784058,33.3
,2013,2013,Breast,26000,70-74 years,70-74,4492,10700556,42
,2014,2014,Breast,26000,50-54 years,50-54,3326,22889811,14.5
,2014,2014,Breast,26000,55-59 years,55-59,4258,21805989,19.5
,2014,2014,Breast,26000,60-64 years ,60-64,4919,18764646,26.2
,2014,2014,Breast,26000,65-69 years,65-69,5112,15492825,33
