Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,State,State Code,Race,Race Code,Ethnicity,Ethnicity Code,Deaths,Population,Crude Rate
,1999,1999,Breast,26000,Alabama,01,Black or African American,2054-5,Non-Hispanic,2186-5,196,1156898,16.9
,1999,1999,Breast,26000,Alabama,01,White,2106-3,Non-Hispanic,2186-5,463,3152975,14.7
,1999,1999,Breast,26000,Alaska,02,White,2106-3,Non-Hispanic,2186-5,36,442591,8.1
,1999,1999,Breast,26000,Arizona,04,Black or African American,2054-5,Non-Hispanic,2186-5,20,159387,12.5
,1999,1999,Breast,26000,Arizona,04,White,2106-3,Hispanic,2135-2,51,1174427,4.3
,1999,1999,Breast,26000,Arizona,04,White,2106-3,Non-Hispanic,2186-5,606,3286155,18.4
,1999,1999,Breast,26000,Arkansas,05,Black or African American,2054-5,Non-Hispanic,2186-5,84,422065,19.9
,1999,1999,Breast,26000,Arkansas,05,White,2106-3,Non-Hispanic,2186-5,319,2116895,15.1
,1999,1999,Breast,26000,California,06,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,237,3892494,6.1
,1999,1999,Breast,26000,California,06,Black or African American,2054-5,Non-Hispanic,2186-5,312,2312110,13.5
,1999,1999,Breast,26000,California,06,White,2106-3,Hispanic,2135-2,439,10102320,4.3
,1999,1999,Breast,26000,California,06,White,2106-3,Non-Hispanic,2186-5,3080,16390114,18.8
,1999,1999,Breast,26000,Colorado,08,Black or African American,2054-5,Non-Hispanic,2186-5,24,169812,14.1
,1999,1999,Breast,26000,Colorado,08,White,2106-3,Hispanic,2135-2,36,662859,5.4
,1999,1999,Breast,26000,Colorado,08,White,2106-3,Non-Hispanic,2186-5,425,3220042,13.2
,1999,1999,Breast,26000,Connecticut,09,Black or African American,2054-5,Non-Hispanic,2186-5,42,310206,13.5
,1999,1999,Breast,26000,Connecticut,09,White,2106-3,Non-Hispanic,2186-5,496,2673837,18.6
,1999,1999,Breast,26000,Delaware,10,Black or African American,2054-5,Non-Hispanic,2186-5,25,149503,16.7
,1999,1999,Breast,26000,Delaware,10,White,2106-3,Non-Hispanic,2186-5,93,571402,16.3
,1999,1999,Breast,26000,District of Columbia,11,Black or African American,2054-5,Non-Hispanic,2186-5,86,346580,24.8
,1999,1999,Breast,26000,District of Columbia,11,White,2106-3,Non-Hispanic,2186-5,29,161711,17.9
,1999,1999,Breast,26000,Florida,12,Black or African American,2054-5,Non-Hispanic,2186-5,292,2312918,12.6
,1999,1999,Breast,26000,Florida,12,White,2106-3,Hispanic,2135-2,203,2426217,8.4
,1999,1999,Breast,26000,Florida,12,White,2106-3,Non-Hispanic,2186-5,2094,10552506,19.8
,1999,1999,Breast,26000,Georgia,13,Black or African American,2054-5,Non-Hispanic,2186-5,300,2317980,12.9
,1999,1999,Breast,26000,Georgia,13,White,2106-3,Non-Hispanic,2186-5,708,5156629,13.7
,1999,1999,Breast,26000,Hawaii,15,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,101,829495,12.2
,1999,1999,Breast,26000,Hawaii,15,White,2106-3,Non-Hispanic,2186-5,38,265478,14.3
,1999,1999,Breast,26000,Idaho,16,White,2106-3,Non-Hispanic,2186-5,168,1143570,14.7
,1999,1999,Breast,26000,Illinois,17,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,26,431934,6
,1999,1999,Breast,26000,Illinois,17,Black or African American,2054-5,Non-Hispanic,2186-5,347,1883947,18.4
,1999,1999,Breast,26000,Illinois,17,White,2106-3,Hispanic,2135-2,39,1399108,2.8
,1999,1999,Breast,26000,Illinois,17,White,2106-3,Non-Hispanic,2186-5,1607,8552657,18.8
,1999,1999,Breast,26000,Indiana,18,Black or African American,2054-5,Non-Hispanic,2186-5,78,517559,15.1
,1999,1999,Breast,26000,Indiana,18,White,2106-3,Non-Hispanic,2186-5,826,5254145,15.7
,1999,1999,Breast,26000,Iowa,19,White,2106-3,Non-Hispanic,2186-5,473,2737420,17.3
,1999,1999,Breast,26000,Kansas,20,Black or African American,2054-5,Non-Hispanic,2186-5,22,160029,13.7
,1999,1999,Breast,26000,Kansas,20,White,2106-3,Non-Hispanic,2186-5,357,2269948,15.7
,1999,1999,Breast,26000,Kentucky,21,Black or African American,2054-5,Non-Hispanic,2186-5,47,300666,15.6
,1999,1999,Breast,26000,Kentucky,21,White,2106-3,Non-Hispanic,2186-5,550,3630500,15.1
,1999,1999,Breast,26000,Louisiana,22,Black or African American,2054-5,Non-Hispanic,2186-5,244,1450498,16.8
,1999,1999,Breast,26000,Louisiana,22,White,2106-3,Non-Hispanic,2186-5,440,2823965,15.6
,1999,1999,Breast,26000,Maine,23,White,2106-3,Non-Hispanic,2186-5,218,1233853,17.7
,1999,1999,Breast,26000,Maryland,24,Black or African American,2054-5,Non-Hispanic,2186-5,220,1479287,14.9
,1999,1999,Breast,26000,Maryland,24,White,2106-3,Non-Hispanic,2186-5,573,3326996,17.2
,1999,1999,Breast,26000,Massachusetts,25,Black or African American,2054-5,Non-Hispanic,2186-5,27,354320,7.6
,1999,1999,Breast,26000,Massachusetts,25,White,2106-3,Hispanic,2135-2,17,341826,5
,1999,1999,Breast,26000,Massachusetts,25,White,2106-3,Non-Hispanic,2186-5,997,5290928,18.8
,1999,1999,Breast,26000,Michigan,26,Black or African American,2054-5,Non-Hispanic,2186-5,224,1436690,15.6
,1999,1999,Breast,26000,Michigan,26,White,2106-3,Non-Hispanic,2186-5,1290,7907229,16.3
,1999,1999,Breast,26000,Minnesota,27,Black or African American,2054-5,Non-Hispanic,2186-5,21,177522,11.8
,1999,1999,Breast,26000,Minnesota,27,White,2106-3,Non-Hispanic,2186-5,632,4365507,14.5
,1999,1999,Breast,26000,Mississippi,28,Black or African American,2054-5,Non-Hispanic,2186-5,162,1033856,15.7
,1999,1999,Breast,26000,Mississippi,28,White,2106-3,Non-Hispanic,2186-5,266,1734660,15.3
,1999,1999,Breast,26000,Missouri,29,Black or African American,2054-5,Non-Hispanic,2186-5,104,636978,16.3
,1999,1999,Breast,26000,Missouri,29,White,2106-3,Non-Hispanic,2186-5,748,4725189,15.8
,1999,1999,Breast,26000,Montana,30,White,2106-3,Non-Hispanic,2186-5,121,816333,14.8
,1999,1999,Breast,26000,Nebraska,31,White,2106-3,Non-Hispanic,2186-5,241,1513225,15.9
,1999,1999,Breast,26000,Nevada,32,Black or African American,2054-5,Non-Hispanic,2186-5,19,136009,14
,1999,1999,Breast,26000,Nevada,32,White,2106-3,Non-Hispanic,2186-5,204,1313113,15.5
,1999,1999,Breast,26000,New Hampshire,33,White,2106-3,Non-Hispanic,2186-5,181,1174273,15.4
,1999,1999,Breast,26000,New Jersey,34,Black or African American,2054-5,Non-Hispanic,2186-5,174,1131130,15.4
,1999,1999,Breast,26000,New Jersey,34,White,2106-3,Hispanic,2135-2,38,964732,3.9
,1999,1999,Breast,26000,New Jersey,34,White,2106-3,Non-Hispanic,2186-5,1219,5644459,21.6
,1999,1999,Breast,26000,New Mexico,35,White,2106-3,Hispanic,2135-2,65,725562,9
,1999,1999,Breast,26000,New Mexico,35,White,2106-3,Non-Hispanic,2186-5,141,837859,16.8
,1999,1999,Breast,26000,New York,36,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,36,1090910,3.3
,1999,1999,Breast,26000,New York,36,Black or African American,2054-5,Non-Hispanic,2186-5,478,2926277,16.3
,1999,1999,Breast,26000,New York,36,White,2106-3,Hispanic,2135-2,165,2251032,7.3
,1999,1999,Breast,26000,New York,36,White,2106-3,Non-Hispanic,2186-5,2451,11984731,20.5
,1999,1999,Breast,26000,New York,36,White,2106-3,Unknown or Missing,UNK,22,Not Applicable,Not Applicable
,1999,1999,Breast,26000,North Carolina,37,Black or African American,2054-5,Non-Hispanic,2186-5,302,1736440,17.4
,1999,1999,Breast,26000,North Carolina,37,White,2106-3,Non-Hispanic,2186-5,857,5672622,15.1
,1999,1999,Breast,26000,North Dakota,38,White,2106-3,Non-Hispanic,2186-5,104,598953,17.4
,1999,1999,Breast,26000,Ohio,39,Black or African American,2054-5,Non-Hispanic,2186-5,228,1329716,17.1
,1999,1999,Breast,26000,Ohio,39,White,2106-3,Non-Hispanic,2186-5,1723,9634079,17.9
,1999,1999,Breast,26000,Oklahoma,40,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,28,297723,9.4
,1999,1999,Breast,26000,Oklahoma,40,Black or African American,2054-5,Non-Hispanic,2186-5,49,271892,18
,1999,1999,Breast,26000,Oklahoma,40,White,2106-3,Non-Hispanic,2186-5,440,2649183,16.6
,1999,1999,Breast,26000,Oregon,41,White,2106-3,Non-Hispanic,2186-5,497,2910395,17.1
,1999,1999,Breast,26000,Pennsylvania,42,Black or African American,2054-5,Non-Hispanic,2186-5,253,1232018,20.5
,1999,1999,Breast,26000,Pennsylvania,42,White,2106-3,Hispanic,2135-2,20,318336,6.3
,1999,1999,Breast,26000,Pennsylvania,42,White,2106-3,Non-Hispanic,2186-5,2125,10416247,20.4
,1999,1999,Breast,26000,Rhode Island,44,White,2106-3,Non-Hispanic,2186-5,172,875520,19.6
,1999,1999,Breast,26000,South Carolina,45,Black or African American,2054-5,Non-Hispanic,2186-5,192,1183968,16.2
,1999,1999,Breast,26000,South Carolina,45,White,2106-3,Non-Hispanic,2186-5,413,2657673,15.5
