Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Sex,Sex Code,Deaths,Population,Crude Rate
,1999,1999,Breast,26000,Alabama,01,Female,F,653,2293259,28.5
,1999,1999,Breast,26000,Alaska,02,Female,F,42,301266,13.9
,1999,1999,Breast,26000,Arizona,04,Female,F,684,2518299,27.2
,1999,1999,Breast,26000,Arkansas,05,Female,F,401,1359445,29.5
,1999,1999,Breast,26000,California,06,Female,F,4060,16800161,24.2
,1999,1999,Breast,26000,California,06,Male,M,26,16699043,0.2
,1999,1999,Breast,26000,Colorado,08,Female,F,489,2101358,23.3
,1999,1999,Breast,26000,Connecticut,09,Female,F,541,1747148,31
,1999,1999,Breast,26000,Delaware,10,Female,F,120,398732,30.1
,1999,1999,Breast,26000,District of Columbia,11,Female,F,118,301797,39.1
,1999,1999,Breast,26000,Florida,12,Female,F,2579,8073847,31.9
,1999,1999,Breast,26000,Florida,12,Male,M,25,7685574,0.3
,1999,1999,Breast,26000,Georgia,13,Female,F,1008,4096031,24.6
,1999,1999,Breast,26000,Hawaii,15,Female,F,138,601830,22.9
,1999,1999,Breast,26000,Idaho,16,Female,F,171,636798,26.9
,1999,1999,Breast,26000,Illinois,17,Female,F,2007,6313350,31.8
,1999,1999,Breast,26000,Illinois,17,Male,M,23,6045670,0.4
,1999,1999,Breast,26000,Indiana,18,Female,F,898,3083351,29.1
,1999,1999,Breast,26000,Indiana,18,Male,M,16,2961618,0.5
,1999,1999,Breast,26000,Iowa,19,Female,F,479,1488223,32.2
,1999,1999,Breast,26000,Kansas,20,Female,F,386,1356044,28.5
,1999,1999,Breast,26000,Kentucky,21,Female,F,602,2056401,29.3
,1999,1999,Breast,26000,Louisiana,22,Female,F,683,2302744,29.7
,1999,1999,Breast,26000,Maine,23,Female,F,215,650598,33
,1999,1999,Breast,26000,Maryland,24,Female,F,791,2716928,29.1
,1999,1999,Breast,26000,Massachusetts,25,Female,F,1045,3274830,31.9
,1999,1999,Breast,26000,Michigan,26,Female,F,1531,5047770,30.3
,1999,1999,Breast,26000,Michigan,26,Male,M,16,4849346,0.3
,1999,1999,Breast,26000,Minnesota,27,Female,F,670,2462931,27.2
,1999,1999,Breast,26000,Mississippi,28,Female,F,429,1464581,29.3
,1999,1999,Breast,26000,Missouri,29,Female,F,856,2860166,29.9
,1999,1999,Breast,26000,Montana,30,Female,F,122,450543,27.1
,1999,1999,Breast,26000,Nebraska,31,Female,F,249,865531,28.8
,1999,1999,Breast,26000,Nevada,32,Female,F,245,949422,25.8
,1999,1999,Breast,26000,New Hampshire,33,Female,F,186,621409,29.9
,1999,1999,Breast,26000,New Jersey,34,Female,F,1436,4304271,33.4
,1999,1999,Breast,26000,New Mexico,35,Female,F,215,918661,23.4
,1999,1999,Breast,26000,New York,36,Female,F,3127,9777654,32
,1999,1999,Breast,26000,New York,36,Male,M,41,9105071,0.5
