Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,1999,1999,Breast,26000,Alabama,01,660,4430141,14.9
,1999,1999,Breast,26000,Alaska,02,42,624779,6.7
,1999,1999,Breast,26000,Arizona,04,693,5023823,13.8
,1999,1999,Breast,26000,Arkansas,05,405,2651860,15.3
,1999,1999,Breast,26000,California,06,4086,33499204,12.2
,1999,1999,Breast,26000,Colorado,08,489,4226018,11.6
,1999,1999,Breast,26000,Connecticut,09,549,3386401,16.2
,1999,1999,Breast,26000,Delaware,10,121,774990,15.6
,1999,1999,Breast,26000,District of Columbia,11,118,570213,20.7
,1999,1999,Breast,26000,Florida,12,2604,15759421,16.5
,1999,1999,Breast,26000,Georgia,13,1016,8045965,12.6
,1999,1999,Breast,26000,Hawaii,15,140,1210300,11.6
,1999,1999,Breast,26000,Idaho,16,172,1275674,13.5
,1999,1999,Breast,26000,Illinois,17,2030,12359020,16.4
,1999,1999,Breast,26000,Indiana,18,914,6044969,15.1
,1999,1999,Breast,26000,Iowa,19,481,2917634,16.5
,1999,1999,Breast,26000,Kansas,20,392,2678338,14.6
,1999,1999,Breast,26000,Kentucky,21,603,4018053,15
,1999,1999,Breast,26000,Louisiana,22,692,4460811,15.5
,1999,1999,Breast,26000,Maine,23,219,1266808,17.3
,1999,1999,Breast,26000,Maryland,24,798,5254509,15.2
,1999,1999,Breast,26000,Massachusetts,25,1051,6317345,16.6
,1999,1999,Breast,26000,Michigan,26,1547,9897116,15.6
,1999,1999,Breast,26000,Minnesota,27,674,4873481,13.8
,1999,1999,Breast,26000,Mississippi,28,430,2828408,15.2
,1999,1999,Breast,26000,Missouri,29,866,5561948,15.6
,1999,1999,Breast,26000,Montana,30,125,897507,13.9
,1999,1999,Breast,26000,Nebraska,31,254,1704764,14.9
,1999,1999,Breast,26000,Nevada,32,246,1934718,12.7
,1999,1999,Breast,26000,New Hampshire,33,187,1222014,15.3
,1999,1999,Breast,26000,New Jersey,34,1450,8359592,17.3
,1999,1999,Breast,26000,New Mexico,35,217,1808082,12
,1999,1999,Breast,26000,New York,36,3168,18882725,16.8
,1999,1999,Breast,26000,North Carolina,37,1175,7949361,14.8
,1999,1999,Breast,26000,North Dakota,38,114,644259,17.7
,1999,1999,Breast,26000,Ohio,39,1973,11335454,17.4
,1999,1999,Breast,26000,Oklahoma,40,523,3437147,15.2
,1999,1999,Breast,26000,Oregon,41,514,3393941,15.1
,1999,1999,Breast,26000,Pennsylvania,42,2410,12263805,19.7
,1999,1999,Breast,26000,Rhode Island,44,180,1040402,17.3
,1999,1999,Breast,26000,South Carolina,45,608,3974682,15.3
,1999,1999,Breast,26000,South Dakota,46,111,750412,14.8
,1999,1999,Breast,26000,Tennessee,47,844,5638706,15
,1999,1999,Breast,26000,Texas,48,2428,20558220,11.8
,1999,1999,Breast,26000,Utah,49,185,2203482,8.4
,1999,1999,Breast,26000,Vermont,50,91,604683,15
,1999,1999,Breast,26000,Virginia,51,1014,7000174,14.5
,1999,1999,Breast,26000,Washington,53,733,5842564,12.5
,1999,1999,Breast,26000,West Virginia,54,291,1811799,16.1
,1999,1999,Breast,26000,Wisconsin,55,835,5332666,15.7
,1999,1999,Breast,26000,Wyoming,56,60,491780,12.2
,2000,2000,Breast,26000,Alabama,01,697,4452173,15.7
,2000,2000,Breast,26000,Alaska,02,61,627963,9.7
,2000,2000,Breast,26000,Arizona,04,725,5160586,14
,2000,2000,Breast,26000,Arkansas,05,381,2678588,14.2
,2000,2000,Breast,26000,California,06,4283,33987977,12.6
,2000,2000,Breast,26000,Colorado,08,481,4326921,11.1
,2000,2000,Breast,26000,Connecticut,09,543,3411777,15.9
,2000,2000,Breast,26000,Delaware,10,140,786373,17.8
,2000,2000,Breast,26000,District of Columbia,11,96,572046,16.8
,2000,2000,Breast,26000,Florida,12,2684,16047515,16.7
,2000,2000,Breast,26000,Georgia,13,1017,8227303,12.4
,2000,2000,Breast,26000,Hawaii,15,120,1213519,9.9
,2000,2000,Breast,26000,Idaho,16,179,1299430,13.8
,2000,2000,Breast,26000,Illinois,17,2067,12434161,16.6
,2000,2000,Breast,26000,Indiana,18,977,6091866,16
,2000,2000,Breast,26000,Iowa,19,453,2929067,15.5
,2000,2000,Breast,26000,Kansas,20,434,2693681,16.1
,2000,2000,Breast,26000,Kentucky,21,607,4049021,15
,2000,2000,Breast,26000,Louisiana,22,732,4471885,16.4
,2000,2000,Breast,26000,Maine,23,198,1277072,15.5
,2000,2000,Breast,26000,Maryland,24,803,5311034,15.1
,2000,2000,Breast,26000,Massachusetts,25,1065,6361104,16.7
,2000,2000,Breast,26000,Michigan,26,1511,9952450,15.2
,2000,2000,Breast,26000,Minnesota,27,741,4933692,15
,2000,2000,Breast,26000,Mississippi,28,468,2848353,16.4
,2000,2000,Breast,26000,Missouri,29,929,5607285,16.6
,2000,2000,Breast,26000,Montana,30,133,903773,14.7
,2000,2000,Breast,26000,Nebraska,31,229,1713820,13.4
,2000,2000,Breast,26000,Nevada,32,260,2018741,12.9
,2000,2000,Breast,26000,New Hampshire,33,187,1239882,15.1
,2000,2000,Breast,26000,New Jersey,34,1584,8430621,18.8
,2000,2000,Breast,26000,New Mexico,35,244,1821204,13.4
,2000,2000,Breast,26000,New York,36,3131,19001780,16.5
,2000,2000,Breast,26000,North Carolina,37,1084,8081614,13.4
