"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code","Age Groups","Age Groups Code",Count,Population,Crude Rate
,"1999","1999","Cervix Uteri","27010","Alabama","01","20-24 years","20-24",Suppressed,154634,Suppressed
,"1999","1999","Cervix Uteri","27010","Alabama","01","25-29 years","25-29",Suppressed,155151,Suppressed
,"1999","1999","Cervix Uteri","27010","Alabama","01","30-34 years","30-34",24,153099,15.7
,"1999","1999","Cervix Uteri","27010","Alabama","01","35-39 years","35-39",26,175011,14.9
,"1999","1999","Cervix Uteri","27010","Alabama","01","40-44 years","40-44",28,176290,15.9
,"1999","1999","Cervix Uteri","27010","Alabama","01","45-49 years","45-49",29,159445,18.2
,"1999","1999","Cervix Uteri","27010","Alabama","01","50-54 years","50-54",24,141883,16.9
,"1999","1999","Cervix Uteri","27010","Alabama","01","55-59 years","55-59",19,115362,16.5
,"1999","1999","Cervix Uteri","27010","Alabama","01","60-64 years ","60-64",Suppressed,101124,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","20-24 years","20-24",0,18485,0.0
,"1999","1999","Cervix Uteri","27010","Alaska","02","25-29 years","25-29",Suppressed,20053,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","30-34 years","30-34",Suppressed,23259,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","35-39 years","35-39",Suppressed,28001,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","40-44 years","40-44",Suppressed,28816,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","45-49 years","45-49",Suppressed,25028,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","50-54 years","50-54",Suppressed,18261,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","55-59 years","55-59",Suppressed,12235,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","60-64 years ","60-64",Suppressed,7933,Suppressed
,"1999","1999","Cervix Uteri","27010","Arizona","04","20-24 years","20-24",Suppressed,166323,Suppressed
,"1999","1999","Cervix Uteri","27010","Arizona","04","25-29 years","25-29",Suppressed,178042,Suppressed
,"1999","1999","Cervix Uteri","27010","Arizona","04","30-34 years","30-34",20,176739,11.3
,"1999","1999","Cervix Uteri","27010","Arizona","04","35-39 years","35-39",20,193497,10.3
,"1999","1999","Cervix Uteri","27010","Arizona","04","40-44 years","40-44",37,183329,20.2
,"1999","1999","Cervix Uteri","27010","Arizona","04","45-49 years","45-49",Suppressed,163841,Suppressed
,"1999","1999","Cervix Uteri","27010","Arizona","04","50-54 years","50-54",26,144700,18.0
,"1999","1999","Cervix Uteri","27010","Arizona","04","55-59 years","55-59",18,120208,15.0
,"1999","1999","Cervix Uteri","27010","Arizona","04","60-64 years ","60-64",Suppressed,104097,Suppressed
,"1999","1999","Cervix Uteri","27010","Arkansas","05","20-24 years","20-24",0,89045,0.0
,"1999","1999","Cervix Uteri","27010","Arkansas","05","25-29 years","25-29",Suppressed,87684,Suppressed
,"1999","1999","Cervix Uteri","27010","Arkansas","05","30-34 years","30-34",21,87562,24.0
,"1999","1999","Cervix Uteri","27010","Arkansas","05","35-39 years","35-39",18,100929,17.8
,"1999","1999","Cervix Uteri","27010","Arkansas","05","40-44 years","40-44",23,98680,23.3
,"1999","1999","Cervix Uteri","27010","Arkansas","05","45-49 years","45-49",Suppressed,91129,Suppressed
,"1999","1999","Cervix Uteri","27010","Arkansas","05","50-54 years","50-54",Suppressed,82606,Suppressed
,"1999","1999","Cervix Uteri","27010","Arkansas","05","55-59 years","55-59",16,70390,22.7
,"1999","1999","Cervix Uteri","27010","Arkansas","05","60-64 years ","60-64",Suppressed,60746,Suppressed
,"1999","1999","Cervix Uteri","27010","California","06","20-24 years","20-24",17,1095927,1.6
,"1999","1999","Cervix Uteri","27010","California","06","25-29 years","25-29",83,1241325,6.7
,"1999","1999","Cervix Uteri","27010","California","06","30-34 years","30-34",149,1318261,11.3
,"1999","1999","Cervix Uteri","27010","California","06","35-39 years","35-39",217,1391548,15.6
,"1999","1999","Cervix Uteri","27010","California","06","40-44 years","40-44",253,1309691,19.3
,"1999","1999","Cervix Uteri","27010","California","06","45-49 years","45-49",204,1146993,17.8
,"1999","1999","Cervix Uteri","27010","California","06","50-54 years","50-54",179,977938,18.3
,"1999","1999","Cervix Uteri","27010","California","06","55-59 years","55-59",130,729172,17.8
,"1999","1999","Cervix Uteri","27010","California","06","60-64 years ","60-64",111,590736,18.8
,"1999","1999","Cervix Uteri","27010","Colorado","08","20-24 years","20-24",Suppressed,138595,Suppressed
,"1999","1999","Cervix Uteri","27010","Colorado","08","25-29 years","25-29",Suppressed,154802,Suppressed
