"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","Age Groups","Age Groups Code",Count,Population,Crude Rate
,"1999","1999","Cervix Uteri","27010","< 1 year","1",0,1827171,0.0
,"1999","1999","Cervix Uteri","27010","1-4 years","1-4",0,7394181,0.0
,"1999","1999","Cervix Uteri","27010","5-9 years","5-9",0,9919394,0.0
,"1999","1999","Cervix Uteri","27010","10-14 years","10-14",Suppressed,9719801,Suppressed
,"1999","1999","Cervix Uteri","27010","15-19 years","15-19",27,9615370,0.3
,"1999","1999","Cervix Uteri","27010","20-24 years","20-24",171,8967771,1.9
,"1999","1999","Cervix Uteri","27010","25-29 years","25-29",696,9573296,7.3
,"1999","1999","Cervix Uteri","27010","30-34 years","30-34",1307,10131068,12.9
,"1999","1999","Cervix Uteri","27010","35-39 years","35-39",1731,11335710,15.3
,"1999","1999","Cervix Uteri","27010","40-44 years","40-44",1878,11057798,17.0
,"1999","1999","Cervix Uteri","27010","45-49 years","45-49",1625,9864954,16.5
,"1999","1999","Cervix Uteri","27010","50-54 years","50-54",1327,8540542,15.5
,"1999","1999","Cervix Uteri","27010","55-59 years","55-59",1145,6680872,17.1
,"1999","1999","Cervix Uteri","27010","60-64 years ","60-64",924,5538848,16.7
,"1999","1999","Cervix Uteri","27010","65-69 years","65-69",829,5073442,16.3
,"1999","1999","Cervix Uteri","27010","70-74 years","70-74",745,4918966,15.1
,"1999","1999","Cervix Uteri","27010","75-79 years","75-79",651,4276338,15.2
,"1999","1999","Cervix Uteri","27010","80-84 years","80-84",429,3039863,14.1
,"1999","1999","Cervix Uteri","27010","85+ years","85+",410,2918829,14.0
,"2000","2000","Cervix Uteri","27010","< 1 year","1",0,1856559,0.0
,"2000","2000","Cervix Uteri","27010","1-4 years","1-4",Suppressed,7386625,Suppressed
,"2000","2000","Cervix Uteri","27010","5-9 years","5-9",0,9852526,0.0
,"2000","2000","Cervix Uteri","27010","10-14 years","10-14",Suppressed,9926394,Suppressed
,"2000","2000","Cervix Uteri","27010","15-19 years","15-19",23,9710015,0.2
,"2000","2000","Cervix Uteri","27010","20-24 years","20-24",159,9217075,1.7
,"2000","2000","Cervix Uteri","27010","25-29 years","25-29",693,9412771,7.4
,"2000","2000","Cervix Uteri","27010","30-34 years","30-34",1246,10075949,12.4
,"2000","2000","Cervix Uteri","27010","35-39 years","35-39",1696,11220940,15.1
,"2000","2000","Cervix Uteri","27010","40-44 years","40-44",1932,11212451,17.2
,"2000","2000","Cervix Uteri","27010","45-49 years","45-49",1637,10139929,16.1
,"2000","2000","Cervix Uteri","27010","50-54 years","50-54",1386,8966667,15.5
,"2000","2000","Cervix Uteri","27010","55-59 years","55-59",1055,6922269,15.2
,"2000","2000","Cervix Uteri","27010","60-64 years ","60-64",960,5620799,17.1
,"2000","2000","Cervix Uteri","27010","65-69 years","65-69",864,5057099,17.1
,"2000","2000","Cervix Uteri","27010","70-74 years","70-74",727,4885847,14.9
,"2000","2000","Cervix Uteri","27010","75-79 years","75-79",599,4327077,13.8
,"2000","2000","Cervix Uteri","27010","80-84 years","80-84",511,3090837,16.5
,"2000","2000","Cervix Uteri","27010","85+ years","85+",411,2983941,13.8
,"2001","2001","Cervix Uteri","27010","< 1 year","1",0,1942094,0.0
,"2001","2001","Cervix Uteri","27010","1-4 years","1-4",Suppressed,7389458,Suppressed
,"2001","2001","Cervix Uteri","27010","5-9 years","5-9",Suppressed,9740654,Suppressed
,"2001","2001","Cervix Uteri","27010","10-14 years","10-14",Suppressed,10123827,Suppressed
,"2001","2001","Cervix Uteri","27010","15-19 years","15-19",21,9797025,0.2
,"2001","2001","Cervix Uteri","27010","20-24 years","20-24",135,9567089,1.4
,"2001","2001","Cervix Uteri","27010","25-29 years","25-29",636,9208824,6.9
,"2001","2001","Cervix Uteri","27010","30-34 years","30-34",1258,10166748,12.4
,"2001","2001","Cervix Uteri","27010","35-39 years","35-39",1603,11035791,14.5
,"2001","2001","Cervix Uteri","27010","40-44 years","40-44",1906,11390611,16.7
,"2001","2001","Cervix Uteri","27010","45-49 years","45-49",1600,10404182,15.4
,"2001","2001","Cervix Uteri","27010","50-54 years","50-54",1385,9449057,14.7
,"2001","2001","Cervix Uteri","27010","55-59 years","55-59",1045,7138713,14.6
,"2001","2001","Cervix Uteri","27010","60-64 years ","60-64",860,5773027,14.9
,"2001","2001","Cervix Uteri","27010","65-69 years","65-69",808,5080378,15.9
,"2001","2001","Cervix Uteri","27010","70-74 years","70-74",682,4858423,14.0
,"2001","2001","Cervix Uteri","27010","75-79 years","75-79",550,4336371,12.7
,"2001","2001","Cervix Uteri","27010","80-84 years","80-84",422,3180706,13.3
,"2001","2001","Cervix Uteri","27010","85+ years","85+",357,3020999,11.8
,"2002","2002","Cervix Uteri","27010","< 1 year","1",0,1913004,0.0
,"2002","2002","Cervix Uteri","27010","1-4 years","1-4",0,7484518,0.0
,"2002","2002","Cervix Uteri","27010","5-9 years","5-9",0,9598433,0.0
,"2002","2002","Cervix Uteri","27010","10-14 years","10-14",Suppressed,10263170,Suppressed
,"2002","2002","Cervix Uteri","27010","15-19 years","15-19",23,9872299,0.2
,"2002","2002","Cervix Uteri","27010","20-24 years","20-24",170,9804605,1.7
,"2002","2002","Cervix Uteri","27010","25-29 years","25-29",590,9156096,6.4
,"2002","2002","Cervix Uteri","27010","30-34 years","30-34",1238,10172399,12.2
,"2002","2002","Cervix Uteri","27010","35-39 years","35-39",1504,10800992,13.9
,"2002","2002","Cervix Uteri","27010","40-44 years","40-44",1866,11426121,16.3
,"2002","2002","Cervix Uteri","27010","45-49 years","45-49",1532,10681521,14.3
,"2002","2002","Cervix Uteri","27010","50-54 years","50-54",1272,9479615,13.4
,"2002","2002","Cervix Uteri","27010","55-59 years","55-59",1106,7726133,14.3
,"2002","2002","Cervix Uteri","27010","60-64 years ","60-64",852,5988972,14.2
,"2002","2002","Cervix Uteri","27010","65-69 years","65-69",798,5109390,15.6
,"2002","2002","Cervix Uteri","27010","70-74 years","70-74",653,4803492,13.6
,"2002","2002","Cervix Uteri","27010","75-79 years","75-79",562,4326571,13.0
,"2002","2002","Cervix Uteri","27010","80-84 years","80-84",387,3264277,11.9
,"2002","2002","Cervix Uteri","27010","85+ years","85+",357,3047614,11.7
,"2003","2003","Cervix Uteri","27010","< 1 year","1",0,1942634,0.0
,"2003","2003","Cervix Uteri","27010","1-4 years","1-4",0,7636693,0.0
