"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States","States Code","Race","Race Code","Ethnicity","Ethnicity Code",Count,Population,Crude Rate
,"1999","1999","Cervix Uteri","27010","Alabama","01","American Indian or Alaska Native","1002-5","Hispanic","2135-2",0,206,0.0
,"1999","1999","Cervix Uteri","27010","Alabama","01","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",0,11205,0.0
,"1999","1999","Cervix Uteri","27010","Alabama","01","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alabama","01","Asian or Pacific Islander","A-PI","Hispanic","2135-2",0,219,0.0
,"1999","1999","Cervix Uteri","27010","Alabama","01","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",Suppressed,17489,Suppressed
,"1999","1999","Cervix Uteri","27010","Alabama","01","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alabama","01","Black or African American","2054-5","Hispanic","2135-2",Suppressed,3005,Suppressed
,"1999","1999","Cervix Uteri","27010","Alabama","01","Black or African American","2054-5","Non-Hispanic","2186-5",76,620470,12.2
,"1999","1999","Cervix Uteri","27010","Alabama","01","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alabama","01","White","2106-3","Hispanic","2135-2",Suppressed,24671,Suppressed
,"1999","1999","Cervix Uteri","27010","Alabama","01","White","2106-3","Non-Hispanic","2186-5",150,1615994,9.3
,"1999","1999","Cervix Uteri","27010","Alabama","01","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alabama","01","Other Races and Unknown combined","2131-1","Hispanic","2135-2",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alabama","01","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",Suppressed,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alabama","01","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alaska","02","American Indian or Alaska Native","1002-5","Hispanic","2135-2",0,1047,0.0
,"1999","1999","Cervix Uteri","27010","Alaska","02","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",Suppressed,51561,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alaska","02","Asian or Pacific Islander","A-PI","Hispanic","2135-2",0,378,0.0
,"1999","1999","Cervix Uteri","27010","Alaska","02","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",Suppressed,15534,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alaska","02","Black or African American","2054-5","Hispanic","2135-2",0,894,0.0
,"1999","1999","Cervix Uteri","27010","Alaska","02","Black or African American","2054-5","Non-Hispanic","2186-5",Suppressed,11816,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alaska","02","White","2106-3","Hispanic","2135-2",0,9345,0.0
,"1999","1999","Cervix Uteri","27010","Alaska","02","White","2106-3","Non-Hispanic","2186-5",Suppressed,210691,Suppressed
,"1999","1999","Cervix Uteri","27010","Alaska","02","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alaska","02","Other Races and Unknown combined","2131-1","Hispanic","2135-2",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alaska","02","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Alaska","02","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arizona","04","American Indian or Alaska Native","1002-5","Hispanic","2135-2",0,15953,0.0
,"1999","1999","Cervix Uteri","27010","Arizona","04","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",Suppressed,124419,Suppressed
,"1999","1999","Cervix Uteri","27010","Arizona","04","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arizona","04","Asian or Pacific Islander","A-PI","Hispanic","2135-2",0,5083,0.0
,"1999","1999","Cervix Uteri","27010","Arizona","04","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",Suppressed,52736,Suppressed
,"1999","1999","Cervix Uteri","27010","Arizona","04","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arizona","04","Black or African American","2054-5","Hispanic","2135-2",0,9197,0.0
,"1999","1999","Cervix Uteri","27010","Arizona","04","Black or African American","2054-5","Non-Hispanic","2186-5",Suppressed,75716,Suppressed
,"1999","1999","Cervix Uteri","27010","Arizona","04","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arizona","04","White","2106-3","Hispanic","2135-2",50,568010,8.8
,"1999","1999","Cervix Uteri","27010","Arizona","04","White","2106-3","Non-Hispanic","2186-5",129,1667185,7.7
,"1999","1999","Cervix Uteri","27010","Arizona","04","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arizona","04","Other Races and Unknown combined","2131-1","Hispanic","2135-2",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arizona","04","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",Suppressed,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arizona","04","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arkansas","05","American Indian or Alaska Native","1002-5","Hispanic","2135-2",0,325,0.0
,"1999","1999","Cervix Uteri","27010","Arkansas","05","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",0,8813,0.0
,"1999","1999","Cervix Uteri","27010","Arkansas","05","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arkansas","05","Asian or Pacific Islander","A-PI","Hispanic","2135-2",0,191,0.0
,"1999","1999","Cervix Uteri","27010","Arkansas","05","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",Suppressed,11104,Suppressed
,"1999","1999","Cervix Uteri","27010","Arkansas","05","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arkansas","05","Black or African American","2054-5","Hispanic","2135-2",0,1206,0.0
,"1999","1999","Cervix Uteri","27010","Arkansas","05","Black or African American","2054-5","Non-Hispanic","2186-5",31,223433,13.9
,"1999","1999","Cervix Uteri","27010","Arkansas","05","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arkansas","05","White","2106-3","Hispanic","2135-2",Suppressed,30952,Suppressed
,"1999","1999","Cervix Uteri","27010","Arkansas","05","White","2106-3","Non-Hispanic","2186-5",120,1083421,11.1
,"1999","1999","Cervix Uteri","27010","Arkansas","05","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arkansas","05","Other Races and Unknown combined","2131-1","Hispanic","2135-2",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arkansas","05","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Arkansas","05","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","California","06","American Indian or Alaska Native","1002-5","Hispanic","2135-2",Suppressed,111869,Suppressed
,"1999","1999","Cervix Uteri","27010","California","06","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",Suppressed,113181,Suppressed
,"1999","1999","Cervix Uteri","27010","California","06","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","California","06","Asian or Pacific Islander","A-PI","Hispanic","2135-2",Suppressed,80703,Suppressed
,"1999","1999","Cervix Uteri","27010","California","06","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",186,2016979,9.2
,"1999","1999","Cervix Uteri","27010","California","06","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","California","06","Black or African American","2054-5","Hispanic","2135-2",Suppressed,96718,Suppressed
,"1999","1999","Cervix Uteri","27010","California","06","Black or African American","2054-5","Non-Hispanic","2186-5",118,1177469,10.0
,"1999","1999","Cervix Uteri","27010","California","06","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","California","06","White","2106-3","Hispanic","2135-2",619,4914607,12.6
,"1999","1999","Cervix Uteri","27010","California","06","White","2106-3","Non-Hispanic","2186-5",724,8288635,8.7
,"1999","1999","Cervix Uteri","27010","California","06","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","California","06","Other Races and Unknown combined","2131-1","Hispanic","2135-2",Suppressed,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","California","06","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",Suppressed,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","California","06","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Colorado","08","American Indian or Alaska Native","1002-5","Hispanic","2135-2",0,9959,0.0
,"1999","1999","Cervix Uteri","27010","Colorado","08","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",0,16142,0.0
,"1999","1999","Cervix Uteri","27010","Colorado","08","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Colorado","08","Asian or Pacific Islander","A-PI","Hispanic","2135-2",0,2772,0.0
,"1999","1999","Cervix Uteri","27010","Colorado","08","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",Suppressed,53650,Suppressed
,"1999","1999","Cervix Uteri","27010","Colorado","08","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Colorado","08","Black or African American","2054-5","Hispanic","2135-2",0,6751,0.0
,"1999","1999","Cervix Uteri","27010","Colorado","08","Black or African American","2054-5","Non-Hispanic","2186-5",Suppressed,81611,Suppressed
,"1999","1999","Cervix Uteri","27010","Colorado","08","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Colorado","08","White","2106-3","Hispanic","2135-2",31,316032,9.8
