"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","Race","Race Code","Ethnicity","Ethnicity Code",Count,Population,Crude Rate
,"1999","1999","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Hispanic","2135-2",Suppressed,270071,Suppressed
,"1999","1999","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",102,1114439,9.2
,"1999","1999","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Hispanic","2135-2",Suppressed,197964,Suppressed
,"1999","1999","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",456,5665237,8.0
,"1999","1999","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Black or African American","2054-5","Hispanic","2135-2",43,739282,5.8
,"1999","1999","Cervix Uteri","27010","Black or African American","2054-5","Non-Hispanic","2186-5",2219,17684918,12.5
,"1999","1999","Cervix Uteri","27010","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","White","2106-3","Hispanic","2135-2",1836,15275222,12.0
,"1999","1999","Cervix Uteri","27010","White","2106-3","Non-Hispanic","2186-5",9085,99447081,9.1
,"1999","1999","Cervix Uteri","27010","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Hispanic","2135-2",29,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",110,Not Applicable,Not Applicable
,"1999","1999","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2000","2000","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Hispanic","2135-2",Suppressed,314261,Suppressed
,"2000","2000","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",95,1146627,8.3
,"2000","2000","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2000","2000","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Hispanic","2135-2",Suppressed,208486,Suppressed
,"2000","2000","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",478,5924239,8.1
,"2000","2000","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2000","2000","Cervix Uteri","27010","Black or African American","2054-5","Hispanic","2135-2",47,775431,6.1
,"2000","2000","Cervix Uteri","27010","Black or African American","2054-5","Non-Hispanic","2186-5",2158,17921046,12.0
,"2000","2000","Cervix Uteri","27010","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2000","2000","Cervix Uteri","27010","White","2106-3","Hispanic","2135-2",1927,15997956,12.0
,"2000","2000","Cervix Uteri","27010","White","2106-3","Non-Hispanic","2186-5",9029,99577724,9.1
,"2000","2000","Cervix Uteri","27010","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2000","2000","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Hispanic","2135-2",39,Not Applicable,Not Applicable
,"2000","2000","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",114,Not Applicable,Not Applicable
,"2000","2000","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2001","2001","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Hispanic","2135-2",Suppressed,354174,Suppressed
,"2001","2001","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",97,1191445,8.1
,"2001","2001","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2001","2001","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Hispanic","2135-2",Suppressed,225529,Suppressed
,"2001","2001","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",536,6194511,8.7
,"2001","2001","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2001","2001","Cervix Uteri","27010","Black or African American","2054-5","Hispanic","2135-2",43,820012,5.2
,"2001","2001","Cervix Uteri","27010","Black or African American","2054-5","Non-Hispanic","2186-5",2031,18140351,11.2
,"2001","2001","Cervix Uteri","27010","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2001","2001","Cervix Uteri","27010","White","2106-3","Hispanic","2135-2",1891,16638847,11.4
,"2001","2001","Cervix Uteri","27010","White","2106-3","Non-Hispanic","2186-5",8534,100039108,8.5
,"2001","2001","Cervix Uteri","27010","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2001","2001","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Hispanic","2135-2",33,Not Applicable,Not Applicable
,"2001","2001","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",91,Not Applicable,Not Applicable
,"2001","2001","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2002","2002","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Hispanic","2135-2",Suppressed,394121,Suppressed
,"2002","2002","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",91,1203345,7.6
,"2002","2002","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2002","2002","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Hispanic","2135-2",Suppressed,243155,Suppressed
,"2002","2002","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",489,6458678,7.6
,"2002","2002","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2002","2002","Cervix Uteri","27010","Black or African American","2054-5","Hispanic","2135-2",55,864374,6.4
,"2002","2002","Cervix Uteri","27010","Black or African American","2054-5","Non-Hispanic","2186-5",2031,18349824,11.1
,"2002","2002","Cervix Uteri","27010","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2002","2002","Cervix Uteri","27010","White","2106-3","Hispanic","2135-2",1817,17275845,10.5
,"2002","2002","Cervix Uteri","27010","White","2106-3","Non-Hispanic","2186-5",8284,100129880,8.3
,"2002","2002","Cervix Uteri","27010","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2002","2002","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Hispanic","2135-2",36,Not Applicable,Not Applicable
,"2002","2002","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",93,Not Applicable,Not Applicable
,"2002","2002","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2003","2003","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Hispanic","2135-2",Suppressed,437748,Suppressed
,"2003","2003","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",79,1221366,6.5
,"2003","2003","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2003","2003","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Hispanic","2135-2",Suppressed,262273,Suppressed
,"2003","2003","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",475,6726320,7.1
,"2003","2003","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2003","2003","Cervix Uteri","27010","Black or African American","2054-5","Hispanic","2135-2",41,913968,4.5
,"2003","2003","Cervix Uteri","27010","Black or African American","2054-5","Non-Hispanic","2186-5",2048,19101453,10.7
,"2003","2003","Cervix Uteri","27010","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2003","2003","Cervix Uteri","27010","White","2106-3","Hispanic","2135-2",1878,17915127,10.5
,"2003","2003","Cervix Uteri","27010","White","2106-3","Non-Hispanic","2186-5",8007,101100781,7.9
,"2003","2003","Cervix Uteri","27010","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2003","2003","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Hispanic","2135-2",38,Not Applicable,Not Applicable
,"2003","2003","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",106,Not Applicable,Not Applicable
,"2003","2003","Cervix Uteri","27010","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2004","2004","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Hispanic","2135-2",Suppressed,483141,Suppressed
,"2004","2004","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",97,1233626,7.9
,"2004","2004","Cervix Uteri","27010","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2004","2004","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Hispanic","2135-2",Suppressed,283022,Suppressed
,"2004","2004","Cervix Uteri","27010","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",506,6977650,7.3
