Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,1999,1999,Cervix Uteri,27010,California,06,30-34 years,30-34,20,1318261,1.5
,1999,1999,Cervix Uteri,27010,California,06,35-39 years,35-39,37,1391548,2.7
,1999,1999,Cervix Uteri,27010,California,06,40-44 years,40-44,51,1309691,3.9
,1999,1999,Cervix Uteri,27010,California,06,45-49 years,45-49,63,1146993,5.5
,1999,1999,Cervix Uteri,27010,California,06,50-54 years,50-54,47,977938,4.8
,1999,1999,Cervix Uteri,27010,California,06,55-59 years,55-59,38,729172,5.2
,1999,1999,Cervix Uteri,27010,California,06,60-64 years ,60-64,38,590736,6.4
,1999,1999,Cervix Uteri,27010,Florida,12,35-39 years,35-39,29,629366,4.6
,1999,1999,Cervix Uteri,27010,Florida,12,40-44 years,40-44,27,603875,4.5
,1999,1999,Cervix Uteri,27010,Florida,12,45-49 years,45-49,29,537613,5.4
,1999,1999,Cervix Uteri,27010,Florida,12,50-54 years,50-54,24,487549,4.9
,1999,1999,Cervix Uteri,27010,Florida,12,55-59 years,55-59,23,416413,5.5
,1999,1999,Cervix Uteri,27010,Florida,12,60-64 years ,60-64,27,384198,7
,1999,1999,Cervix Uteri,27010,Illinois,17,40-44 years,40-44,19,494067,3.8
,1999,1999,Cervix Uteri,27010,Illinois,17,45-49 years,45-49,27,435962,6.2
,1999,1999,Cervix Uteri,27010,Illinois,17,50-54 years,50-54,24,372180,6.4
,1999,1999,Cervix Uteri,27010,Illinois,17,55-59 years,55-59,16,294263,5.4
,1999,1999,Cervix Uteri,27010,Illinois,17,60-64 years ,60-64,22,243398,9
,1999,1999,Cervix Uteri,27010,Michigan,26,45-49 years,45-49,16,364885,4.4
,1999,1999,Cervix Uteri,27010,Missouri,29,50-54 years,50-54,17,171836,9.9
,1999,1999,Cervix Uteri,27010,New Jersey,34,50-54 years,50-54,16,276145,5.8
,1999,1999,Cervix Uteri,27010,New Jersey,34,60-64 years ,60-64,18,173309,10.4
,1999,1999,Cervix Uteri,27010,New York,36,35-39 years,35-39,20,801120,2.5
,1999,1999,Cervix Uteri,27010,New York,36,40-44 years,40-44,31,762229,4.1
,1999,1999,Cervix Uteri,27010,New York,36,45-49 years,45-49,38,682291,5.6
,1999,1999,Cervix Uteri,27010,New York,36,50-54 years,50-54,40,614943,6.5
,1999,1999,Cervix Uteri,27010,New York,36,55-59 years,55-59,31,485263,6.4
,1999,1999,Cervix Uteri,27010,New York,36,60-64 years ,60-64,29,403835,7.2
,1999,1999,Cervix Uteri,27010,North Carolina,37,60-64 years ,60-64,17,170544,10
,1999,1999,Cervix Uteri,27010,Ohio,39,40-44 years,40-44,18,466519,3.9
,1999,1999,Cervix Uteri,27010,Ohio,39,45-49 years,45-49,19,417844,4.5
,1999,1999,Cervix Uteri,27010,Ohio,39,50-54 years,50-54,17,359506,4.7
,1999,1999,Cervix Uteri,27010,Ohio,39,55-59 years,55-59,16,283732,5.6
,1999,1999,Cervix Uteri,27010,Ohio,39,60-64 years ,60-64,17,241321,7
,1999,1999,Cervix Uteri,27010,Pennsylvania,42,45-49 years,45-49,24,451795,5.3
,1999,1999,Cervix Uteri,27010,Pennsylvania,42,50-54 years,50-54,28,392687,7.1
,1999,1999,Cervix Uteri,27010,Pennsylvania,42,55-59 years,55-59,19,316736,6
,1999,1999,Cervix Uteri,27010,Pennsylvania,42,60-64 years ,60-64,17,271013,6.3
,1999,1999,Cervix Uteri,27010,Texas,48,30-34 years,30-34,16,771770,2.1
,1999,1999,Cervix Uteri,27010,Texas,48,35-39 years,35-39,23,843958,2.7
,1999,1999,Cervix Uteri,27010,Texas,48,40-44 years,40-44,36,800286,4.5
,1999,1999,Cervix Uteri,27010,Texas,48,45-49 years,45-49,36,693432,5.2
,1999,1999,Cervix Uteri,27010,Texas,48,50-54 years,50-54,34,583232,5.8
,1999,1999,Cervix Uteri,27010,Texas,48,55-59 years,55-59,31,443651,7
,1999,1999,Cervix Uteri,27010,Texas,48,60-64 years ,60-64,23,362968,6.3
,2000,2000,Cervix Uteri,27010,California,06,30-34 years,30-34,20,1306036,1.5
,2000,2000,Cervix Uteri,27010,California,06,35-39 years,35-39,35,1382911,2.5
,2000,2000,Cervix Uteri,27010,California,06,40-44 years,40-44,52,1333879,3.9
,2000,2000,Cervix Uteri,27010,California,06,45-49 years,45-49,45,1185267,3.8
,2000,2000,Cervix Uteri,27010,California,06,50-54 years,50-54,56,1030057,5.4
,2000,2000,Cervix Uteri,27010,California,06,55-59 years,55-59,55,761209,7.2
,2000,2000,Cervix Uteri,27010,California,06,60-64 years ,60-64,42,603439,7
,2000,2000,Cervix Uteri,27010,Florida,12,35-39 years,35-39,24,629834,3.8
,2000,2000,Cervix Uteri,27010,Florida,12,40-44 years,40-44,40,621309,6.4
