Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,1999,1999,Cervix Uteri,27010,25-29 years,25-29,62,9695967,0.6
,1999,1999,Cervix Uteri,27010,30-34 years,30-34,155,10249123,1.5
,1999,1999,Cervix Uteri,27010,35-39 years,35-39,292,11474154,2.5
,1999,1999,Cervix Uteri,27010,40-44 years,40-44,407,11195450,3.6
,1999,1999,Cervix Uteri,27010,45-49 years,45-49,462,9987734,4.6
,1999,1999,Cervix Uteri,27010,50-54 years,50-54,452,8644571,5.2
,1999,1999,Cervix Uteri,27010,55-59 years,55-59,393,6765034,5.8
,1999,1999,Cervix Uteri,27010,60-64 years ,60-64,376,5613729,6.7
,2000,2000,Cervix Uteri,27010,25-29 years,25-29,77,9532373,0.8
,2000,2000,Cervix Uteri,27010,30-34 years,30-34,153,10195193,1.5
,2000,2000,Cervix Uteri,27010,35-39 years,35-39,294,11357751,2.6
,2000,2000,Cervix Uteri,27010,40-44 years,40-44,400,11351556,3.5
,2000,2000,Cervix Uteri,27010,45-49 years,45-49,448,10266134,4.4
,2000,2000,Cervix Uteri,27010,50-54 years,50-54,467,9076062,5.1
,2000,2000,Cervix Uteri,27010,55-59 years,55-59,416,7008609,5.9
,2000,2000,Cervix Uteri,27010,60-64 years ,60-64,332,5696206,5.8
,2001,2001,Cervix Uteri,27010,25-29 years,25-29,51,9303113,0.5
,2001,2001,Cervix Uteri,27010,30-34 years,30-34,158,10263930,1.5
,2001,2001,Cervix Uteri,27010,35-39 years,35-39,291,11141510,2.6
,2001,2001,Cervix Uteri,27010,40-44 years,40-44,420,11500919,3.7
,2001,2001,Cervix Uteri,27010,45-49 years,45-49,475,10505949,4.5
,2001,2001,Cervix Uteri,27010,50-54 years,50-54,478,9541132,5
,2001,2001,Cervix Uteri,27010,55-59 years,55-59,371,7209396,5.1
,2001,2001,Cervix Uteri,27010,60-64 years ,60-64,352,5834170,6
,2002,2002,Cervix Uteri,27010,20-24 years,20-24,16,9916245,0.2
,2002,2002,Cervix Uteri,27010,25-29 years,25-29,47,9248586,0.5
,2002,2002,Cervix Uteri,27010,30-34 years,30-34,161,10270193,1.6
,2002,2002,Cervix Uteri,27010,35-39 years,35-39,275,10903446,2.5
,2002,2002,Cervix Uteri,27010,40-44 years,40-44,391,11536009,3.4
