Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,State,State Code,Race,Race Code,Ethnicity,Ethnicity Code,Deaths,Population,Crude Rate
,1999,1999,Cervix Uteri,27010,Alabama,01,Black or African American,2054-5,Non-Hispanic,2186-5,24,620470,3.9
,1999,1999,Cervix Uteri,27010,Alabama,01,White,2106-3,Non-Hispanic,2186-5,38,1615994,2.4
,1999,1999,Cervix Uteri,27010,Arizona,04,White,2106-3,Non-Hispanic,2186-5,40,1667185,2.4
,1999,1999,Cervix Uteri,27010,Arkansas,05,White,2106-3,Non-Hispanic,2186-5,35,1083421,3.2
,1999,1999,Cervix Uteri,27010,California,06,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,54,2016979,2.7
,1999,1999,Cervix Uteri,27010,California,06,Black or African American,2054-5,Non-Hispanic,2186-5,49,1177469,4.2
,1999,1999,Cervix Uteri,27010,California,06,White,2106-3,Hispanic,2135-2,114,4914607,2.3
,1999,1999,Cervix Uteri,27010,California,06,White,2106-3,Non-Hispanic,2186-5,239,8288635,2.9
,1999,1999,Cervix Uteri,27010,Colorado,08,White,2106-3,Non-Hispanic,2186-5,34,1614441,2.1
,1999,1999,Cervix Uteri,27010,Connecticut,09,White,2106-3,Non-Hispanic,2186-5,33,1381548,2.4
,1999,1999,Cervix Uteri,27010,Delaware,10,White,2106-3,Non-Hispanic,2186-5,19,293931,6.5
,1999,1999,Cervix Uteri,27010,Florida,12,Black or African American,2054-5,Non-Hispanic,2186-5,63,1202879,5.2
,1999,1999,Cervix Uteri,27010,Florida,12,White,2106-3,Hispanic,2135-2,29,1218131,2.4
,1999,1999,Cervix Uteri,27010,Florida,12,White,2106-3,Non-Hispanic,2186-5,176,5410896,3.3
,1999,1999,Cervix Uteri,27010,Georgia,13,Black or African American,2054-5,Non-Hispanic,2186-5,46,1226499,3.8
,1999,1999,Cervix Uteri,27010,Georgia,13,White,2106-3,Non-Hispanic,2186-5,74,2616741,2.8
,1999,1999,Cervix Uteri,27010,Illinois,17,Black or African American,2054-5,Non-Hispanic,2186-5,51,1001033,5.1
,1999,1999,Cervix Uteri,27010,Illinois,17,White,2106-3,Non-Hispanic,2186-5,156,4387592,3.6
,1999,1999,Cervix Uteri,27010,Indiana,18,White,2106-3,Non-Hispanic,2186-5,75,2684560,2.8
,1999,1999,Cervix Uteri,27010,Iowa,19,White,2106-3,Non-Hispanic,2186-5,41,1402167,2.9
,1999,1999,Cervix Uteri,27010,Kansas,20,White,2106-3,Non-Hispanic,2186-5,23,1157603,2
,1999,1999,Cervix Uteri,27010,Kentucky,21,White,2106-3,Non-Hispanic,2186-5,79,1861837,4.2
,1999,1999,Cervix Uteri,27010,Louisiana,22,Black or African American,2054-5,Non-Hispanic,2186-5,28,767953,3.6
,1999,1999,Cervix Uteri,27010,Louisiana,22,White,2106-3,Non-Hispanic,2186-5,40,1442220,2.8
,1999,1999,Cervix Uteri,27010,Maine,23,White,2106-3,Non-Hispanic,2186-5,18,634048,2.8
,1999,1999,Cervix Uteri,27010,Maryland,24,Black or African American,2054-5,Non-Hispanic,2186-5,25,787883,3.2
,1999,1999,Cervix Uteri,27010,Maryland,24,White,2106-3,Non-Hispanic,2186-5,48,1703647,2.8
,1999,1999,Cervix Uteri,27010,Massachusetts,25,White,2106-3,Non-Hispanic,2186-5,52,2749498,1.9
,1999,1999,Cervix Uteri,27010,Michigan,26,White,2106-3,Non-Hispanic,2186-5,88,4019877,2.2
,1999,1999,Cervix Uteri,27010,Minnesota,27,White,2106-3,Non-Hispanic,2186-5,41,2215587,1.9
,1999,1999,Cervix Uteri,27010,Mississippi,28,Black or African American,2054-5,Non-Hispanic,2186-5,36,549927,6.5
,1999,1999,Cervix Uteri,27010,Mississippi,28,White,2106-3,Non-Hispanic,2186-5,33,886101,3.7
,1999,1999,Cervix Uteri,27010,Missouri,29,Black or African American,2054-5,Non-Hispanic,2186-5,18,338556,5.3
,1999,1999,Cervix Uteri,27010,Missouri,29,White,2106-3,Non-Hispanic,2186-5,82,2423169,3.4
,1999,1999,Cervix Uteri,27010,Nebraska,31,White,2106-3,Non-Hispanic,2186-5,21,772256,2.7
,1999,1999,Cervix Uteri,27010,Nevada,32,White,2106-3,Non-Hispanic,2186-5,19,647325,2.9
,1999,1999,Cervix Uteri,27010,New Jersey,34,Black or African American,2054-5,Non-Hispanic,2186-5,41,598820,6.8
,1999,1999,Cervix Uteri,27010,New Jersey,34,White,2106-3,Non-Hispanic,2186-5,96,2915801,3.3
,1999,1999,Cervix Uteri,27010,New York,36,Black or African American,2054-5,Non-Hispanic,2186-5,83,1580377,5.3
,1999,1999,Cervix Uteri,27010,New York,36,White,2106-3,Hispanic,2135-2,57,1136822,5
,1999,1999,Cervix Uteri,27010,New York,36,White,2106-3,Non-Hispanic,2186-5,182,6181876,2.9
,1999,1999,Cervix Uteri,27010,North Carolina,37,Black or African American,2054-5,Non-Hispanic,2186-5,53,921728,5.8
,1999,1999,Cervix Uteri,27010,North Carolina,37,White,2106-3,Non-Hispanic,2186-5,84,2899208,2.9
