Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,1999,1999,Cervix Uteri,27010,Alabama,01,63,2293259,2.7
,1999,1999,Cervix Uteri,27010,Arizona,04,55,2518299,2.2
,1999,1999,Cervix Uteri,27010,Arkansas,05,46,1359445,3.4
,1999,1999,Cervix Uteri,27010,California,06,459,16800161,2.7
,1999,1999,Cervix Uteri,27010,Colorado,08,42,2101358,2
,1999,1999,Cervix Uteri,27010,Connecticut,09,38,1747148,2.2
,1999,1999,Cervix Uteri,27010,Delaware,10,21,398732,5.3
,1999,1999,Cervix Uteri,27010,District of Columbia,11,18,301797,6
,1999,1999,Cervix Uteri,27010,Florida,12,271,8073847,3.4
,1999,1999,Cervix Uteri,27010,Georgia,13,125,4096031,3.1
,1999,1999,Cervix Uteri,27010,Illinois,17,218,6313350,3.5
,1999,1999,Cervix Uteri,27010,Indiana,18,85,3083351,2.8
,1999,1999,Cervix Uteri,27010,Iowa,19,41,1488223,2.8
,1999,1999,Cervix Uteri,27010,Kansas,20,27,1356044,2
,1999,1999,Cervix Uteri,27010,Kentucky,21,88,2056401,4.3
,1999,1999,Cervix Uteri,27010,Louisiana,22,70,2302744,3
,1999,1999,Cervix Uteri,27010,Maine,23,19,650598,2.9
,1999,1999,Cervix Uteri,27010,Maryland,24,76,2716928,2.8
,1999,1999,Cervix Uteri,27010,Massachusetts,25,64,3274830,2
,1999,1999,Cervix Uteri,27010,Michigan,26,107,5047770,2.1
,1999,1999,Cervix Uteri,27010,Minnesota,27,48,2462931,1.9
,1999,1999,Cervix Uteri,27010,Mississippi,28,69,1464581,4.7
,1999,1999,Cervix Uteri,27010,Missouri,29,101,2860166,3.5
,1999,1999,Cervix Uteri,27010,Nebraska,31,25,865531,2.9
,1999,1999,Cervix Uteri,27010,Nevada,32,23,949422,2.4
,1999,1999,Cervix Uteri,27010,New Jersey,34,152,4304271,3.5
