"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","Age Groups","Age Groups Code",Count,Population,Crude Rate
,"1999","1999","Colon and Rectum","21041-21052","< 1 year","1",0,3744604,0.0
,"1999","1999","Colon and Rectum","21041-21052","1-4 years","1-4",0,15136428,0.0
,"1999","1999","Colon and Rectum","21041-21052","5-9 years","5-9",Suppressed,20334315,Suppressed
,"1999","1999","Colon and Rectum","21041-21052","10-14 years","10-14",Suppressed,19935660,Suppressed
,"1999","1999","Colon and Rectum","21041-21052","15-19 years","15-19",50,19785979,0.3
,"1999","1999","Colon and Rectum","21041-21052","20-24 years","20-24",135,18328417,0.7
,"1999","1999","Colon and Rectum","21041-21052","25-29 years","25-29",371,19333894,1.9
,"1999","1999","Colon and Rectum","21041-21052","30-34 years","30-34",778,20371091,3.8
,"1999","1999","Colon and Rectum","21041-21052","35-39 years","35-39",1667,22611624,7.4
,"1999","1999","Colon and Rectum","21041-21052","40-44 years","40-44",3209,21924672,14.6
,"1999","1999","Colon and Rectum","21041-21052","45-49 years","45-49",5500,19413875,28.3
,"1999","1999","Colon and Rectum","21041-21052","50-54 years","50-54",8659,16718890,51.8
,"1999","1999","Colon and Rectum","21041-21052","55-59 years","55-59",11269,12922630,87.2
,"1999","1999","Colon and Rectum","21041-21052","60-64 years ","60-64",14367,10551544,136.2
,"1999","1999","Colon and Rectum","21041-21052","65-69 years","65-69",19415,9416383,206.2
,"1999","1999","Colon and Rectum","21041-21052","70-74 years","70-74",23462,8763864,267.7
,"1999","1999","Colon and Rectum","21041-21052","75-79 years","75-79",24708,7251311,340.7
,"1999","1999","Colon and Rectum","21041-21052","80-84 years","80-84",19495,4820265,404.4
,"1999","1999","Colon and Rectum","21041-21052","85+ years","85+",18374,4095902,448.6
,"2000","2000","Colon and Rectum","21041-21052","< 1 year","1",0,3804065,0.0
,"2000","2000","Colon and Rectum","21041-21052","1-4 years","1-4",Suppressed,15119430,Suppressed
,"2000","2000","Colon and Rectum","21041-21052","5-9 years","5-9",0,20194272,0.0
,"2000","2000","Colon and Rectum","21041-21052","10-14 years","10-14",Suppressed,20358437,Suppressed
,"2000","2000","Colon and Rectum","21041-21052","15-19 years","15-19",54,19998739,0.3
,"2000","2000","Colon and Rectum","21041-21052","20-24 years","20-24",135,18848983,0.7
,"2000","2000","Colon and Rectum","21041-21052","25-29 years","25-29",362,19044554,1.9
,"2000","2000","Colon and Rectum","21041-21052","30-34 years","30-34",788,20289179,3.9
,"2000","2000","Colon and Rectum","21041-21052","35-39 years","35-39",1763,22382940,7.9
,"2000","2000","Colon and Rectum","21041-21052","40-44 years","40-44",3334,22245365,15.0
,"2000","2000","Colon and Rectum","21041-21052","45-49 years","45-49",5911,19972154,29.6
,"2000","2000","Colon and Rectum","21041-21052","50-54 years","50-54",9384,17563484,53.4
,"2000","2000","Colon and Rectum","21041-21052","55-59 years","55-59",11487,13399105,85.7
,"2000","2000","Colon and Rectum","21041-21052","60-64 years ","60-64",14866,10720153,138.7
,"2000","2000","Colon and Rectum","21041-21052","65-69 years","65-69",19057,9398861,202.8
,"2000","2000","Colon and Rectum","21041-21052","70-74 years","70-74",23283,8746579,266.2
,"2000","2000","Colon and Rectum","21041-21052","75-79 years","75-79",24371,7347313,331.7
,"2000","2000","Colon and Rectum","21041-21052","80-84 years","80-84",19766,4921341,401.6
,"2000","2000","Colon and Rectum","21041-21052","85+ years","85+",18604,4203260,442.6
,"2001","2001","Colon and Rectum","21041-21052","< 1 year","1",Suppressed,3970113,Suppressed
,"2001","2001","Colon and Rectum","21041-21052","1-4 years","1-4",Suppressed,15123657,Suppressed
,"2001","2001","Colon and Rectum","21041-21052","5-9 years","5-9",Suppressed,19962452,Suppressed
,"2001","2001","Colon and Rectum","21041-21052","10-14 years","10-14",Suppressed,20758808,Suppressed
,"2001","2001","Colon and Rectum","21041-21052","15-19 years","15-19",56,20227701,0.3
,"2001","2001","Colon and Rectum","21041-21052","20-24 years","20-24",166,19536435,0.8
,"2001","2001","Colon and Rectum","21041-21052","25-29 years","25-29",375,18634669,2.0
,"2001","2001","Colon and Rectum","21041-21052","30-34 years","30-34",831,20462391,4.1
,"2001","2001","Colon and Rectum","21041-21052","35-39 years","35-39",1738,22030086,7.9
,"2001","2001","Colon and Rectum","21041-21052","40-44 years","40-44",3456,22601240,15.3
,"2001","2001","Colon and Rectum","21041-21052","45-49 years","45-49",6025,20501373,29.4
,"2001","2001","Colon and Rectum","21041-21052","50-54 years","50-54",9979,18507423,53.9
,"2001","2001","Colon and Rectum","21041-21052","55-59 years","55-59",11854,13833003,85.7
,"2001","2001","Colon and Rectum","21041-21052","60-64 years ","60-64",14670,11020881,133.1
,"2001","2001","Colon and Rectum","21041-21052","65-69 years","65-69",18861,9463333,199.3
,"2001","2001","Colon and Rectum","21041-21052","70-74 years","70-74",22826,8734260,261.3
,"2001","2001","Colon and Rectum","21041-21052","75-79 years","75-79",24318,7386502,329.2
,"2001","2001","Colon and Rectum","21041-21052","80-84 years","80-84",19803,5091062,389.0
,"2001","2001","Colon and Rectum","21041-21052","85+ years","85+",18671,4270572,437.2
,"2002","2002","Colon and Rectum","21041-21052","< 1 year","1",Suppressed,3910837,Suppressed
,"2002","2002","Colon and Rectum","21041-21052","1-4 years","1-4",0,15313864,0.0
,"2002","2002","Colon and Rectum","21041-21052","5-9 years","5-9",Suppressed,19665950,Suppressed
,"2002","2002","Colon and Rectum","21041-21052","10-14 years","10-14",19,21040663,0.1
,"2002","2002","Colon and Rectum","21041-21052","15-19 years","15-19",48,20386049,0.2
,"2002","2002","Colon and Rectum","21041-21052","20-24 years","20-24",159,20019398,0.8
,"2002","2002","Colon and Rectum","21041-21052","25-29 years","25-29",394,18510142,2.1
,"2002","2002","Colon and Rectum","21041-21052","30-34 years","30-34",872,20467339,4.3
,"2002","2002","Colon and Rectum","21041-21052","35-39 years","35-39",1774,21551652,8.2
,"2002","2002","Colon and Rectum","21041-21052","40-44 years","40-44",3531,22675693,15.6
,"2002","2002","Colon and Rectum","21041-21052","45-49 years","45-49",6200,21049493,29.5
,"2002","2002","Colon and Rectum","21041-21052","50-54 years","50-54",10240,18560294,55.2
,"2002","2002","Colon and Rectum","21041-21052","55-59 years","55-59",12408,14996304,82.7
,"2002","2002","Colon and Rectum","21041-21052","60-64 years ","60-64",14733,11442027,128.8
,"2002","2002","Colon and Rectum","21041-21052","65-69 years","65-69",18272,9538576,191.6
,"2002","2002","Colon and Rectum","21041-21052","70-74 years","70-74",22127,8663457,255.4
,"2002","2002","Colon and Rectum","21041-21052","75-79 years","75-79",23498,7400487,317.5
,"2002","2002","Colon and Rectum","21041-21052","80-84 years","80-84",19864,5246561,378.6
,"2002","2002","Colon and Rectum","21041-21052","85+ years","85+",18302,4327726,422.9
,"2003","2003","Colon and Rectum","21041-21052","< 1 year","1",0,3975871,0.0
,"2003","2003","Colon and Rectum","21041-21052","1-4 years","1-4",0,15616575,0.0
,"2003","2003","Colon and Rectum","21041-21052","5-9 years","5-9",0,19620851,0.0
,"2003","2003","Colon and Rectum","21041-21052","10-14 years","10-14",18,21415353,0.1
,"2003","2003","Colon and Rectum","21041-21052","15-19 years","15-19",54,20797166,0.3
,"2003","2003","Colon and Rectum","21041-21052","20-24 years","20-24",166,20591688,0.8
,"2003","2003","Colon and Rectum","21041-21052","25-29 years","25-29",372,18771585,2.0
,"2003","2003","Colon and Rectum","21041-21052","30-34 years","30-34",934,20472210,4.6
,"2003","2003","Colon and Rectum","21041-21052","35-39 years","35-39",1771,21264159,8.3
,"2003","2003","Colon and Rectum","21041-21052","40-44 years","40-44",3687,22890047,16.1
,"2003","2003","Colon and Rectum","21041-21052","45-49 years","45-49",6358,21722676,29.3
,"2003","2003","Colon and Rectum","21041-21052","50-54 years","50-54",10667,19097278,55.9
,"2003","2003","Colon and Rectum","21041-21052","55-59 years","55-59",13144,15814557,83.1
,"2003","2003","Colon and Rectum","21041-21052","60-64 years ","60-64",15267,12194388,125.2
,"2003","2003","Colon and Rectum","21041-21052","65-69 years","65-69",18613,9830796,189.3
,"2003","2003","Colon and Rectum","21041-21052","70-74 years","70-74",21202,8670119,244.5
,"2003","2003","Colon and Rectum","21041-21052","75-79 years","75-79",23453,7497842,312.8
,"2003","2003","Colon and Rectum","21041-21052","80-84 years","80-84",19786,5398596,366.5
,"2003","2003","Colon and Rectum","21041-21052","85+ years","85+",18424,4466176,412.5
,"2004","2004","Colon and Rectum","21041-21052","< 1 year","1",Suppressed,4014258,Suppressed
,"2004","2004","Colon and Rectum","21041-21052","1-4 years","1-4",Suppressed,15771627,Suppressed
,"2004","2004","Colon and Rectum","21041-21052","5-9 years","5-9",Suppressed,19454237,Suppressed
,"2004","2004","Colon and Rectum","21041-21052","10-14 years","10-14",Suppressed,21411680,Suppressed
,"2004","2004","Colon and Rectum","21041-21052","15-19 years","15-19",54,21102552,0.3
,"2004","2004","Colon and Rectum","21041-21052","20-24 years","20-24",193,20845560,0.9
,"2004","2004","Colon and Rectum","21041-21052","25-29 years","25-29",382,19107055,2.0
,"2004","2004","Colon and Rectum","21041-21052","30-34 years","30-34",942,20159501,4.7
,"2004","2004","Colon and Rectum","21041-21052","35-39 years","35-39",1822,20874649,8.7
,"2004","2004","Colon and Rectum","21041-21052","40-44 years","40-44",3661,22925626,16.0
,"2004","2004","Colon and Rectum","21041-21052","45-49 years","45-49",6692,22065262,30.3
,"2004","2004","Colon and Rectum","21041-21052","50-54 years","50-54",11072,19564668,56.6
,"2004","2004","Colon and Rectum","21041-21052","55-59 years","55-59",13422,16607176,80.8
,"2004","2004","Colon and Rectum","21041-21052","60-64 years ","60-64",15365,12698128,121.0
,"2004","2004","Colon and Rectum","21041-21052","65-69 years","65-69",18414,10073429,182.8
,"2004","2004","Colon and Rectum","21041-21052","70-74 years","70-74",20280,8594104,236.0
,"2004","2004","Colon and Rectum","21041-21052","75-79 years","75-79",22176,7461399,297.2
,"2004","2004","Colon and Rectum","21041-21052","80-84 years","80-84",19775,5528504,357.7
,"2004","2004","Colon and Rectum","21041-21052","85+ years","85+",17832,4545883,392.3
,"2005","2005","Colon and Rectum","21041-21052","< 1 year","1",Suppressed,4050690,Suppressed
,"2005","2005","Colon and Rectum","21041-21052","1-4 years","1-4",Suppressed,16108044,Suppressed
,"2005","2005","Colon and Rectum","21041-21052","5-9 years","5-9",Suppressed,19658344,Suppressed
,"2005","2005","Colon and Rectum","21041-21052","10-14 years","10-14",Suppressed,21490803,Suppressed
,"2005","2005","Colon and Rectum","21041-21052","15-19 years","15-19",70,21769554,0.3
,"2005","2005","Colon and Rectum","21041-21052","20-24 years","20-24",159,21232022,0.7
,"2005","2005","Colon and Rectum","21041-21052","25-29 years","25-29",420,19790676,2.1
,"2005","2005","Colon and Rectum","21041-21052","30-34 years","30-34",913,19956549,4.6
,"2005","2005","Colon and Rectum","21041-21052","35-39 years","35-39",1802,21036683,8.6
,"2005","2005","Colon and Rectum","21041-21052","40-44 years","40-44",3835,22947818,16.7
,"2005","2005","Colon and Rectum","21041-21052","45-49 years","45-49",6782,22647967,29.9
,"2005","2005","Colon and Rectum","21041-21052","50-54 years","50-54",11444,20296389,56.4
,"2005","2005","Colon and Rectum","21041-21052","55-59 years","55-59",14219,17720854,80.2
,"2005","2005","Colon and Rectum","21041-21052","60-64 years ","60-64",15631,13316528,117.4
,"2005","2005","Colon and Rectum","21041-21052","65-69 years","65-69",18262,10426990,175.1
,"2005","2005","Colon and Rectum","21041-21052","70-74 years","70-74",19627,8720225,225.1
,"2005","2005","Colon and Rectum","21041-21052","75-79 years","75-79",21698,7548747,287.4
,"2005","2005","Colon and Rectum","21041-21052","80-84 years","80-84",19576,5670941,345.2
,"2005","2005","Colon and Rectum","21041-21052","85+ years","85+",18135,4744200,382.3
,"2006","2006","Colon and Rectum","21041-21052","< 1 year","1",Suppressed,4091397,Suppressed
