"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","Race","Race Code","Ethnicity","Ethnicity Code",Count,Population,Crude Rate
,"1999","1999","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Hispanic","2135-2",Suppressed,562854,Suppressed
,"1999","1999","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",587,2196216,26.7
,"1999","1999","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Hispanic","2135-2",56,393756,14.2
,"1999","1999","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",3042,10997000,27.7
,"1999","1999","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Colon and Rectum","21041-21052","Black or African American","2054-5","Hispanic","2135-2",220,1446375,15.2
,"1999","1999","Colon and Rectum","21041-21052","Black or African American","2054-5","Non-Hispanic","2186-5",14610,33683744,43.4
,"1999","1999","Colon and Rectum","21041-21052","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Colon and Rectum","21041-21052","White","2106-3","Hispanic","2135-2",6589,31491980,20.9
,"1999","1999","Colon and Rectum","21041-21052","White","2106-3","Non-Hispanic","2186-5",125850,194689423,64.6
,"1999","1999","Colon and Rectum","21041-21052","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"1999","1999","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Hispanic","2135-2",72,Not Applicable,Not Applicable
,"1999","1999","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",429,Not Applicable,Not Applicable
,"1999","1999","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2000","2000","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Hispanic","2135-2",17,654736,2.6
,"2000","2000","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",550,2260880,24.3
,"2000","2000","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2000","2000","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Hispanic","2135-2",43,415601,10.3
,"2000","2000","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",3333,11515537,28.9
,"2000","2000","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2000","2000","Colon and Rectum","21041-21052","Black or African American","2054-5","Hispanic","2135-2",217,1516861,14.3
,"2000","2000","Colon and Rectum","21041-21052","Black or African American","2054-5","Non-Hispanic","2186-5",14872,34162304,43.5
,"2000","2000","Colon and Rectum","21041-21052","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2000","2000","Colon and Rectum","21041-21052","White","2106-3","Hispanic","2135-2",6975,33020109,21.1
,"2000","2000","Colon and Rectum","21041-21052","White","2106-3","Non-Hispanic","2186-5",126630,195012186,64.9
,"2000","2000","Colon and Rectum","21041-21052","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2000","2000","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Hispanic","2135-2",103,Not Applicable,Not Applicable
,"2000","2000","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",435,Not Applicable,Not Applicable
,"2000","2000","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2001","2001","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Hispanic","2135-2",23,735793,3.1
,"2001","2001","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",637,2348625,27.1
,"2001","2001","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2001","2001","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Hispanic","2135-2",49,450525,10.9
,"2001","2001","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",3490,12023804,29.0
,"2001","2001","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2001","2001","Colon and Rectum","21041-21052","Black or African American","2054-5","Hispanic","2135-2",211,1604528,13.2
,"2001","2001","Colon and Rectum","21041-21052","Black or African American","2054-5","Non-Hispanic","2186-5",15097,34598872,43.6
,"2001","2001","Colon and Rectum","21041-21052","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2001","2001","Colon and Rectum","21041-21052","White","2106-3","Hispanic","2135-2",7360,34305207,21.5
,"2001","2001","Colon and Rectum","21041-21052","White","2106-3","Non-Hispanic","2186-5",126239,196048607,64.4
,"2001","2001","Colon and Rectum","21041-21052","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2001","2001","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Hispanic","2135-2",77,Not Applicable,Not Applicable
,"2001","2001","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",462,Not Applicable,Not Applicable
,"2001","2001","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2002","2002","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Hispanic","2135-2",26,818068,3.2
,"2002","2002","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",632,2370991,26.7
,"2002","2002","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2002","2002","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Hispanic","2135-2",50,486143,10.3
,"2002","2002","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",3733,12514348,29.8
,"2002","2002","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2002","2002","Colon and Rectum","21041-21052","Black or African American","2054-5","Hispanic","2135-2",219,1691417,12.9
,"2002","2002","Colon and Rectum","21041-21052","Black or African American","2054-5","Non-Hispanic","2186-5",15551,35007813,44.4
,"2002","2002","Colon and Rectum","21041-21052","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2002","2002","Colon and Rectum","21041-21052","White","2106-3","Hispanic","2135-2",7618,35569923,21.4
,"2002","2002","Colon and Rectum","21041-21052","White","2106-3","Non-Hispanic","2186-5",124045,196307809,63.2
,"2002","2002","Colon and Rectum","21041-21052","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2002","2002","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Hispanic","2135-2",90,Not Applicable,Not Applicable
,"2002","2002","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",482,Not Applicable,Not Applicable
,"2002","2002","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2003","2003","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Hispanic","2135-2",20,907535,2.2
,"2003","2003","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",665,2404476,27.7
,"2003","2003","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2003","2003","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Hispanic","2135-2",61,524594,11.6
,"2003","2003","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",3693,13006553,28.4
,"2003","2003","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2003","2003","Colon and Rectum","21041-21052","Black or African American","2054-5","Hispanic","2135-2",211,1787536,11.8
,"2003","2003","Colon and Rectum","21041-21052","Black or African American","2054-5","Non-Hispanic","2186-5",16682,36422205,45.8
,"2003","2003","Colon and Rectum","21041-21052","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2003","2003","Colon and Rectum","21041-21052","White","2106-3","Hispanic","2135-2",8024,36825649,21.8
,"2003","2003","Colon and Rectum","21041-21052","White","2106-3","Non-Hispanic","2186-5",123923,198229385,62.5
,"2003","2003","Colon and Rectum","21041-21052","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2003","2003","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Hispanic","2135-2",112,Not Applicable,Not Applicable
,"2003","2003","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",525,Not Applicable,Not Applicable
,"2003","2003","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2004","2004","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Hispanic","2135-2",33,1000953,3.3
,"2004","2004","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",676,2428499,27.8
,"2004","2004","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2004","2004","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Hispanic","2135-2",65,566680,11.5
,"2004","2004","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",3869,13472066,28.7
,"2004","2004","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2004","2004","Colon and Rectum","21041-21052","Black or African American","2054-5","Hispanic","2135-2",285,1889807,15.1
,"2004","2004","Colon and Rectum","21041-21052","Black or African American","2054-5","Non-Hispanic","2186-5",16590,36848991,45.0
,"2004","2004","Colon and Rectum","21041-21052","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2004","2004","Colon and Rectum","21041-21052","White","2106-3","Hispanic","2135-2",8462,38039945,22.2
,"2004","2004","Colon and Rectum","21041-21052","White","2106-3","Non-Hispanic","2186-5",121455,198558357,61.2
,"2004","2004","Colon and Rectum","21041-21052","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2004","2004","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Hispanic","2135-2",127,Not Applicable,Not Applicable
,"2004","2004","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",536,Not Applicable,Not Applicable
,"2004","2004","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2005","2005","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Hispanic","2135-2",35,1101334,3.2
,"2005","2005","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",704,2452148,28.7
,"2005","2005","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2005","2005","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Hispanic","2135-2",74,612659,12.1
,"2005","2005","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",4083,13952475,29.3
,"2005","2005","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2005","2005","Colon and Rectum","21041-21052","Black or African American","2054-5","Hispanic","2135-2",268,2009211,13.3
,"2005","2005","Colon and Rectum","21041-21052","Black or African American","2054-5","Non-Hispanic","2186-5",16684,37177294,44.9
,"2005","2005","Colon and Rectum","21041-21052","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2005","2005","Colon and Rectum","21041-21052","White","2106-3","Hispanic","2135-2",8704,39290799,22.2
,"2005","2005","Colon and Rectum","21041-21052","White","2106-3","Non-Hispanic","2186-5",119665,198716742,60.2
,"2005","2005","Colon and Rectum","21041-21052","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2005","2005","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Hispanic","2135-2",126,Not Applicable,Not Applicable
,"2005","2005","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",569,Not Applicable,Not Applicable
,"2005","2005","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2006","2006","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Hispanic","2135-2",33,1209963,2.7
,"2006","2006","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",752,2477720,30.4
,"2006","2006","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2006","2006","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Hispanic","2135-2",72,660860,10.9
,"2006","2006","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Non-Hispanic","2186-5",4258,14446498,29.5
,"2006","2006","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2006","2006","Colon and Rectum","21041-21052","Black or African American","2054-5","Hispanic","2135-2",281,2137612,13.1
,"2006","2006","Colon and Rectum","21041-21052","Black or African American","2054-5","Non-Hispanic","2186-5",16916,37719495,44.8
,"2006","2006","Colon and Rectum","21041-21052","Black or African American","2054-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2006","2006","Colon and Rectum","21041-21052","White","2106-3","Hispanic","2135-2",9086,40593711,22.4
,"2006","2006","Colon and Rectum","21041-21052","White","2106-3","Non-Hispanic","2186-5",116986,199134053,58.7
,"2006","2006","Colon and Rectum","21041-21052","White","2106-3","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2006","2006","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Hispanic","2135-2",114,Not Applicable,Not Applicable
,"2006","2006","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Non-Hispanic","2186-5",599,Not Applicable,Not Applicable
,"2006","2006","Colon and Rectum","21041-21052","Other Races and Unknown combined","2131-1","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2007","2007","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Hispanic","2135-2",27,1327365,2.0
,"2007","2007","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Non-Hispanic","2186-5",786,2502533,31.4
,"2007","2007","Colon and Rectum","21041-21052","American Indian or Alaska Native","1002-5","Unknown or Missing","UNK",0,Not Applicable,Not Applicable
,"2007","2007","Colon and Rectum","21041-21052","Asian or Pacific Islander","A-PI","Hispanic","2135-2",88,711657,12.4
