Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Sex,Sex Code,Count,Population,Crude Rate
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,Female,F,1104,2293259,48.1
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,Male,M,1146,2136882,53.6
,1999,1999,Colon and Rectum,21041-21052,Alaska,02,Female,F,90,301266,29.9
,1999,1999,Colon and Rectum,21041-21052,Alaska,02,Male,M,119,323513,36.8
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,Female,F,1091,2518299,43.3
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,Male,M,1253,2505524,50
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,Female,F,716,1359445,52.7
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,Male,M,720,1292415,55.7
,1999,1999,Colon and Rectum,21041-21052,California,06,Female,F,7191,16800161,42.8
,1999,1999,Colon and Rectum,21041-21052,California,06,Male,M,7376,16699043,44.2
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,Female,F,776,2101358,36.9
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,Male,M,843,2124660,39.7
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,Female,F,1168,1747148,66.9
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,Male,M,1115,1639253,68
,1999,1999,Colon and Rectum,21041-21052,Delaware,10,Female,F,233,398732,58.4
,1999,1999,Colon and Rectum,21041-21052,Delaware,10,Male,M,221,376258,58.7
,1999,1999,Colon and Rectum,21041-21052,District of Columbia,11,Female,F,190,301797,63
,1999,1999,Colon and Rectum,21041-21052,District of Columbia,11,Male,M,144,268416,53.6
,1999,1999,Colon and Rectum,21041-21052,Florida,12,Female,F,5695,8073847,70.5
,1999,1999,Colon and Rectum,21041-21052,Florida,12,Male,M,6195,7685574,80.6
,1999,1999,Colon and Rectum,21041-21052,Georgia,13,Female,F,1699,4096031,41.5
,1999,1999,Colon and Rectum,21041-21052,Georgia,13,Male,M,1634,3949934,41.4
,1999,1999,Colon and Rectum,21041-21052,Hawaii,15,Female,F,324,601830,53.8
,1999,1999,Colon and Rectum,21041-21052,Hawaii,15,Male,M,356,608470,58.5
,1999,1999,Colon and Rectum,21041-21052,Idaho,16,Female,F,254,636798,39.9
,1999,1999,Colon and Rectum,21041-21052,Idaho,16,Male,M,273,638876,42.7
,1999,1999,Colon and Rectum,21041-21052,Illinois,17,Female,F,3580,6313350,56.7
,1999,1999,Colon and Rectum,21041-21052,Illinois,17,Male,M,3606,6045670,59.6
,1999,1999,Colon and Rectum,21041-21052,Indiana,18,Female,F,1752,3083351,56.8
,1999,1999,Colon and Rectum,21041-21052,Indiana,18,Male,M,1711,2961618,57.8
,1999,1999,Colon and Rectum,21041-21052,Iowa,19,Female,F,1106,1488223,74.3
,1999,1999,Colon and Rectum,21041-21052,Iowa,19,Male,M,1096,1429411,76.7
,1999,1999,Colon and Rectum,21041-21052,Kansas,20,Female,F,765,1356044,56.4
,1999,1999,Colon and Rectum,21041-21052,Kansas,20,Male,M,788,1322294,59.6
,1999,1999,Colon and Rectum,21041-21052,Kentucky,21,Female,F,1224,2056401,59.5
,1999,1999,Colon and Rectum,21041-21052,Kentucky,21,Male,M,1233,1961652,62.9
,1999,1999,Colon and Rectum,21041-21052,Louisiana,22,Female,F,1178,2302744,51.2
,1999,1999,Colon and Rectum,21041-21052,Louisiana,22,Male,M,1256,2158067,58.2
,1999,1999,Colon and Rectum,21041-21052,Maine,23,Female,F,451,650598,69.3
,1999,1999,Colon and Rectum,21041-21052,Maine,23,Male,M,447,616210,72.5
,1999,1999,Colon and Rectum,21041-21052,Maryland,24,Female,F,1326,2716928,48.8
,1999,1999,Colon and Rectum,21041-21052,Maryland,24,Male,M,1376,2537581,54.2
,1999,1999,Colon and Rectum,21041-21052,Massachusetts,25,Female,F,2046,3274830,62.5
,1999,1999,Colon and Rectum,21041-21052,Massachusetts,25,Male,M,1860,3042515,61.1
,1999,1999,Colon and Rectum,21041-21052,Michigan,26,Female,F,2696,5047770,53.4
,1999,1999,Colon and Rectum,21041-21052,Michigan,26,Male,M,2684,4849346,55.3
,1999,1999,Colon and Rectum,21041-21052,Minnesota,27,Female,F,1222,2462931,49.6
,1999,1999,Colon and Rectum,21041-21052,Minnesota,27,Male,M,1253,2410550,52
,1999,1999,Colon and Rectum,21041-21052,Missouri,29,Female,F,1688,2860166,59
,1999,1999,Colon and Rectum,21041-21052,Missouri,29,Male,M,1743,2701782,64.5
,1999,1999,Colon and Rectum,21041-21052,Montana,30,Female,F,243,450543,53.9
,1999,1999,Colon and Rectum,21041-21052,Montana,30,Male,M,284,446964,63.5
