"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"1999","1999","Colon and Rectum","21041-21052","Alabama","01",2250,4430141,50.8
,"1999","1999","Colon and Rectum","21041-21052","Alaska","02",209,624779,33.5
,"1999","1999","Colon and Rectum","21041-21052","Arizona","04",2344,5023823,46.7
,"1999","1999","Colon and Rectum","21041-21052","Arkansas","05",1437,2651860,54.2
,"1999","1999","Colon and Rectum","21041-21052","California","06",14567,33499204,43.5
,"1999","1999","Colon and Rectum","21041-21052","Colorado","08",1619,4226018,38.3
,"1999","1999","Colon and Rectum","21041-21052","Connecticut","09",2284,3386401,67.4
,"1999","1999","Colon and Rectum","21041-21052","Delaware","10",454,774990,58.6
,"1999","1999","Colon and Rectum","21041-21052","District of Columbia","11",334,570213,58.6
,"1999","1999","Colon and Rectum","21041-21052","Florida","12",11892,15759421,75.5
,"1999","1999","Colon and Rectum","21041-21052","Georgia","13",3333,8045965,41.4
,"1999","1999","Colon and Rectum","21041-21052","Hawaii","15",680,1210300,56.2
,"1999","1999","Colon and Rectum","21041-21052","Idaho","16",528,1275674,41.4
,"1999","1999","Colon and Rectum","21041-21052","Illinois","17",7186,12359020,58.1
,"1999","1999","Colon and Rectum","21041-21052","Indiana","18",3465,6044969,57.3
,"1999","1999","Colon and Rectum","21041-21052","Iowa","19",2202,2917634,75.5
,"1999","1999","Colon and Rectum","21041-21052","Kansas","20",1553,2678338,58.0
,"1999","1999","Colon and Rectum","21041-21052","Kentucky","21",2457,4018053,61.1
,"1999","1999","Colon and Rectum","21041-21052","Louisiana","22",2433,4460811,54.5
,"1999","1999","Colon and Rectum","21041-21052","Maine","23",898,1266808,70.9
,"1999","1999","Colon and Rectum","21041-21052","Maryland","24",2702,5254509,51.4
,"1999","1999","Colon and Rectum","21041-21052","Massachusetts","25",3907,6317345,61.8
,"1999","1999","Colon and Rectum","21041-21052","Michigan","26",5377,9897116,54.3
,"1999","1999","Colon and Rectum","21041-21052","Minnesota","27",2476,4873481,50.8
,"1999","1999","Colon and Rectum","21041-21052","Mississippi","28",Missing,Missing,Missing
,"1999","1999","Colon and Rectum","21041-21052","Missouri","29",3433,5561948,61.7
,"1999","1999","Colon and Rectum","21041-21052","Montana","30",527,897507,58.7
,"1999","1999","Colon and Rectum","21041-21052","Nebraska","31",1100,1704764,64.5
,"1999","1999","Colon and Rectum","21041-21052","Nevada","32",900,1934718,46.5
,"1999","1999","Colon and Rectum","21041-21052","New Hampshire","33",645,1222014,52.8
,"1999","1999","Colon and Rectum","21041-21052","New Jersey","34",5536,8359592,66.2
,"1999","1999","Colon and Rectum","21041-21052","New Mexico","35",740,1808082,40.9
,"1999","1999","Colon and Rectum","21041-21052","New York","36",11831,18882725,62.7
,"1999","1999","Colon and Rectum","21041-21052","North Carolina","37",3877,7949361,48.8
,"1999","1999","Colon and Rectum","21041-21052","North Dakota","38",394,644259,61.2
,"1999","1999","Colon and Rectum","21041-21052","Ohio","39",6980,11335454,61.6
,"1999","1999","Colon and Rectum","21041-21052","Oklahoma","40",1911,3437147,55.6
,"1999","1999","Colon and Rectum","21041-21052","Oregon","41",1866,3393941,55.0
,"1999","1999","Colon and Rectum","21041-21052","Pennsylvania","42",9040,12263805,73.7
,"1999","1999","Colon and Rectum","21041-21052","Rhode Island","44",784,1040402,75.4
,"1999","1999","Colon and Rectum","21041-21052","South Carolina","45",2101,3974682,52.9
,"1999","1999","Colon and Rectum","21041-21052","South Dakota","46",Missing,Missing,Missing
,"1999","1999","Colon and Rectum","21041-21052","Tennessee","47",2642,5638706,46.9
,"1999","1999","Colon and Rectum","21041-21052","Texas","48",8535,20558220,41.5
,"1999","1999","Colon and Rectum","21041-21052","Utah","49",654,2203482,29.7
,"1999","1999","Colon and Rectum","21041-21052","Vermont","50",369,604683,61.0
,"1999","1999","Colon and Rectum","21041-21052","Virginia","51",3274,7000174,46.8
,"1999","1999","Colon and Rectum","21041-21052","Washington","53",2846,5842564,48.7
,"1999","1999","Colon and Rectum","21041-21052","West Virginia","54",1320,1811799,72.9
,"1999","1999","Colon and Rectum","21041-21052","Wisconsin","55",3310,5332666,62.1
,"1999","1999","Colon and Rectum","21041-21052","Wyoming","56",267,491780,54.3
,"1999","1999","Colon and Rectum","21041-21052","Puerto Rico","72",Missing,Missing,Missing
,"2000","2000","Colon and Rectum","21041-21052","Alabama","01",2305,4452173,51.8
,"2000","2000","Colon and Rectum","21041-21052","Alaska","02",232,627963,36.9
,"2000","2000","Colon and Rectum","21041-21052","Arizona","04",2509,5160586,48.6
