Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Sex,Sex Code,Deaths,Population,Crude Rate
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,Female,F,452,2293259,19.7
,1999,1999,Colon and Rectum,21041-21052,Alabama,01,Male,M,397,2136882,18.6
,1999,1999,Colon and Rectum,21041-21052,Alaska,02,Female,F,32,301266,10.6
,1999,1999,Colon and Rectum,21041-21052,Alaska,02,Male,M,29,323513,9
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,Female,F,402,2518299,16
,1999,1999,Colon and Rectum,21041-21052,Arizona,04,Male,M,469,2505524,18.7
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,Female,F,325,1359445,23.9
,1999,1999,Colon and Rectum,21041-21052,Arkansas,05,Male,M,298,1292415,23.1
,1999,1999,Colon and Rectum,21041-21052,California,06,Female,F,2541,16800161,15.1
,1999,1999,Colon and Rectum,21041-21052,California,06,Male,M,2592,16699043,15.5
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,Female,F,302,2101358,14.4
,1999,1999,Colon and Rectum,21041-21052,Colorado,08,Male,M,307,2124660,14.4
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,Female,F,395,1747148,22.6
,1999,1999,Colon and Rectum,21041-21052,Connecticut,09,Male,M,388,1639253,23.7
,1999,1999,Colon and Rectum,21041-21052,Delaware,10,Female,F,84,398732,21.1
,1999,1999,Colon and Rectum,21041-21052,Delaware,10,Male,M,96,376258,25.5
,1999,1999,Colon and Rectum,21041-21052,District of Columbia,11,Female,F,83,301797,27.5
,1999,1999,Colon and Rectum,21041-21052,District of Columbia,11,Male,M,56,268416,20.9
,1999,1999,Colon and Rectum,21041-21052,Florida,12,Female,F,1911,8073847,23.7
,1999,1999,Colon and Rectum,21041-21052,Florida,12,Male,M,2045,7685574,26.6
,1999,1999,Colon and Rectum,21041-21052,Georgia,13,Female,F,594,4096031,14.5
,1999,1999,Colon and Rectum,21041-21052,Georgia,13,Male,M,589,3949934,14.9
,1999,1999,Colon and Rectum,21041-21052,Hawaii,15,Female,F,81,601830,13.5
,1999,1999,Colon and Rectum,21041-21052,Hawaii,15,Male,M,88,608470,14.5
,1999,1999,Colon and Rectum,21041-21052,Idaho,16,Female,F,97,636798,15.2
,1999,1999,Colon and Rectum,21041-21052,Idaho,16,Male,M,127,638876,19.9
,1999,1999,Colon and Rectum,21041-21052,Illinois,17,Female,F,1402,6313350,22.2
,1999,1999,Colon and Rectum,21041-21052,Illinois,17,Male,M,1358,6045670,22.5
,1999,1999,Colon and Rectum,21041-21052,Indiana,18,Female,F,740,3083351,24
,1999,1999,Colon and Rectum,21041-21052,Indiana,18,Male,M,645,2961618,21.8
,1999,1999,Colon and Rectum,21041-21052,Iowa,19,Female,F,350,1488223,23.5
,1999,1999,Colon and Rectum,21041-21052,Iowa,19,Male,M,389,1429411,27.2
,1999,1999,Colon and Rectum,21041-21052,Kansas,20,Female,F,300,1356044,22.1
,1999,1999,Colon and Rectum,21041-21052,Kansas,20,Male,M,287,1322294,21.7
,1999,1999,Colon and Rectum,21041-21052,Kentucky,21,Female,F,425,2056401,20.7
,1999,1999,Colon and Rectum,21041-21052,Kentucky,21,Male,M,450,1961652,22.9
,1999,1999,Colon and Rectum,21041-21052,Louisiana,22,Female,F,444,2302744,19.3
,1999,1999,Colon and Rectum,21041-21052,Louisiana,22,Male,M,507,2158067,23.5
,1999,1999,Colon and Rectum,21041-21052,Maine,23,Female,F,177,650598,27.2
,1999,1999,Colon and Rectum,21041-21052,Maine,23,Male,M,166,616210,26.9
