"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code","Age Groups","Age Groups Code",Count,Population,Crude Rate
,"1999","1999","Lung and Bronchus","22030","Alabama","01","< 1 year","1",0,58787,0.0
,"1999","1999","Lung and Bronchus","22030","Alabama","01","1-4 years","1-4",0,236153,0.0
,"1999","1999","Lung and Bronchus","22030","Alabama","01","5-9 years","5-9",0,315749,0.0
,"1999","1999","Lung and Bronchus","22030","Alabama","01","10-14 years","10-14",0,317379,0.0
,"1999","1999","Lung and Bronchus","22030","Alabama","01","15-19 years","15-19",Suppressed,327789,Suppressed
,"1999","1999","Lung and Bronchus","22030","Alabama","01","20-24 years","20-24",Suppressed,306182,Suppressed
,"1999","1999","Lung and Bronchus","22030","Alabama","01","25-29 years","25-29",0,307028,0.0
,"1999","1999","Lung and Bronchus","22030","Alabama","01","30-34 years","30-34",Suppressed,301295,Suppressed
,"1999","1999","Lung and Bronchus","22030","Alabama","01","35-39 years","35-39",28,342932,8.2
,"1999","1999","Lung and Bronchus","22030","Alabama","01","40-44 years","40-44",68,344000,19.8
,"1999","1999","Lung and Bronchus","22030","Alabama","01","45-49 years","45-49",101,309892,32.6
,"1999","1999","Lung and Bronchus","22030","Alabama","01","50-54 years","50-54",202,275759,73.3
,"1999","1999","Lung and Bronchus","22030","Alabama","01","55-59 years","55-59",346,220728,156.8
,"1999","1999","Lung and Bronchus","22030","Alabama","01","60-64 years ","60-64",456,189814,240.2
,"1999","1999","Lung and Bronchus","22030","Alabama","01","65-69 years","65-69",604,167363,360.9
,"1999","1999","Lung and Bronchus","22030","Alabama","01","70-74 years","70-74",636,148565,428.1
,"1999","1999","Lung and Bronchus","22030","Alabama","01","75-79 years","75-79",484,117897,410.5
,"1999","1999","Lung and Bronchus","22030","Alabama","01","80-84 years","80-84",258,76876,335.6
,"1999","1999","Lung and Bronchus","22030","Alabama","01","85+ years","85+",148,65953,224.4
,"1999","1999","Lung and Bronchus","22030","Alaska","02","< 1 year","1",0,9265,0.0
,"1999","1999","Lung and Bronchus","22030","Alaska","02","1-4 years","1-4",0,38671,0.0
,"1999","1999","Lung and Bronchus","22030","Alaska","02","5-9 years","5-9",0,55181,0.0
,"1999","1999","Lung and Bronchus","22030","Alaska","02","10-14 years","10-14",Suppressed,55877,Suppressed
,"1999","1999","Lung and Bronchus","22030","Alaska","02","15-19 years","15-19",0,49732,0.0
,"1999","1999","Lung and Bronchus","22030","Alaska","02","20-24 years","20-24",0,39451,0.0
,"1999","1999","Lung and Bronchus","22030","Alaska","02","25-29 years","25-29",0,41687,0.0
,"1999","1999","Lung and Bronchus","22030","Alaska","02","30-34 years","30-34",0,48329,0.0
,"1999","1999","Lung and Bronchus","22030","Alaska","02","35-39 years","35-39",Suppressed,57719,Suppressed
,"1999","1999","Lung and Bronchus","22030","Alaska","02","40-44 years","40-44",Suppressed,59162,Suppressed
,"1999","1999","Lung and Bronchus","22030","Alaska","02","45-49 years","45-49",Suppressed,52540,Suppressed
,"1999","1999","Lung and Bronchus","22030","Alaska","02","50-54 years","50-54",26,39580,65.7
,"1999","1999","Lung and Bronchus","22030","Alaska","02","55-59 years","55-59",34,26381,128.9
,"1999","1999","Lung and Bronchus","22030","Alaska","02","60-64 years ","60-64",44,16960,259.4
,"1999","1999","Lung and Bronchus","22030","Alaska","02","65-69 years","65-69",44,12219,360.1
,"1999","1999","Lung and Bronchus","22030","Alaska","02","70-74 years","70-74",49,9512,515.1
,"1999","1999","Lung and Bronchus","22030","Alaska","02","75-79 years","75-79",34,6525,521.1
,"1999","1999","Lung and Bronchus","22030","Alaska","02","80-84 years","80-84",19,3527,538.7
,"1999","1999","Lung and Bronchus","22030","Alaska","02","85+ years","85+",Suppressed,2461,Suppressed
,"1999","1999","Lung and Bronchus","22030","Arizona","04","< 1 year","1",0,77506,0.0
,"1999","1999","Lung and Bronchus","22030","Arizona","04","1-4 years","1-4",0,298582,0.0
,"1999","1999","Lung and Bronchus","22030","Arizona","04","5-9 years","5-9",0,380471,0.0
,"1999","1999","Lung and Bronchus","22030","Arizona","04","10-14 years","10-14",0,364017,0.0
,"1999","1999","Lung and Bronchus","22030","Arizona","04","15-19 years","15-19",0,359836,0.0
,"1999","1999","Lung and Bronchus","22030","Arizona","04","20-24 years","20-24",Suppressed,350911,Suppressed
,"1999","1999","Lung and Bronchus","22030","Arizona","04","25-29 years","25-29",0,371429,0.0
,"1999","1999","Lung and Bronchus","22030","Arizona","04","30-34 years","30-34",Suppressed,367109,Suppressed
,"1999","1999","Lung and Bronchus","22030","Arizona","04","35-39 years","35-39",18,393281,4.6
,"1999","1999","Lung and Bronchus","22030","Arizona","04","40-44 years","40-44",34,368155,9.2
,"1999","1999","Lung and Bronchus","22030","Arizona","04","45-49 years","45-49",80,322567,24.8
,"1999","1999","Lung and Bronchus","22030","Arizona","04","50-54 years","50-54",127,282200,45.0
,"1999","1999","Lung and Bronchus","22030","Arizona","04","55-59 years","55-59",227,229310,99.0
,"1999","1999","Lung and Bronchus","22030","Arizona","04","60-64 years ","60-64",389,198437,196.0
,"1999","1999","Lung and Bronchus","22030","Arizona","04","65-69 years","65-69",511,188248,271.5
,"1999","1999","Lung and Bronchus","22030","Arizona","04","70-74 years","70-74",608,174466,348.5
,"1999","1999","Lung and Bronchus","22030","Arizona","04","75-79 years","75-79",566,141816,399.1
,"1999","1999","Lung and Bronchus","22030","Arizona","04","80-84 years","80-84",340,89282,380.8
,"1999","1999","Lung and Bronchus","22030","Arizona","04","85+ years","85+",170,66200,256.8
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","< 1 year","1",0,35851,0.0
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","1-4 years","1-4",0,145276,0.0
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","5-9 years","5-9",0,188127,0.0
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","10-14 years","10-14",0,193029,0.0
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","15-19 years","15-19",0,200122,0.0
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","20-24 years","20-24",Suppressed,179622,Suppressed
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","25-29 years","25-29",Suppressed,176338,Suppressed
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","30-34 years","30-34",Suppressed,174957,Suppressed
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","35-39 years","35-39",21,199896,10.5
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","40-44 years","40-44",32,194986,16.4
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","45-49 years","45-49",82,178341,46.0
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","50-54 years","50-54",160,161702,98.9
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","55-59 years","55-59",248,135264,183.3
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","60-64 years ","60-64",335,115753,289.4
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","65-69 years","65-69",409,104761,390.4
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","70-74 years","70-74",410,93175,440.0
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","75-79 years","75-79",322,76333,421.8
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","80-84 years","80-84",182,52465,346.9
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","85+ years","85+",121,45862,263.8
,"1999","1999","Lung and Bronchus","22030","California","06","< 1 year","1",Suppressed,485647,Suppressed
,"1999","1999","Lung and Bronchus","22030","California","06","1-4 years","1-4",0,2026500,0.0
,"1999","1999","Lung and Bronchus","22030","California","06","5-9 years","5-9",0,2748888,0.0
,"1999","1999","Lung and Bronchus","22030","California","06","10-14 years","10-14",0,2497890,0.0
,"1999","1999","Lung and Bronchus","22030","California","06","15-19 years","15-19",Suppressed,2403117,Suppressed
,"1999","1999","Lung and Bronchus","22030","California","06","20-24 years","20-24",Suppressed,2303169,Suppressed
,"1999","1999","Lung and Bronchus","22030","California","06","25-29 years","25-29",Suppressed,2563984,Suppressed
,"1999","1999","Lung and Bronchus","22030","California","06","30-34 years","30-34",23,2714559,0.8
,"1999","1999","Lung and Bronchus","22030","California","06","35-39 years","35-39",88,2830371,3.1
,"1999","1999","Lung and Bronchus","22030","California","06","40-44 years","40-44",252,2631815,9.6
,"1999","1999","Lung and Bronchus","22030","California","06","45-49 years","45-49",478,2269009,21.1
,"1999","1999","Lung and Bronchus","22030","California","06","50-54 years","50-54",923,1920301,48.1
,"1999","1999","Lung and Bronchus","22030","California","06","55-59 years","55-59",1475,1415902,104.2
,"1999","1999","Lung and Bronchus","22030","California","06","60-64 years ","60-64",1990,1127145,176.6
,"1999","1999","Lung and Bronchus","22030","California","06","65-69 years","65-69",2638,985605,267.7
,"1999","1999","Lung and Bronchus","22030","California","06","70-74 years","70-74",3276,902399,363.0
,"1999","1999","Lung and Bronchus","22030","California","06","75-79 years","75-79",3131,766688,408.4
,"1999","1999","Lung and Bronchus","22030","California","06","80-84 years","80-84",1941,492951,393.8
,"1999","1999","Lung and Bronchus","22030","California","06","85+ years","85+",1242,413264,300.5
,"1999","1999","Lung and Bronchus","22030","Colorado","08","< 1 year","1",0,60120,0.0
,"1999","1999","Lung and Bronchus","22030","Colorado","08","1-4 years","1-4",0,231098,0.0
,"1999","1999","Lung and Bronchus","22030","Colorado","08","5-9 years","5-9",Suppressed,304910,Suppressed
,"1999","1999","Lung and Bronchus","22030","Colorado","08","10-14 years","10-14",Suppressed,306407,Suppressed
,"1999","1999","Lung and Bronchus","22030","Colorado","08","15-19 years","15-19",Suppressed,302365,Suppressed
,"1999","1999","Lung and Bronchus","22030","Colorado","08","20-24 years","20-24",0,294419,0.0
,"1999","1999","Lung and Bronchus","22030","Colorado","08","25-29 years","25-29",Suppressed,326929,Suppressed
,"1999","1999","Lung and Bronchus","22030","Colorado","08","30-34 years","30-34",Suppressed,327928,Suppressed
,"1999","1999","Lung and Bronchus","22030","Colorado","08","35-39 years","35-39",Suppressed,371857,Suppressed
,"1999","1999","Lung and Bronchus","22030","Colorado","08","40-44 years","40-44",20,367106,5.4
,"1999","1999","Lung and Bronchus","22030","Colorado","08","45-49 years","45-49",49,327225,15.0
,"1999","1999","Lung and Bronchus","22030","Colorado","08","50-54 years","50-54",91,265834,34.2
,"1999","1999","Lung and Bronchus","22030","Colorado","08","55-59 years","55-59",143,186839,76.5
,"1999","1999","Lung and Bronchus","22030","Colorado","08","60-64 years ","60-64",229,142207,161.0
,"1999","1999","Lung and Bronchus","22030","Colorado","08","65-69 years","65-69",286,120041,238.3
,"1999","1999","Lung and Bronchus","22030","Colorado","08","70-74 years","70-74",344,104378,329.6
,"1999","1999","Lung and Bronchus","22030","Colorado","08","75-79 years","75-79",282,84482,333.8
,"1999","1999","Lung and Bronchus","22030","Colorado","08","80-84 years","80-84",184,54621,336.9
,"1999","1999","Lung and Bronchus","22030","Colorado","08","85+ years","85+",125,47252,264.5
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","< 1 year","1",0,42660,0.0
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","1-4 years","1-4",0,180157,0.0
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","5-9 years","5-9",0,245385,0.0
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","10-14 years","10-14",0,236053,0.0
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","15-19 years","15-19",Suppressed,213162,Suppressed
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","20-24 years","20-24",0,185894,0.0
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","25-29 years","25-29",0,207932,0.0
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","30-34 years","30-34",Suppressed,254504,Suppressed
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","35-39 years","35-39",Suppressed,293075,Suppressed
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","40-44 years","40-44",35,286444,12.2
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","45-49 years","45-49",73,246896,29.6
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","50-54 years","50-54",145,222424,65.2
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","55-59 years","55-59",225,171572,131.1
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","60-64 years ","60-64",287,130887,219.3
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","65-69 years","65-69",374,118365,316.0
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","70-74 years","70-74",444,114972,386.2
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","75-79 years","75-79",397,100744,394.1
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","80-84 years","80-84",311,72454,429.2
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","85+ years","85+",177,62821,281.8
,"1999","1999","Lung and Bronchus","22030","Delaware","10","< 1 year","1",0,10223,0.0
,"1999","1999","Lung and Bronchus","22030","Delaware","10","1-4 years","1-4",0,40846,0.0
,"1999","1999","Lung and Bronchus","22030","Delaware","10","5-9 years","5-9",0,55768,0.0
,"1999","1999","Lung and Bronchus","22030","Delaware","10","10-14 years","10-14",0,54060,0.0
,"1999","1999","Lung and Bronchus","22030","Delaware","10","15-19 years","15-19",0,54830,0.0
,"1999","1999","Lung and Bronchus","22030","Delaware","10","20-24 years","20-24",0,50086,0.0
,"1999","1999","Lung and Bronchus","22030","Delaware","10","25-29 years","25-29",0,53292,0.0
,"1999","1999","Lung and Bronchus","22030","Delaware","10","30-34 years","30-34",Suppressed,57757,Suppressed
,"1999","1999","Lung and Bronchus","22030","Delaware","10","35-39 years","35-39",Suppressed,64858,Suppressed
,"1999","1999","Lung and Bronchus","22030","Delaware","10","40-44 years","40-44",Suppressed,61972,Suppressed
,"1999","1999","Lung and Bronchus","22030","Delaware","10","45-49 years","45-49",20,53351,37.5
,"1999","1999","Lung and Bronchus","22030","Delaware","10","50-54 years","50-54",44,47477,92.7
,"1999","1999","Lung and Bronchus","22030","Delaware","10","55-59 years","55-59",63,38109,165.3
,"1999","1999","Lung and Bronchus","22030","Delaware","10","60-64 years ","60-64",91,31777,286.4
,"1999","1999","Lung and Bronchus","22030","Delaware","10","65-69 years","65-69",105,29791,352.5
,"1999","1999","Lung and Bronchus","22030","Delaware","10","70-74 years","70-74",128,26404,484.8
,"1999","1999","Lung and Bronchus","22030","Delaware","10","75-79 years","75-79",98,20984,467.0
,"1999","1999","Lung and Bronchus","22030","Delaware","10","80-84 years","80-84",57,13166,432.9
,"1999","1999","Lung and Bronchus","22030","Delaware","10","85+ years","85+",30,10239,293.0
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","< 1 year","1",0,6458,0.0
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","1-4 years","1-4",0,26440,0.0
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","5-9 years","5-9",0,36596,0.0
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","10-14 years","10-14",0,28544,0.0
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","15-19 years","15-19",0,36717,0.0
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","20-24 years","20-24",0,48523,0.0
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","25-29 years","25-29",0,57039,0.0
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","30-34 years","30-34",Suppressed,49639,Suppressed
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","35-39 years","35-39",Suppressed,46507,Suppressed
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","40-44 years","40-44",20,41649,48.0
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","45-49 years","45-49",Suppressed,38725,Suppressed
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","50-54 years","50-54",38,34514,110.1
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","55-59 years","55-59",45,27011,166.6
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","60-64 years ","60-64",43,21698,198.2
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","65-69 years","65-69",56,18882,296.6
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","70-74 years","70-74",58,17679,328.1
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","75-79 years","75-79",67,14902,449.6
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","80-84 years","80-84",36,9928,362.6
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","85+ years","85+",24,8762,273.9
,"1999","1999","Lung and Bronchus","22030","Florida","12","< 1 year","1",0,187719,0.0
,"1999","1999","Lung and Bronchus","22030","Florida","12","1-4 years","1-4",0,754054,0.0
,"1999","1999","Lung and Bronchus","22030","Florida","12","5-9 years","5-9",0,1037103,0.0
,"1999","1999","Lung and Bronchus","22030","Florida","12","10-14 years","10-14",Suppressed,1032139,Suppressed
,"1999","1999","Lung and Bronchus","22030","Florida","12","15-19 years","15-19",Suppressed,992265,Suppressed
,"1999","1999","Lung and Bronchus","22030","Florida","12","20-24 years","20-24",Suppressed,907463,Suppressed
,"1999","1999","Lung and Bronchus","22030","Florida","12","25-29 years","25-29",Suppressed,994333,Suppressed
,"1999","1999","Lung and Bronchus","22030","Florida","12","30-34 years","30-34",27,1098372,2.5
,"1999","1999","Lung and Bronchus","22030","Florida","12","35-39 years","35-39",75,1260288,6.0
,"1999","1999","Lung and Bronchus","22030","Florida","12","40-44 years","40-44",239,1196187,20.0
,"1999","1999","Lung and Bronchus","22030","Florida","12","45-49 years","45-49",477,1049792,45.4
,"1999","1999","Lung and Bronchus","22030","Florida","12","50-54 years","50-54",801,942150,85.0
,"1999","1999","Lung and Bronchus","22030","Florida","12","55-59 years","55-59",1204,789129,152.6
,"1999","1999","Lung and Bronchus","22030","Florida","12","60-64 years ","60-64",1738,720321,241.3
,"1999","1999","Lung and Bronchus","22030","Florida","12","65-69 years","65-69",2427,732184,331.5
,"1999","1999","Lung and Bronchus","22030","Florida","12","70-74 years","70-74",3066,730681,419.6
,"1999","1999","Lung and Bronchus","22030","Florida","12","75-79 years","75-79",2644,611578,432.3
,"1999","1999","Lung and Bronchus","22030","Florida","12","80-84 years","80-84",1803,400752,449.9
,"1999","1999","Lung and Bronchus","22030","Florida","12","85+ years","85+",1120,322911,346.8
,"1999","1999","Lung and Bronchus","22030","Georgia","13","< 1 year","1",0,119807,0.0
,"1999","1999","Lung and Bronchus","22030","Georgia","13","1-4 years","1-4",0,463161,0.0
,"1999","1999","Lung and Bronchus","22030","Georgia","13","5-9 years","5-9",0,609017,0.0
,"1999","1999","Lung and Bronchus","22030","Georgia","13","10-14 years","10-14",0,591812,0.0
,"1999","1999","Lung and Bronchus","22030","Georgia","13","15-19 years","15-19",0,589631,0.0
,"1999","1999","Lung and Bronchus","22030","Georgia","13","20-24 years","20-24",Suppressed,574511,Suppressed
