"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","Age Groups","Age Groups Code",Count,Population,Crude Rate
,"1999","1999","Lung and Bronchus","22030","< 1 year","1",Suppressed,3744604,Suppressed
,"1999","1999","Lung and Bronchus","22030","1-4 years","1-4",Suppressed,15136428,Suppressed
,"1999","1999","Lung and Bronchus","22030","5-9 years","5-9",Suppressed,20334315,Suppressed
,"1999","1999","Lung and Bronchus","22030","10-14 years","10-14",Suppressed,19935660,Suppressed
,"1999","1999","Lung and Bronchus","22030","15-19 years","15-19",29,19785979,0.1
,"1999","1999","Lung and Bronchus","22030","20-24 years","20-24",46,18328417,0.3
,"1999","1999","Lung and Bronchus","22030","25-29 years","25-29",114,19333894,0.6
,"1999","1999","Lung and Bronchus","22030","30-34 years","30-34",312,20371091,1.5
,"1999","1999","Lung and Bronchus","22030","35-39 years","35-39",1166,22611624,5.2
,"1999","1999","Lung and Bronchus","22030","40-44 years","40-44",3268,21924672,14.9
,"1999","1999","Lung and Bronchus","22030","45-49 years","45-49",6096,19413875,31.4
,"1999","1999","Lung and Bronchus","22030","50-54 years","50-54",10866,16718890,65.0
,"1999","1999","Lung and Bronchus","22030","55-59 years","55-59",17324,12922630,134.1
,"1999","1999","Lung and Bronchus","22030","60-64 years ","60-64",23528,10551544,223.0
,"1999","1999","Lung and Bronchus","22030","65-69 years","65-69",31259,9416383,332.0
,"1999","1999","Lung and Bronchus","22030","70-74 years","70-74",36298,8763864,414.2
,"1999","1999","Lung and Bronchus","22030","75-79 years","75-79",31250,7251311,431.0
,"1999","1999","Lung and Bronchus","22030","80-84 years","80-84",18797,4820265,390.0
,"1999","1999","Lung and Bronchus","22030","85+ years","85+",11310,4095902,276.1
,"2000","2000","Lung and Bronchus","22030","< 1 year","1",Suppressed,3804065,Suppressed
,"2000","2000","Lung and Bronchus","22030","1-4 years","1-4",Suppressed,15119430,Suppressed
,"2000","2000","Lung and Bronchus","22030","5-9 years","5-9",Suppressed,20194272,Suppressed
,"2000","2000","Lung and Bronchus","22030","10-14 years","10-14",Suppressed,20358437,Suppressed
,"2000","2000","Lung and Bronchus","22030","15-19 years","15-19",29,19998739,0.1
,"2000","2000","Lung and Bronchus","22030","20-24 years","20-24",65,18848983,0.3
,"2000","2000","Lung and Bronchus","22030","25-29 years","25-29",118,19044554,0.6
,"2000","2000","Lung and Bronchus","22030","30-34 years","30-34",313,20289179,1.5
,"2000","2000","Lung and Bronchus","22030","35-39 years","35-39",1111,22382940,5.0
,"2000","2000","Lung and Bronchus","22030","40-44 years","40-44",3348,22245365,15.1
,"2000","2000","Lung and Bronchus","22030","45-49 years","45-49",6245,19972154,31.3
,"2000","2000","Lung and Bronchus","22030","50-54 years","50-54",11159,17563484,63.5
,"2000","2000","Lung and Bronchus","22030","55-59 years","55-59",17705,13399105,132.1
,"2000","2000","Lung and Bronchus","22030","60-64 years ","60-64",23549,10720153,219.7
,"2000","2000","Lung and Bronchus","22030","65-69 years","65-69",30499,9398861,324.5
,"2000","2000","Lung and Bronchus","22030","70-74 years","70-74",36031,8746579,411.9
,"2000","2000","Lung and Bronchus","22030","75-79 years","75-79",31715,7347313,431.7
,"2000","2000","Lung and Bronchus","22030","80-84 years","80-84",19411,4921341,394.4
,"2000","2000","Lung and Bronchus","22030","85+ years","85+",11609,4203260,276.2
,"2001","2001","Lung and Bronchus","22030","< 1 year","1",Suppressed,3970113,Suppressed
,"2001","2001","Lung and Bronchus","22030","1-4 years","1-4",Suppressed,15123657,Suppressed
,"2001","2001","Lung and Bronchus","22030","5-9 years","5-9",Suppressed,19962452,Suppressed
,"2001","2001","Lung and Bronchus","22030","10-14 years","10-14",Suppressed,20758808,Suppressed
,"2001","2001","Lung and Bronchus","22030","15-19 years","15-19",32,20227701,0.2
,"2001","2001","Lung and Bronchus","22030","20-24 years","20-24",46,19536435,0.2
,"2001","2001","Lung and Bronchus","22030","25-29 years","25-29",113,18634669,0.6
,"2001","2001","Lung and Bronchus","22030","30-34 years","30-34",279,20462391,1.4
,"2001","2001","Lung and Bronchus","22030","35-39 years","35-39",1114,22030086,5.1
,"2001","2001","Lung and Bronchus","22030","40-44 years","40-44",3333,22601240,14.7
,"2001","2001","Lung and Bronchus","22030","45-49 years","45-49",6163,20501373,30.1
,"2001","2001","Lung and Bronchus","22030","50-54 years","50-54",11432,18507423,61.8
,"2001","2001","Lung and Bronchus","22030","55-59 years","55-59",17992,13833003,130.1
,"2001","2001","Lung and Bronchus","22030","60-64 years ","60-64",23700,11020881,215.0
,"2001","2001","Lung and Bronchus","22030","65-69 years","65-69",30493,9463333,322.2
,"2001","2001","Lung and Bronchus","22030","70-74 years","70-74",35677,8734260,408.5
,"2001","2001","Lung and Bronchus","22030","75-79 years","75-79",32832,7386502,444.5
,"2001","2001","Lung and Bronchus","22030","80-84 years","80-84",20237,5091062,397.5
,"2001","2001","Lung and Bronchus","22030","85+ years","85+",12410,4270572,290.6
,"2002","2002","Lung and Bronchus","22030","< 1 year","1",Suppressed,3910837,Suppressed
,"2002","2002","Lung and Bronchus","22030","1-4 years","1-4",Suppressed,15313864,Suppressed
,"2002","2002","Lung and Bronchus","22030","5-9 years","5-9",Suppressed,19665950,Suppressed
,"2002","2002","Lung and Bronchus","22030","10-14 years","10-14",Suppressed,21040663,Suppressed
,"2002","2002","Lung and Bronchus","22030","15-19 years","15-19",32,20386049,0.2
,"2002","2002","Lung and Bronchus","22030","20-24 years","20-24",48,20019398,0.2
,"2002","2002","Lung and Bronchus","22030","25-29 years","25-29",113,18510142,0.6
,"2002","2002","Lung and Bronchus","22030","30-34 years","30-34",259,20467339,1.3
,"2002","2002","Lung and Bronchus","22030","35-39 years","35-39",957,21551652,4.4
,"2002","2002","Lung and Bronchus","22030","40-44 years","40-44",3275,22675693,14.4
,"2002","2002","Lung and Bronchus","22030","45-49 years","45-49",6611,21049493,31.4
,"2002","2002","Lung and Bronchus","22030","50-54 years","50-54",11366,18560294,61.2
,"2002","2002","Lung and Bronchus","22030","55-59 years","55-59",18176,14996304,121.2
,"2002","2002","Lung and Bronchus","22030","60-64 years ","60-64",24521,11442027,214.3
,"2002","2002","Lung and Bronchus","22030","65-69 years","65-69",30083,9538576,315.4
,"2002","2002","Lung and Bronchus","22030","70-74 years","70-74",35522,8663457,410.0
,"2002","2002","Lung and Bronchus","22030","75-79 years","75-79",33294,7400487,449.9
,"2002","2002","Lung and Bronchus","22030","80-84 years","80-84",21747,5246561,414.5
,"2002","2002","Lung and Bronchus","22030","85+ years","85+",12839,4327726,296.7
,"2003","2003","Lung and Bronchus","22030","< 1 year","1",Suppressed,3975871,Suppressed
,"2003","2003","Lung and Bronchus","22030","1-4 years","1-4",Suppressed,15616575,Suppressed
,"2003","2003","Lung and Bronchus","22030","5-9 years","5-9",Suppressed,19620851,Suppressed
,"2003","2003","Lung and Bronchus","22030","10-14 years","10-14",Suppressed,21415353,Suppressed
,"2003","2003","Lung and Bronchus","22030","15-19 years","15-19",26,20797166,0.1
,"2003","2003","Lung and Bronchus","22030","20-24 years","20-24",58,20591688,0.3
,"2003","2003","Lung and Bronchus","22030","25-29 years","25-29",101,18771585,0.5
,"2003","2003","Lung and Bronchus","22030","30-34 years","30-34",275,20472210,1.3
,"2003","2003","Lung and Bronchus","22030","35-39 years","35-39",931,21264159,4.4
,"2003","2003","Lung and Bronchus","22030","40-44 years","40-44",3358,22890047,14.7
,"2003","2003","Lung and Bronchus","22030","45-49 years","45-49",7004,21722676,32.2
,"2003","2003","Lung and Bronchus","22030","50-54 years","50-54",11651,19097278,61.0
,"2003","2003","Lung and Bronchus","22030","55-59 years","55-59",18783,15814557,118.8
,"2003","2003","Lung and Bronchus","22030","60-64 years ","60-64",25614,12194388,210.0
,"2003","2003","Lung and Bronchus","22030","65-69 years","65-69",31306,9830796,318.4
,"2003","2003","Lung and Bronchus","22030","70-74 years","70-74",35497,8670119,409.4
,"2003","2003","Lung and Bronchus","22030","75-79 years","75-79",34270,7497842,457.1
,"2003","2003","Lung and Bronchus","22030","80-84 years","80-84",22600,5398596,418.6
,"2003","2003","Lung and Bronchus","22030","85+ years","85+",13448,4466176,301.1
,"2004","2004","Lung and Bronchus","22030","< 1 year","1",Suppressed,4014258,Suppressed
,"2004","2004","Lung and Bronchus","22030","1-4 years","1-4",Suppressed,15771627,Suppressed
,"2004","2004","Lung and Bronchus","22030","5-9 years","5-9",Suppressed,19454237,Suppressed
,"2004","2004","Lung and Bronchus","22030","10-14 years","10-14",Suppressed,21411680,Suppressed
,"2004","2004","Lung and Bronchus","22030","15-19 years","15-19",24,21102552,0.1
,"2004","2004","Lung and Bronchus","22030","20-24 years","20-24",63,20845560,0.3
,"2004","2004","Lung and Bronchus","22030","25-29 years","25-29",108,19107055,0.6
,"2004","2004","Lung and Bronchus","22030","30-34 years","30-34",278,20159501,1.4
