"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code","Sex","Sex Code",Count,Population,Crude Rate
,"1999","1999","Lung and Bronchus","22030","Alabama","01","Female","F",1193,2293259,52.0
,"1999","1999","Lung and Bronchus","22030","Alabama","01","Male","M",2145,2136882,100.4
,"1999","1999","Lung and Bronchus","22030","Alaska","02","Female","F",130,301266,43.2
,"1999","1999","Lung and Bronchus","22030","Alaska","02","Male","M",145,323513,44.8
,"1999","1999","Lung and Bronchus","22030","Arizona","04","Female","F",1308,2518299,51.9
,"1999","1999","Lung and Bronchus","22030","Arizona","04","Male","M",1769,2505524,70.6
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","Female","F",852,1359445,62.7
,"1999","1999","Lung and Bronchus","22030","Arkansas","05","Male","M",1476,1292415,114.2
,"1999","1999","Lung and Bronchus","22030","California","06","Female","F",8137,16800161,48.4
,"1999","1999","Lung and Bronchus","22030","California","06","Male","M",9341,16699043,55.9
,"1999","1999","Lung and Bronchus","22030","Colorado","08","Female","F",786,2101358,37.4
,"1999","1999","Lung and Bronchus","22030","Colorado","08","Male","M",980,2124660,46.1
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","Female","F",1147,1747148,65.6
,"1999","1999","Lung and Bronchus","22030","Connecticut","09","Male","M",1344,1639253,82.0
,"1999","1999","Lung and Bronchus","22030","Delaware","10","Female","F",281,398732,70.5
,"1999","1999","Lung and Bronchus","22030","Delaware","10","Male","M",373,376258,99.1
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","Female","F",160,301797,53.0
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11","Male","M",246,268416,91.6
,"1999","1999","Lung and Bronchus","22030","Florida","12","Female","F",6719,8073847,83.2
,"1999","1999","Lung and Bronchus","22030","Florida","12","Male","M",8917,7685574,116.0
,"1999","1999","Lung and Bronchus","22030","Georgia","13","Female","F",1914,4096031,46.7
,"1999","1999","Lung and Bronchus","22030","Georgia","13","Male","M",3031,3949934,76.7
,"1999","1999","Lung and Bronchus","22030","Hawaii","15","Female","F",270,601830,44.9
,"1999","1999","Lung and Bronchus","22030","Hawaii","15","Male","M",418,608470,68.7
,"1999","1999","Lung and Bronchus","22030","Idaho","16","Female","F",266,636798,41.8
,"1999","1999","Lung and Bronchus","22030","Idaho","16","Male","M",366,638876,57.3
,"1999","1999","Lung and Bronchus","22030","Illinois","17","Female","F",3784,6313350,59.9
,"1999","1999","Lung and Bronchus","22030","Illinois","17","Male","M",4977,6045670,82.3
,"1999","1999","Lung and Bronchus","22030","Indiana","18","Female","F",1933,3083351,62.7
,"1999","1999","Lung and Bronchus","22030","Indiana","18","Male","M",2831,2961618,95.6
,"1999","1999","Lung and Bronchus","22030","Iowa","19","Female","F",896,1488223,60.2
,"1999","1999","Lung and Bronchus","22030","Iowa","19","Male","M",1306,1429411,91.4
,"1999","1999","Lung and Bronchus","22030","Kansas","20","Female","F",761,1356044,56.1
,"1999","1999","Lung and Bronchus","22030","Kansas","20","Male","M",1050,1322294,79.4
,"1999","1999","Lung and Bronchus","22030","Kentucky","21","Female","F",1616,2056401,78.6
,"1999","1999","Lung and Bronchus","22030","Kentucky","21","Male","M",2433,1961652,124.0
,"1999","1999","Lung and Bronchus","22030","Louisiana","22","Female","F",1314,2302744,57.1
,"1999","1999","Lung and Bronchus","22030","Louisiana","22","Male","M",2174,2158067,100.7
,"1999","1999","Lung and Bronchus","22030","Maine","23","Female","F",469,650598,72.1
,"1999","1999","Lung and Bronchus","22030","Maine","23","Male","M",641,616210,104.0
,"1999","1999","Lung and Bronchus","22030","Maryland","24","Female","F",1663,2716928,61.2
