"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"1999","1999","Lung and Bronchus","22030","Alabama","01",3338,4430141,75.3
,"1999","1999","Lung and Bronchus","22030","Alaska","02",275,624779,44.0
,"1999","1999","Lung and Bronchus","22030","Arizona","04",3077,5023823,61.2
,"1999","1999","Lung and Bronchus","22030","Arkansas","05",2328,2651860,87.8
,"1999","1999","Lung and Bronchus","22030","California","06",17478,33499204,52.2
,"1999","1999","Lung and Bronchus","22030","Colorado","08",1766,4226018,41.8
,"1999","1999","Lung and Bronchus","22030","Connecticut","09",2491,3386401,73.6
,"1999","1999","Lung and Bronchus","22030","Delaware","10",654,774990,84.4
,"1999","1999","Lung and Bronchus","22030","District of Columbia","11",406,570213,71.2
,"1999","1999","Lung and Bronchus","22030","Florida","12",15636,15759421,99.2
,"1999","1999","Lung and Bronchus","22030","Georgia","13",4945,8045965,61.5
,"1999","1999","Lung and Bronchus","22030","Hawaii","15",688,1210300,56.8
,"1999","1999","Lung and Bronchus","22030","Idaho","16",632,1275674,49.5
,"1999","1999","Lung and Bronchus","22030","Illinois","17",8761,12359020,70.9
,"1999","1999","Lung and Bronchus","22030","Indiana","18",4764,6044969,78.8
,"1999","1999","Lung and Bronchus","22030","Iowa","19",2202,2917634,75.5
,"1999","1999","Lung and Bronchus","22030","Kansas","20",1811,2678338,67.6
,"1999","1999","Lung and Bronchus","22030","Kentucky","21",4049,4018053,100.8
,"1999","1999","Lung and Bronchus","22030","Louisiana","22",3488,4460811,78.2
,"1999","1999","Lung and Bronchus","22030","Maine","23",1110,1266808,87.6
,"1999","1999","Lung and Bronchus","22030","Maryland","24",3696,5254509,70.3
,"1999","1999","Lung and Bronchus","22030","Massachusetts","25",4634,6317345,73.4
,"1999","1999","Lung and Bronchus","22030","Michigan","26",7317,9897116,73.9
,"1999","1999","Lung and Bronchus","22030","Minnesota","27",2634,4873481,54.0
,"1999","1999","Lung and Bronchus","22030","Mississippi","28",Missing,Missing,Missing
,"1999","1999","Lung and Bronchus","22030","Missouri","29",4746,5561948,85.3
,"1999","1999","Lung and Bronchus","22030","Montana","30",601,897507,67.0
