Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Sex,Sex Code,Deaths,Population,Crude Rate
,1999,1999,Lung and Bronchus,22030,Female,F,62662,142237295,44.1
,1999,1999,Lung and Bronchus,22030,Male,M,89399,136802873,65.3
,2000,2000,Lung and Bronchus,22030,Female,F,65016,143719004,45.2
,2000,2000,Lung and Bronchus,22030,Male,M,90410,138443407,65.3
,2001,2001,Lung and Bronchus,22030,Female,F,65606,145077463,45.2
,2001,2001,Lung and Bronchus,22030,Male,M,90363,139891492,64.6
,2002,2002,Lung and Bronchus,22030,Female,F,67509,146394634,46.1
,2002,2002,Lung and Bronchus,22030,Male,M,90121,141230559,63.8
,2003,2003,Lung and Bronchus,22030,Female,F,68084,147679036,46.1
,2003,2003,Lung and Bronchus,22030,Male,M,89906,142428897,63.1
,2004,2004,Lung and Bronchus,22030,Female,F,68431,148977286,45.9
,2004,2004,Lung and Bronchus,22030,Male,M,89575,143828012,62.3
,2005,2005,Lung and Bronchus,22030,Female,F,69290,152200111,45.5
,2005,2005,Lung and Bronchus,22030,Male,M,90470,146933913,61.6
,2006,2006,Lung and Bronchus,22030,Female,F,69579,153711903,45.3
,2006,2006,Lung and Bronchus,22030,Male,M,89629,148473223,60.4
,2007,2007,Lung and Bronchus,22030,Female,F,70585,155135060,45.5
,2007,2007,Lung and Bronchus,22030,Male,M,88714,149879142,59.2
,2008,2008,Lung and Bronchus,22030,Female,F,70262,156561540,44.9
,2008,2008,Lung and Bronchus,22030,Male,M,88910,151293292,58.8
,2009,2009,Lung and Bronchus,22030,Female,F,70586,157911436,44.7
,2009,2009,Lung and Bronchus,22030,Male,M,88109,152600503,57.7
,2010,2010,Lung and Bronchus,22030,Female,F,70751,159186149,44.4
,2010,2010,Lung and Bronchus,22030,Male,M,88112,153917623,57.2
,2011,2011,Lung and Bronchus,22030,Female,F,70430,160273856,43.9
,2011,2011,Lung and Bronchus,22030,Male,M,87131,155265500,56.1
