Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,1999,1999,Lung and Bronchus,22030,Alabama,01,2852,4430141,64.4
,1999,1999,Lung and Bronchus,22030,Alaska,02,179,624779,28.7
,1999,1999,Lung and Bronchus,22030,Arizona,04,2513,5023823,50
,1999,1999,Lung and Bronchus,22030,Arkansas,05,1952,2651860,73.6
,1999,1999,Lung and Bronchus,22030,California,06,13740,33499204,41
,1999,1999,Lung and Bronchus,22030,Colorado,08,1368,4226018,32.4
,1999,1999,Lung and Bronchus,22030,Connecticut,09,1788,3386401,52.8
,1999,1999,Lung and Bronchus,22030,Delaware,10,539,774990,69.5
,1999,1999,Lung and Bronchus,22030,District of Columbia,11,299,570213,52.4
,1999,1999,Lung and Bronchus,22030,Florida,12,11483,15759421,72.9
,1999,1999,Lung and Bronchus,22030,Georgia,13,3935,8045965,48.9
,1999,1999,Lung and Bronchus,22030,Hawaii,15,454,1210300,37.5
,1999,1999,Lung and Bronchus,22030,Idaho,16,497,1275674,39
,1999,1999,Lung and Bronchus,22030,Illinois,17,6713,12359020,54.3
,1999,1999,Lung and Bronchus,22030,Indiana,18,3897,6044969,64.5
,1999,1999,Lung and Bronchus,22030,Iowa,19,1675,2917634,57.4
,1999,1999,Lung and Bronchus,22030,Kansas,20,1470,2678338,54.9
,1999,1999,Lung and Bronchus,22030,Kentucky,21,2969,4018053,73.9
,1999,1999,Lung and Bronchus,22030,Louisiana,22,2690,4460811,60.3
,1999,1999,Lung and Bronchus,22030,Maine,23,822,1266808,64.9
,1999,1999,Lung and Bronchus,22030,Maryland,24,2847,5254509,54.2
,1999,1999,Lung and Bronchus,22030,Massachusetts,25,3593,6317345,56.9
,1999,1999,Lung and Bronchus,22030,Michigan,26,5438,9897116,54.9
,1999,1999,Lung and Bronchus,22030,Minnesota,27,2205,4873481,45.2
,1999,1999,Lung and Bronchus,22030,Mississippi,28,1906,2828408,67.4
,1999,1999,Lung and Bronchus,22030,Missouri,29,3620,5561948,65.1
,1999,1999,Lung and Bronchus,22030,Montana,30,507,897507,56.5
,1999,1999,Lung and Bronchus,22030,Nebraska,31,909,1704764,53.3
