"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code","Age Groups","Age Groups Code",Count,Population,Crude Rate
,"1999","1999","Prostate","28010","Alabama","01","< 1 year","1",0,30075,0.0
,"1999","1999","Prostate","28010","Alabama","01","1-4 years","1-4",0,120438,0.0
,"1999","1999","Prostate","28010","Alabama","01","5-9 years","5-9",0,161970,0.0
,"1999","1999","Prostate","28010","Alabama","01","10-14 years","10-14",0,162999,0.0
,"1999","1999","Prostate","28010","Alabama","01","15-19 years","15-19",0,166099,0.0
,"1999","1999","Prostate","28010","Alabama","01","20-24 years","20-24",0,151548,0.0
,"1999","1999","Prostate","28010","Alabama","01","25-29 years","25-29",0,151877,0.0
,"1999","1999","Prostate","28010","Alabama","01","30-34 years","30-34",0,148196,0.0
,"1999","1999","Prostate","28010","Alabama","01","35-39 years","35-39",Suppressed,167921,Suppressed
,"1999","1999","Prostate","28010","Alabama","01","40-44 years","40-44",Suppressed,167710,Suppressed
,"1999","1999","Prostate","28010","Alabama","01","45-49 years","45-49",53,150447,35.2
,"1999","1999","Prostate","28010","Alabama","01","50-54 years","50-54",159,133876,118.8
,"1999","1999","Prostate","28010","Alabama","01","55-59 years","55-59",278,105366,263.8
,"1999","1999","Prostate","28010","Alabama","01","60-64 years ","60-64",410,88690,462.3
,"1999","1999","Prostate","28010","Alabama","01","65-69 years","65-69",550,75958,724.1
,"1999","1999","Prostate","28010","Alabama","01","70-74 years","70-74",484,63159,766.3
,"1999","1999","Prostate","28010","Alabama","01","75-79 years","75-79",361,46215,781.1
,"1999","1999","Prostate","28010","Alabama","01","80-84 years","80-84",162,26637,608.2
,"1999","1999","Prostate","28010","Alabama","01","85+ years","85+",75,17701,423.7
,"1999","1999","Prostate","28010","Alaska","02","< 1 year","1",0,4838,0.0
,"1999","1999","Prostate","28010","Alaska","02","1-4 years","1-4",0,19756,0.0
,"1999","1999","Prostate","28010","Alaska","02","5-9 years","5-9",0,28288,0.0
,"1999","1999","Prostate","28010","Alaska","02","10-14 years","10-14",0,28699,0.0
,"1999","1999","Prostate","28010","Alaska","02","15-19 years","15-19",0,26165,0.0
,"1999","1999","Prostate","28010","Alaska","02","20-24 years","20-24",0,20966,0.0
,"1999","1999","Prostate","28010","Alaska","02","25-29 years","25-29",0,21634,0.0
,"1999","1999","Prostate","28010","Alaska","02","30-34 years","30-34",0,25070,0.0
,"1999","1999","Prostate","28010","Alaska","02","35-39 years","35-39",0,29718,0.0
,"1999","1999","Prostate","28010","Alaska","02","40-44 years","40-44",Suppressed,30346,Suppressed
,"1999","1999","Prostate","28010","Alaska","02","45-49 years","45-49",Suppressed,27512,Suppressed
,"1999","1999","Prostate","28010","Alaska","02","50-54 years","50-54",24,21319,112.6
,"1999","1999","Prostate","28010","Alaska","02","55-59 years","55-59",39,14146,275.7
,"1999","1999","Prostate","28010","Alaska","02","60-64 years ","60-64",53,9027,587.1
,"1999","1999","Prostate","28010","Alaska","02","65-69 years","65-69",53,6150,861.8
,"1999","1999","Prostate","28010","Alaska","02","70-74 years","70-74",52,4649,1118.5
,"1999","1999","Prostate","28010","Alaska","02","75-79 years","75-79",42,2930,1433.4
,"1999","1999","Prostate","28010","Alaska","02","80-84 years","80-84",Suppressed,1466,Suppressed
,"1999","1999","Prostate","28010","Alaska","02","85+ years","85+",Suppressed,834,Suppressed
,"1999","1999","Prostate","28010","Arizona","04","< 1 year","1",0,39614,0.0
,"1999","1999","Prostate","28010","Arizona","04","1-4 years","1-4",0,152777,0.0
,"1999","1999","Prostate","28010","Arizona","04","5-9 years","5-9",0,194666,0.0
,"1999","1999","Prostate","28010","Arizona","04","10-14 years","10-14",0,186672,0.0
,"1999","1999","Prostate","28010","Arizona","04","15-19 years","15-19",0,186468,0.0
