"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"1999","1999","Prostate","28010","Alabama","01",2546,2136882,119.1
,"1999","1999","Prostate","28010","Alaska","02",287,323513,88.7
,"1999","1999","Prostate","28010","Arizona","04",3175,2505524,126.7
,"1999","1999","Prostate","28010","Arkansas","05",1890,1292415,146.2
,"1999","1999","Prostate","28010","California","06",20977,16699043,125.6
,"1999","1999","Prostate","28010","Colorado","08",2720,2124660,128.0
,"1999","1999","Prostate","28010","Connecticut","09",2719,1639253,165.9
,"1999","1999","Prostate","28010","Delaware","10",609,376258,161.9
,"1999","1999","Prostate","28010","District of Columbia","11",540,268416,201.2
,"1999","1999","Prostate","28010","Florida","12",15935,7685574,207.3
,"1999","1999","Prostate","28010","Georgia","13",4604,3949934,116.6
,"1999","1999","Prostate","28010","Hawaii","15",792,608470,130.2
,"1999","1999","Prostate","28010","Idaho","16",850,638876,133.0
,"1999","1999","Prostate","28010","Illinois","17",8413,6045670,139.2
,"1999","1999","Prostate","28010","Indiana","18",3490,2961618,117.8
,"1999","1999","Prostate","28010","Iowa","19",2257,1429411,157.9
,"1999","1999","Prostate","28010","Kansas","20",2019,1322294,152.7
,"1999","1999","Prostate","28010","Kentucky","21",2800,1961652,142.7
,"1999","1999","Prostate","28010","Louisiana","22",3018,2158067,139.8
,"1999","1999","Prostate","28010","Maine","23",1036,616210,168.1
,"1999","1999","Prostate","28010","Maryland","24",4082,2537581,160.9
,"1999","1999","Prostate","28010","Massachusetts","25",5009,3042515,164.6
,"1999","1999","Prostate","28010","Michigan","26",8760,4849346,180.6
,"1999","1999","Prostate","28010","Minnesota","27",3635,2410550,150.8
,"1999","1999","Prostate","28010","Mississippi","28",Missing,Missing,Missing
,"1999","1999","Prostate","28010","Missouri","29",3853,2701782,142.6
,"1999","1999","Prostate","28010","Montana","30",800,446964,179.0
,"1999","1999","Prostate","28010","Nebraska","31",1406,839233,167.5
,"1999","1999","Prostate","28010","Nevada","32",989,985296,100.4
,"1999","1999","Prostate","28010","New Hampshire","33",845,600605,140.7
,"1999","1999","Prostate","28010","New Jersey","34",7300,4055321,180.0
,"1999","1999","Prostate","28010","New Mexico","35",1271,889421,142.9
,"1999","1999","Prostate","28010","New York","36",13917,9105071,152.8
,"1999","1999","Prostate","28010","North Carolina","37",5250,3886651,135.1
,"1999","1999","Prostate","28010","North Dakota","38",634,321642,197.1
,"1999","1999","Prostate","28010","Ohio","39",8064,5500437,146.6
,"1999","1999","Prostate","28010","Oklahoma","40",2281,1688364,135.1
,"1999","1999","Prostate","28010","Oregon","41",2875,1681715,171.0
,"1999","1999","Prostate","28010","Pennsylvania","42",10901,5916741,184.2
,"1999","1999","Prostate","28010","Rhode Island","44",875,499678,175.1
,"1999","1999","Prostate","28010","South Carolina","45",3094,1929076,160.4
,"1999","1999","Prostate","28010","South Dakota","46",Missing,Missing,Missing
,"1999","1999","Prostate","28010","Tennessee","47",2777,2741240,101.3
,"1999","1999","Prostate","28010","Texas","48",12539,10198018,123.0
,"1999","1999","Prostate","28010","Utah","49",1308,1103315,118.6
,"1999","1999","Prostate","28010","Vermont","50",439,296285,148.2
,"1999","1999","Prostate","28010","Virginia","51",4730,3430491,137.9
,"1999","1999","Prostate","28010","Washington","53",4520,2907663,155.5
,"1999","1999","Prostate","28010","West Virginia","54",1370,879990,155.7
,"1999","1999","Prostate","28010","Wisconsin","55",4184,2631141,159.0
,"1999","1999","Prostate","28010","Wyoming","56",394,247262,159.3
,"1999","1999","Prostate","28010","Puerto Rico","72",Missing,Missing,Missing
,"2000","2000","Prostate","28010","Alabama","01",2792,2149338,129.9
,"2000","2000","Prostate","28010","Alaska","02",307,324750,94.5
,"2000","2000","Prostate","28010","Arizona","04",3130,2576007,121.5
,"2000","2000","Prostate","28010","Arkansas","05",1900,1307573,145.3
,"2000","2000","Prostate","28010","California","06",20954,16937562,123.7
,"2000","2000","Prostate","28010","Colorado","08",2718,2179179,124.7
,"2000","2000","Prostate","28010","Connecticut","09",3097,1652459,187.4
,"2000","2000","Prostate","28010","Delaware","10",599,381926,156.8
,"2000","2000","Prostate","28010","District of Columbia","11",564,269403,209.4
,"2000","2000","Prostate","28010","Florida","12",16217,7830201,207.1
,"2000","2000","Prostate","28010","Georgia","13",5032,4047070,124.3
,"2000","2000","Prostate","28010","Hawaii","15",807,610025,132.3
,"2000","2000","Prostate","28010","Idaho","16",1006,651446,154.4
,"2000","2000","Prostate","28010","Illinois","17",8495,6088884,139.5
,"2000","2000","Prostate","28010","Indiana","18",3818,2988697,127.7
,"2000","2000","Prostate","28010","Iowa","19",2341,1437292,162.9
,"2000","2000","Prostate","28010","Kansas","20",2012,1331181,151.1
,"2000","2000","Prostate","28010","Kentucky","21",2787,1979305,140.8
,"2000","2000","Prostate","28010","Louisiana","22",3105,2164907,143.4
,"2000","2000","Prostate","28010","Maine","23",1188,621527,191.1
,"2000","2000","Prostate","28010","Maryland","24",4181,2565003,163.0
,"2000","2000","Prostate","28010","Massachusetts","25",5286,3064859,172.5
,"2000","2000","Prostate","28010","Michigan","26",8857,4880268,181.5
,"2000","2000","Prostate","28010","Minnesota","27",4097,2443070,167.7
,"2000","2000","Prostate","28010","Mississippi","28",Missing,Missing,Missing
,"2000","2000","Prostate","28010","Missouri","29",3625,2727498,132.9
,"2000","2000","Prostate","28010","Montana","30",832,450348,184.7
,"2000","2000","Prostate","28010","Nebraska","31",1384,844840,163.8
