Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Count,Population,Crude Rate
,1999,1999,Prostate,28010,198651,135067134,147.1
,2000,2000,Prostate,28010,205335,136692444,150.2
,2001,2001,Prostate,28010,212810,138511984,153.6
,2002,2002,Prostate,28010,215589,139847290,154.2
,2003,2003,Prostate,28010,204542,142428897,143.6
,2004,2004,Prostate,28010,204206,143828012,142
,2005,2005,Prostate,28010,206156,145099195,142.1
,2006,2006,Prostate,28010,225404,146647265,153.7
,2007,2007,Prostate,28010,240008,148064854,162.1
,2008,2008,Prostate,28010,229296,149489951,153.4
,2009,2009,Prostate,28010,225028,150807454,149.2
,2010,2010,Prostate,28010,217700,152134841,143.1
,2011,2011,Prostate,28010,223659,153502059,145.7
,2012,2012,Prostate,28010,191658,154917037,123.7
,2013,2013,Prostate,28010,189975,156263353,121.6
,2014,2014,Prostate,28010,184308,157671238,116.9
,2015,2015,Prostate,28010,196882,159109267,123.7
,2016,2016,Prostate,28010,204911,160513350,127.7
,2017,2017,Prostate,28010,220160,161760158,136.1
,2018,2018,Prostate,28010,228174,162835512,140.1
,2019,2019,Prostate,28010,241518,163799172,147.4
,2020,2020,Prostate,28010,210802,161152265,130.8
,2021,2021,Prostate,28010,236659,161337187,146.7
---,,,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2021 Incidence",,,,,,,
Query Parameters:,,,,,,,
Leading Cancer Sites: Prostate,,,,,,,
Group By: Year; Leading Cancer Sites,,,,,,,
Show Totals: Disabled,,,,,,,
Show Zero Values: False,,,,,,,
Show Suppressed: False,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,
Standard Population: 2000 U.S. Std. Million,,,,,,,
---,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/cancer-v2021.html for more information.,,,,,,,
---,,,,,,,
"Query Date: Aug 20, 2024 11:16:28 AM",,,,,,,
---,,,,,,,
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2023 submission; 2024",,,,,,,
"release. Accessed at http://wonder.cdc.gov/cancer-v2021.html on Aug 20, 2024 11:16:28 AM",,,,,,,
---,,,,,,,
Caveats:,,,,,,,
1. 'Not Applicable' is displayed for all data values when sex-specific cancers are combined with the wrong sex. More,,,,,,,
information: http://wonder.cdc.gov/wonder/help/cancer-v2021.html#Genital Cancers List.,,,,,,,
"2. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,
misleading.,,,,,,,
3. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data,,,,,,,
shown for the United States are diagnoses and populations from included registries only.,,,,,,,
"4. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for",,,,,,,
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define",,,,,,,
standard groupings of primary cancer sites.,,,,,,,
"5. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,
