Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,1999,1999,Prostate,28010,Alabama,01,60-64 years ,60-64,24,88690,27.1
,1999,1999,Prostate,28010,Alabama,01,65-69 years,65-69,58,75958,76.4
,1999,1999,Prostate,28010,Arizona,04,60-64 years ,60-64,25,94340,26.5
,1999,1999,Prostate,28010,Arizona,04,65-69 years,65-69,37,89859,41.2
,1999,1999,Prostate,28010,Arkansas,05,65-69 years,65-69,24,48436,49.5
,1999,1999,Prostate,28010,California,06,55-59 years,55-59,85,686730,12.4
,1999,1999,Prostate,28010,California,06,60-64 years ,60-64,127,536409,23.7
,1999,1999,Prostate,28010,California,06,65-69 years,65-69,277,458231,60.4
,1999,1999,Prostate,28010,Colorado,08,65-69 years,65-69,33,57016,57.9
,1999,1999,Prostate,28010,Connecticut,09,60-64 years ,60-64,17,62088,27.4
,1999,1999,Prostate,28010,Connecticut,09,65-69 years,65-69,27,54264,49.8
,1999,1999,Prostate,28010,Florida,12,55-59 years,55-59,41,372716,11
,1999,1999,Prostate,28010,Florida,12,60-64 years ,60-64,71,336123,21.1
,1999,1999,Prostate,28010,Florida,12,65-69 years,65-69,185,341808,54.1
,1999,1999,Prostate,28010,Georgia,13,55-59 years,55-59,19,175590,10.8
,1999,1999,Prostate,28010,Georgia,13,60-64 years ,60-64,44,132764,33.1
,1999,1999,Prostate,28010,Georgia,13,65-69 years,65-69,97,106398,91.2
,1999,1999,Prostate,28010,Idaho,16,65-69 years,65-69,17,19244,88.3
,1999,1999,Prostate,28010,Illinois,17,55-59 years,55-59,22,273277,8.1
,1999,1999,Prostate,28010,Illinois,17,60-64 years ,60-64,63,218350,28.9
,1999,1999,Prostate,28010,Illinois,17,65-69 years,65-69,130,181963,71.4
,1999,1999,Prostate,28010,Indiana,18,60-64 years ,60-64,35,112219,31.2
,1999,1999,Prostate,28010,Indiana,18,65-69 years,65-69,69,93541,73.8
,1999,1999,Prostate,28010,Iowa,19,65-69 years,65-69,23,49883,46.1
,1999,1999,Prostate,28010,Kansas,20,65-69 years,65-69,25,41887,59.7
,1999,1999,Prostate,28010,Kentucky,21,60-64 years ,60-64,27,79023,34.2
,1999,1999,Prostate,28010,Kentucky,21,65-69 years,65-69,34,66397,51.2
,1999,1999,Prostate,28010,Louisiana,22,60-64 years ,60-64,30,79224,37.9
,1999,1999,Prostate,28010,Louisiana,22,65-69 years,65-69,47,66699,70.5
,1999,1999,Prostate,28010,Maine,23,65-69 years,65-69,16,23385,68.4
,1999,1999,Prostate,28010,Maryland,24,60-64 years ,60-64,25,94764,26.4
,1999,1999,Prostate,28010,Maryland,24,65-69 years,65-69,52,77182,67.4
,1999,1999,Prostate,28010,Massachusetts,25,65-69 years,65-69,49,99151,49.4
,1999,1999,Prostate,28010,Michigan,26,55-59 years,55-59,21,231980,9.1
,1999,1999,Prostate,28010,Michigan,26,60-64 years ,60-64,42,179918,23.3
,1999,1999,Prostate,28010,Michigan,26,65-69 years,65-69,99,151468,65.4
,1999,1999,Prostate,28010,Minnesota,27,60-64 years ,60-64,17,85341,19.9
,1999,1999,Prostate,28010,Minnesota,27,65-69 years,65-69,50,72297,69.2
,1999,1999,Prostate,28010,Mississippi,28,65-69 years,65-69,36,43875,82.1
,1999,1999,Prostate,28010,Missouri,29,65-69 years,65-69,67,94827,70.7
,1999,1999,Prostate,28010,Nevada,32,65-69 years,65-69,22,35298,62.3
,1999,1999,Prostate,28010,New Jersey,34,55-59 years,55-59,20,197560,10.1
,1999,1999,Prostate,28010,New Jersey,34,60-64 years ,60-64,53,154981,34.2
,1999,1999,Prostate,28010,New Jersey,34,65-69 years,65-69,91,133493,68.2
,1999,1999,Prostate,28010,New York,36,55-59 years,55-59,36,427852,8.4
,1999,1999,Prostate,28010,New York,36,60-64 years ,60-64,97,348089,27.9
,1999,1999,Prostate,28010,New York,36,65-69 years,65-69,196,297724,65.8
,1999,1999,Prostate,28010,North Carolina,37,55-59 years,55-59,25,186253,13.4
,1999,1999,Prostate,28010,North Carolina,37,60-64 years ,60-64,54,151045,35.8
,1999,1999,Prostate,28010,North Carolina,37,65-69 years,65-69,86,127922,67.2
,1999,1999,Prostate,28010,Ohio,39,55-59 years,55-59,27,262483,10.3
,1999,1999,Prostate,28010,Ohio,39,60-64 years ,60-64,57,214901,26.5
,1999,1999,Prostate,28010,Ohio,39,65-69 years,65-69,111,184581,60.1
,1999,1999,Prostate,28010,Oklahoma,40,60-64 years ,60-64,18,67896,26.5
,1999,1999,Prostate,28010,Oklahoma,40,65-69 years,65-69,30,59187,50.7
,1999,1999,Prostate,28010,Oregon,41,65-69 years,65-69,19,53212,35.7
,1999,1999,Prostate,28010,Pennsylvania,42,55-59 years,55-59,26,291773,8.9
,1999,1999,Prostate,28010,Pennsylvania,42,60-64 years ,60-64,67,241213,27.8
,1999,1999,Prostate,28010,Pennsylvania,42,65-69 years,65-69,136,220317,61.7
,1999,1999,Prostate,28010,South Carolina,45,60-64 years ,60-64,35,76901,45.5
,1999,1999,Prostate,28010,South Carolina,45,65-69 years,65-69,45,66383,67.8
,1999,1999,Prostate,28010,Tennessee,47,55-59 years,55-59,17,138604,12.3
,1999,1999,Prostate,28010,Tennessee,47,60-64 years ,60-64,30,112160,26.7
,1999,1999,Prostate,28010,Tennessee,47,65-69 years,65-69,57,92330,61.7
,1999,1999,Prostate,28010,Texas,48,55-59 years,55-59,45,419641,10.7
,1999,1999,Prostate,28010,Texas,48,60-64 years ,60-64,70,330405,21.2
,1999,1999,Prostate,28010,Texas,48,65-69 years,65-69,164,280343,58.5
,1999,1999,Prostate,28010,Utah,49,65-69 years,65-69,16,25336,63.2
,1999,1999,Prostate,28010,Virginia,51,60-64 years ,60-64,45,128728,35
,1999,1999,Prostate,28010,Virginia,51,65-69 years,65-69,76,106042,71.7
,1999,1999,Prostate,28010,Washington,53,65-69 years,65-69,45,83865,53.7
,1999,1999,Prostate,28010,West Virginia,54,65-69 years,65-69,18,34677,51.9
,1999,1999,Prostate,28010,Wisconsin,55,55-59 years,55-59,18,121146,14.9
,1999,1999,Prostate,28010,Wisconsin,55,60-64 years ,60-64,23,99083,23.2
,1999,1999,Prostate,28010,Wisconsin,55,65-69 years,65-69,38,85818,44.3
,2000,2000,Prostate,28010,Alabama,01,60-64 years ,60-64,28,89347,31.3
,2000,2000,Prostate,28010,Alabama,01,65-69 years,65-69,53,76405,69.4
,2000,2000,Prostate,28010,Arizona,04,60-64 years ,60-64,24,97795,24.5
,2000,2000,Prostate,28010,Arizona,04,65-69 years,65-69,47,90537,51.9
,2000,2000,Prostate,28010,Arkansas,05,65-69 years,65-69,26,48662,53.4
,2000,2000,Prostate,28010,California,06,55-59 years,55-59,60,716298,8.4
,2000,2000,Prostate,28010,California,06,60-64 years ,60-64,124,549353,22.6
,2000,2000,Prostate,28010,California,06,65-69 years,65-69,225,457172,49.2
,2000,2000,Prostate,28010,Colorado,08,60-64 years ,60-64,17,71412,23.8
,2000,2000,Prostate,28010,Colorado,08,65-69 years,65-69,25,57798,43.3
,2000,2000,Prostate,28010,Connecticut,09,65-69 years,65-69,26,53938,48.2
,2000,2000,Prostate,28010,Florida,12,55-59 years,55-59,45,391947,11.5
,2000,2000,Prostate,28010,Florida,12,60-64 years ,60-64,91,347291,26.2
,2000,2000,Prostate,28010,Florida,12,65-69 years,65-69,171,339204,50.4
,2000,2000,Prostate,28010,Georgia,13,55-59 years,55-59,26,184192,14.1
