Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,1999,1999,Prostate,28010,55-59 years,55-59,636,6319787,10.1
,1999,1999,Prostate,28010,60-64 years ,60-64,1310,5079476,25.8
,1999,1999,Prostate,28010,65-69 years,65-69,2711,4399510,61.6
,2000,2000,Prostate,28010,55-59 years,55-59,623,6557328,9.5
,2000,2000,Prostate,28010,60-64 years ,60-64,1306,5166923,25.3
,2000,2000,Prostate,28010,65-69 years,65-69,2466,4398477,56.1
,2001,2001,Prostate,28010,55-59 years,55-59,647,6759579,9.6
,2001,2001,Prostate,28010,60-64 years ,60-64,1260,5302150,23.8
,2001,2001,Prostate,28010,65-69 years,65-69,2379,4427615,53.7
,2002,2002,Prostate,28010,55-59 years,55-59,696,7341077,9.5
,2002,2002,Prostate,28010,60-64 years ,60-64,1324,5508597,24
,2002,2002,Prostate,28010,65-69 years,65-69,2316,4474667,51.8
,2003,2003,Prostate,28010,55-59 years,55-59,669,7672601,8.7
,2003,2003,Prostate,28010,60-64 years ,60-64,1405,5816925,24.2
,2003,2003,Prostate,28010,65-69 years,65-69,2288,4577090,50
,2004,2004,Prostate,28010,55-59 years,55-59,688,8059227,8.5
,2004,2004,Prostate,28010,60-64 years ,60-64,1356,6060330,22.4
,2004,2004,Prostate,28010,65-69 years,65-69,2196,4703011,46.7
,2005,2005,Prostate,28010,55-59 years,55-59,774,8595175,9
,2005,2005,Prostate,28010,60-64 years ,60-64,1409,6359594,22.2
,2005,2005,Prostate,28010,65-69 years,65-69,2251,4877355,46.2
,2006,2006,Prostate,28010,55-59 years,55-59,839,9027212,9.3
,2006,2006,Prostate,28010,60-64 years ,60-64,1460,6563370,22.2
,2006,2006,Prostate,28010,65-69 years,65-69,2259,5015625,45
,2007,2007,Prostate,28010,55-59 years,55-59,792,9047774,8.8
,2007,2007,Prostate,28010,60-64 years ,60-64,1505,7127320,21.1
,2007,2007,Prostate,28010,65-69 years,65-69,2316,5218868,44.4
,2008,2008,Prostate,28010,55-59 years,55-59,828,9214176,9
,2008,2008,Prostate,28010,60-64 years ,60-64,1591,7458789,21.3
,2008,2008,Prostate,28010,65-69 years,65-69,2415,5522058,43.7
,2009,2009,Prostate,28010,55-59 years,55-59,822,9436333,8.7
,2009,2009,Prostate,28010,60-64 years ,60-64,1601,7839983,20.4
,2009,2009,Prostate,28010,65-69 years,65-69,2337,5762469,40.6
,2010,2010,Prostate,28010,55-59 years,55-59,918,9696380,9.5
,2010,2010,Prostate,28010,60-64 years ,60-64,1676,8261846,20.3
,2010,2010,Prostate,28010,65-69 years,65-69,2497,5977715,41.8
,2011,2011,Prostate,28010,55-59 years,55-59,847,9952439,8.5
,2011,2011,Prostate,28010,60-64 years ,60-64,1725,8661811,19.9
,2011,2011,Prostate,28010,65-69 years,65-69,2455,6166977,39.8
,2012,2012,Prostate,28010,55-59 years,55-59,856,10233261,8.4
,2012,2012,Prostate,28010,60-64 years ,60-64,1633,8664206,18.8
,2012,2012,Prostate,28010,65-69 years,65-69,2538,6711699,37.8
,2013,2013,Prostate,28010,55-59 years,55-59,885,10470647,8.5
,2013,2013,Prostate,28010,60-64 years ,60-64,1712,8811898,19.4
,2013,2013,Prostate,28010,65-69 years,65-69,2650,7018693,37.8
,2014,2014,Prostate,28010,55-59 years,55-59,893,10650182,8.4
,2014,2014,Prostate,28010,60-64 years ,60-64,1787,9022279,19.8
,2014,2014,Prostate,28010,65-69 years,65-69,2933,7364147,39.8
,2015,2015,Prostate,28010,55-59 years,55-59,898,10827040,8.3
,2015,2015,Prostate,28010,60-64 years ,60-64,1850,9272248,20
,2015,2015,Prostate,28010,65-69 years,65-69,2861,7721535,37.1
