Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,State,State Code,Race,Race Code,Ethnicity,Ethnicity Code,Deaths,Population,Crude Rate
,1999,1999,Prostate,28010,Alabama,01,Black or African American,2054-5,Non-Hispanic,2186-5,238,536428,44.4
,1999,1999,Prostate,28010,Alabama,01,White,2106-3,Non-Hispanic,2186-5,373,1536981,24.3
,1999,1999,Prostate,28010,Arizona,04,White,2106-3,Hispanic,2135-2,33,606417,5.4
,1999,1999,Prostate,28010,Arizona,04,White,2106-3,Non-Hispanic,2186-5,442,1618970,27.3
,1999,1999,Prostate,28010,Arkansas,05,Black or African American,2054-5,Non-Hispanic,2186-5,91,198632,45.8
,1999,1999,Prostate,28010,Arkansas,05,White,2106-3,Non-Hispanic,2186-5,287,1033474,27.8
,1999,1999,Prostate,28010,California,06,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,124,1875515,6.6
,1999,1999,Prostate,28010,California,06,Black or African American,2054-5,Non-Hispanic,2186-5,335,1134641,29.5
,1999,1999,Prostate,28010,California,06,White,2106-3,Hispanic,2135-2,269,5187713,5.2
,1999,1999,Prostate,28010,California,06,White,2106-3,Non-Hispanic,2186-5,2340,8101479,28.9
,1999,1999,Prostate,28010,Colorado,08,White,2106-3,Hispanic,2135-2,23,346827,6.6
,1999,1999,Prostate,28010,Colorado,08,White,2106-3,Non-Hispanic,2186-5,326,1605601,20.3
,1999,1999,Prostate,28010,Connecticut,09,Black or African American,2054-5,Non-Hispanic,2186-5,35,147195,23.8
,1999,1999,Prostate,28010,Connecticut,09,White,2106-3,Non-Hispanic,2186-5,360,1292289,27.9
,1999,1999,Prostate,28010,Delaware,10,Black or African American,2054-5,Non-Hispanic,2186-5,26,70887,36.7
,1999,1999,Prostate,28010,Delaware,10,White,2106-3,Non-Hispanic,2186-5,66,277471,23.8
,1999,1999,Prostate,28010,District of Columbia,11,Black or African American,2054-5,Non-Hispanic,2186-5,89,157089,56.7
,1999,1999,Prostate,28010,District of Columbia,11,White,2106-3,Non-Hispanic,2186-5,21,79874,26.3
,1999,1999,Prostate,28010,Florida,12,Black or African American,2054-5,Non-Hispanic,2186-5,303,1110039,27.3
,1999,1999,Prostate,28010,Florida,12,White,2106-3,Hispanic,2135-2,160,1208086,13.2
,1999,1999,Prostate,28010,Florida,12,White,2106-3,Non-Hispanic,2186-5,1766,5141610,34.3
,1999,1999,Prostate,28010,Georgia,13,Black or African American,2054-5,Non-Hispanic,2186-5,329,1091481,30.1
,1999,1999,Prostate,28010,Georgia,13,White,2106-3,Non-Hispanic,2186-5,479,2539888,18.9
,1999,1999,Prostate,28010,Hawaii,15,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,80,407203,19.6
,1999,1999,Prostate,28010,Hawaii,15,White,2106-3,Non-Hispanic,2186-5,33,140571,23.5
,1999,1999,Prostate,28010,Idaho,16,White,2106-3,Non-Hispanic,2186-5,156,569383,27.4
,1999,1999,Prostate,28010,Illinois,17,Black or African American,2054-5,Non-Hispanic,2186-5,277,882914,31.4
,1999,1999,Prostate,28010,Illinois,17,White,2106-3,Hispanic,2135-2,20,741216,2.7
,1999,1999,Prostate,28010,Illinois,17,White,2106-3,Non-Hispanic,2186-5,1117,4165065,26.8
,1999,1999,Prostate,28010,Indiana,18,Black or African American,2054-5,Non-Hispanic,2186-5,96,247543,38.8
,1999,1999,Prostate,28010,Indiana,18,White,2106-3,Non-Hispanic,2186-5,643,2569585,25
,1999,1999,Prostate,28010,Iowa,19,White,2106-3,Non-Hispanic,2186-5,404,1335253,30.3
,1999,1999,Prostate,28010,Kansas,20,Black or African American,2054-5,Non-Hispanic,2186-5,21,80314,26.1
,1999,1999,Prostate,28010,Kansas,20,White,2106-3,Non-Hispanic,2186-5,288,1112345,25.9
,1999,1999,Prostate,28010,Kentucky,21,Black or African American,2054-5,Non-Hispanic,2186-5,39,145796,26.7
,1999,1999,Prostate,28010,Kentucky,21,White,2106-3,Non-Hispanic,2186-5,419,1768663,23.7
,1999,1999,Prostate,28010,Louisiana,22,Black or African American,2054-5,Non-Hispanic,2186-5,236,682545,34.6
,1999,1999,Prostate,28010,Louisiana,22,White,2106-3,Non-Hispanic,2186-5,306,1381745,22.1
,1999,1999,Prostate,28010,Maine,23,White,2106-3,Non-Hispanic,2186-5,146,599805,24.3
,1999,1999,Prostate,28010,Maryland,24,Black or African American,2054-5,Non-Hispanic,2186-5,189,691404,27.3
,1999,1999,Prostate,28010,Maryland,24,White,2106-3,Non-Hispanic,2186-5,384,1623349,23.7
,1999,1999,Prostate,28010,Massachusetts,25,Black or African American,2054-5,Non-Hispanic,2186-5,31,170438,18.2
,1999,1999,Prostate,28010,Massachusetts,25,White,2106-3,Non-Hispanic,2186-5,753,2541430,29.6
,1999,1999,Prostate,28010,Michigan,26,Black or African American,2054-5,Non-Hispanic,2186-5,217,679367,31.9
,1999,1999,Prostate,28010,Michigan,26,White,2106-3,Non-Hispanic,2186-5,901,3887352,23.2
,1999,1999,Prostate,28010,Minnesota,27,White,2106-3,Non-Hispanic,2186-5,548,2149920,25.5
,1999,1999,Prostate,28010,Mississippi,28,Black or African American,2054-5,Non-Hispanic,2186-5,214,483929,44.2
,1999,1999,Prostate,28010,Mississippi,28,White,2106-3,Non-Hispanic,2186-5,211,848559,24.9
,1999,1999,Prostate,28010,Missouri,29,Black or African American,2054-5,Non-Hispanic,2186-5,98,298422,32.8
,1999,1999,Prostate,28010,Missouri,29,White,2106-3,Non-Hispanic,2186-5,557,2302020,24.2
,1999,1999,Prostate,28010,Montana,30,White,2106-3,Non-Hispanic,2186-5,125,406371,30.8
,1999,1999,Prostate,28010,Nebraska,31,White,2106-3,Non-Hispanic,2186-5,184,740969,24.8
,1999,1999,Prostate,28010,Nevada,32,White,2106-3,Non-Hispanic,2186-5,177,665788,26.6
,1999,1999,Prostate,28010,New Hampshire,33,White,2106-3,Non-Hispanic,2186-5,115,576219,20
,1999,1999,Prostate,28010,New Jersey,34,Black or African American,2054-5,Non-Hispanic,2186-5,153,532310,28.7
,1999,1999,Prostate,28010,New Jersey,34,White,2106-3,Hispanic,2135-2,22,488721,4.5
,1999,1999,Prostate,28010,New Jersey,34,White,2106-3,Non-Hispanic,2186-5,781,2728658,28.6
,1999,1999,Prostate,28010,New Mexico,35,White,2106-3,Hispanic,2135-2,60,359434,16.7
,1999,1999,Prostate,28010,New Mexico,35,White,2106-3,Non-Hispanic,2186-5,128,410402,31.2
,1999,1999,Prostate,28010,New York,36,Black or African American,2054-5,Non-Hispanic,2186-5,402,1345900,29.9
,1999,1999,Prostate,28010,New York,36,White,2106-3,Hispanic,2135-2,109,1114210,9.8
,1999,1999,Prostate,28010,New York,36,White,2106-3,Non-Hispanic,2186-5,1506,5802855,26
,1999,1999,Prostate,28010,North Carolina,37,Black or African American,2054-5,Non-Hispanic,2186-5,294,814712,36.1
,1999,1999,Prostate,28010,North Carolina,37,White,2106-3,Non-Hispanic,2186-5,606,2773414,21.9
,1999,1999,Prostate,28010,North Dakota,38,White,2106-3,Non-Hispanic,2186-5,85,298869,28.4
,1999,1999,Prostate,28010,Ohio,39,Black or African American,2054-5,Non-Hispanic,2186-5,223,629381,35.4
,1999,1999,Prostate,28010,Ohio,39,White,2106-3,Non-Hispanic,2186-5,1099,4684425,23.5
,1999,1999,Prostate,28010,Oklahoma,40,Black or African American,2054-5,Non-Hispanic,2186-5,47,133884,35.1
,1999,1999,Prostate,28010,Oklahoma,40,White,2106-3,Non-Hispanic,2186-5,340,1293870,26.3
,1999,1999,Prostate,28010,Oregon,41,White,2106-3,Non-Hispanic,2186-5,434,1427935,30.4
,1999,1999,Prostate,28010,Pennsylvania,42,Black or African American,2054-5,Non-Hispanic,2186-5,228,579718,39.3
,1999,1999,Prostate,28010,Pennsylvania,42,White,2106-3,Non-Hispanic,2186-5,1482,5026483,29.5
,1999,1999,Prostate,28010,Rhode Island,44,White,2106-3,Non-Hispanic,2186-5,124,418352,29.6
,1999,1999,Prostate,28010,South Carolina,45,Black or African American,2054-5,Non-Hispanic,2186-5,237,554088,42.8
,1999,1999,Prostate,28010,South Carolina,45,White,2106-3,Non-Hispanic,2186-5,292,1301756,22.4
,1999,1999,Prostate,28010,South Dakota,46,White,2106-3,Non-Hispanic,2186-5,113,332069,34
,1999,1999,Prostate,28010,Tennessee,47,Black or African American,2054-5,Non-Hispanic,2186-5,163,438481,37.2
,1999,1999,Prostate,28010,Tennessee,47,White,2106-3,Non-Hispanic,2186-5,498,2205786,22.6
,1999,1999,Prostate,28010,Texas,48,Black or African American,2054-5,Non-Hispanic,2186-5,320,1149221,27.8
,1999,1999,Prostate,28010,Texas,48,White,2106-3,Hispanic,2135-2,218,3199094,6.8
,1999,1999,Prostate,28010,Texas,48,White,2106-3,Non-Hispanic,2186-5,1228,5443239,22.6
,1999,1999,Prostate,28010,Utah,49,White,2106-3,Non-Hispanic,2186-5,180,949995,18.9
,1999,1999,Prostate,28010,Vermont,50,White,2106-3,Non-Hispanic,2186-5,79,288181,27.4
,1999,1999,Prostate,28010,Virginia,51,Black or African American,2054-5,Non-Hispanic,2186-5,253,668170,37.9
,1999,1999,Prostate,28010,Virginia,51,White,2106-3,Non-Hispanic,2186-5,520,2461700,21.1
,1999,1999,Prostate,28010,Washington,53,Black or African American,2054-5,Non-Hispanic,2186-5,21,112355,18.7
,1999,1999,Prostate,28010,Washington,53,White,2106-3,Non-Hispanic,2186-5,562,2351873,23.9
,1999,1999,Prostate,28010,West Virginia,54,Black or African American,2054-5,Non-Hispanic,2186-5,16,29856,53.6
,1999,1999,Prostate,28010,West Virginia,54,White,2106-3,Non-Hispanic,2186-5,225,838893,26.8
,1999,1999,Prostate,28010,Wisconsin,55,Black or African American,2054-5,Non-Hispanic,2186-5,18,148438,12.1
,1999,1999,Prostate,28010,Wisconsin,55,White,2106-3,Non-Hispanic,2186-5,658,2317458,28.4
,1999,1999,Prostate,28010,Wyoming,56,White,2106-3,Non-Hispanic,2186-5,53,222828,23.8
,2000,2000,Prostate,28010,Alabama,01,Black or African American,2054-5,Non-Hispanic,2186-5,228,539443,42.3
,2000,2000,Prostate,28010,Alabama,01,White,2106-3,Non-Hispanic,2186-5,381,1537471,24.8
,2000,2000,Prostate,28010,Alaska,02,White,2106-3,Non-Hispanic,2186-5,25,230475,10.8
,2000,2000,Prostate,28010,Arizona,04,Black or African American,2054-5,Non-Hispanic,2186-5,23,87122,26.4
,2000,2000,Prostate,28010,Arizona,04,White,2106-3,Hispanic,2135-2,46,643423,7.1
,2000,2000,Prostate,28010,Arizona,04,White,2106-3,Non-Hispanic,2186-5,511,1643187,31.1
,2000,2000,Prostate,28010,Arkansas,05,Black or African American,2054-5,Non-Hispanic,2186-5,86,199667,43.1
,2000,2000,Prostate,28010,Arkansas,05,White,2106-3,Non-Hispanic,2186-5,248,1038230,23.9
