Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,1999,1999,Prostate,28010,Alabama,01,613,2136882,28.7
,1999,1999,Prostate,28010,Alaska,02,20,323513,6.2
,1999,1999,Prostate,28010,Arizona,04,498,2505524,19.9
,1999,1999,Prostate,28010,Arkansas,05,378,1292415,29.2
,1999,1999,Prostate,28010,California,06,3077,16699043,18.4
,1999,1999,Prostate,28010,Colorado,08,361,2124660,17
,1999,1999,Prostate,28010,Connecticut,09,404,1639253,24.6
,1999,1999,Prostate,28010,Delaware,10,93,376258,24.7
,1999,1999,Prostate,28010,District of Columbia,11,113,268416,42.1
,1999,1999,Prostate,28010,Florida,12,2245,7685574,29.2
,1999,1999,Prostate,28010,Georgia,13,813,3949934,20.6
,1999,1999,Prostate,28010,Hawaii,15,117,608470,19.2
,1999,1999,Prostate,28010,Idaho,16,159,638876,24.9
,1999,1999,Prostate,28010,Illinois,17,1423,6045670,23.5
,1999,1999,Prostate,28010,Indiana,18,746,2961618,25.2
,1999,1999,Prostate,28010,Iowa,19,417,1429411,29.2
,1999,1999,Prostate,28010,Kansas,20,314,1322294,23.7
,1999,1999,Prostate,28010,Kentucky,21,462,1961652,23.6
,1999,1999,Prostate,28010,Louisiana,22,551,2158067,25.5
,1999,1999,Prostate,28010,Maine,23,148,616210,24
,1999,1999,Prostate,28010,Maryland,24,580,2537581,22.9
,1999,1999,Prostate,28010,Massachusetts,25,801,3042515,26.3
,1999,1999,Prostate,28010,Michigan,26,1139,4849346,23.5
,1999,1999,Prostate,28010,Minnesota,27,567,2410550,23.5
,1999,1999,Prostate,28010,Mississippi,28,426,1363827,31.2
,1999,1999,Prostate,28010,Missouri,29,662,2701782,24.5
,1999,1999,Prostate,28010,Montana,30,129,446964,28.9
,1999,1999,Prostate,28010,Nebraska,31,188,839233,22.4
,1999,1999,Prostate,28010,Nevada,32,196,985296,19.9
,1999,1999,Prostate,28010,New Hampshire,33,119,600605,19.8
,1999,1999,Prostate,28010,New Jersey,34,966,4055321,23.8
,1999,1999,Prostate,28010,New Mexico,35,197,889421,22.1
,1999,1999,Prostate,28010,New York,36,2056,9105071,22.6
,1999,1999,Prostate,28010,North Carolina,37,911,3886651,23.4
,1999,1999,Prostate,28010,North Dakota,38,88,321642,27.4
,1999,1999,Prostate,28010,Ohio,39,1342,5500437,24.4
,1999,1999,Prostate,28010,Oklahoma,40,393,1688364,23.3
,1999,1999,Prostate,28010,Oregon,41,446,1681715,26.5
,1999,1999,Prostate,28010,Pennsylvania,42,1720,5916741,29.1
,1999,1999,Prostate,28010,Rhode Island,44,133,499678,26.6
,1999,1999,Prostate,28010,South Carolina,45,533,1929076,27.6
,1999,1999,Prostate,28010,South Dakota,46,114,371912,30.7
,1999,1999,Prostate,28010,Tennessee,47,661,2741240,24.1
,1999,1999,Prostate,28010,Texas,48,1774,10198018,17.4
,1999,1999,Prostate,28010,Utah,49,190,1103315,17.2
,1999,1999,Prostate,28010,Vermont,50,79,296285,26.7
,1999,1999,Prostate,28010,Virginia,51,787,3430491,22.9
,1999,1999,Prostate,28010,Washington,53,600,2907663,20.6
,1999,1999,Prostate,28010,West Virginia,54,241,879990,27.4
,1999,1999,Prostate,28010,Wisconsin,55,681,2631141,25.9
,1999,1999,Prostate,28010,Wyoming,56,57,247262,23.1
,2000,2000,Prostate,28010,Alabama,01,612,2149338,28.5
,2000,2000,Prostate,28010,Alaska,02,30,324750,9.2
,2000,2000,Prostate,28010,Arizona,04,601,2576007,23.3
,2000,2000,Prostate,28010,Arkansas,05,334,1307573,25.5
,2000,2000,Prostate,28010,California,06,3013,16937562,17.8
,2000,2000,Prostate,28010,Colorado,08,373,2179179,17.1
,2000,2000,Prostate,28010,Connecticut,09,383,1652459,23.2
,2000,2000,Prostate,28010,Delaware,10,64,381926,16.8
,2000,2000,Prostate,28010,District of Columbia,11,104,269403,38.6
,2000,2000,Prostate,28010,Florida,12,2270,7830201,29
,2000,2000,Prostate,28010,Georgia,13,787,4047070,19.4
,2000,2000,Prostate,28010,Hawaii,15,119,610025,19.5
,2000,2000,Prostate,28010,Idaho,16,159,651446,24.4
,2000,2000,Prostate,28010,Illinois,17,1409,6088884,23.1
