Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Deaths,Population,Crude Rate
,1999,1999,Prostate,28010,31728,136802873,23.2
,2000,2000,Prostate,28010,31078,138443407,22.4
,2001,2001,Prostate,28010,30719,139891492,22
,2002,2002,Prostate,28010,30446,141230559,21.6
,2003,2003,Prostate,28010,29554,142428897,20.8
,2004,2004,Prostate,28010,29002,143828012,20.2
,2005,2005,Prostate,28010,29415,146933913,20
,2006,2006,Prostate,28010,28889,148473223,19.5
,2007,2007,Prostate,28010,29607,149879142,19.8
,2008,2008,Prostate,28010,29003,151293292,19.2
,2009,2009,Prostate,28010,28608,152600503,18.7
,2010,2010,Prostate,28010,29099,153917623,18.9
,2011,2011,Prostate,28010,28460,155265500,18.3
,2012,2012,Prostate,28010,27756,156656109,17.7
,2013,2013,Prostate,28010,28149,157983633,17.8
,2014,2014,Prostate,28010,28855,159360124,18.1
,2015,2015,Prostate,28010,29334,160765628,18.2
,2016,2016,Prostate,28010,30856,162133616,19
,2017,2017,Prostate,28010,30960,163340937,19
,2018,2018,Prostate,28010,31960,164352515,19.4
,2019,2019,Prostate,28010,32040,165314770,19.4
,2020,2020,Prostate,28010,33182,166080174,20
,2021,2021,Prostate,28010,33043,166267240,19.9
---,,,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2021 Mortality",,,,,,,
Query Parameters:,,,,,,,
Leading Cancer Sites: Prostate,,,,,,,
Group By: Year; Leading Cancer Sites,,,,,,,
Show Totals: Disabled,,,,,,,
Show Zero Values: False,,,,,,,
Show Suppressed: False,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,
Standard Population: 2000 U.S. Std. Million,,,,,,,
---,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/CancerMort-v2021.html for more information.,,,,,,,
---,,,,,,,
"Query Date: Dec 12, 2024 5:30:28 PM",,,,,,,
---,,,,,,,
"Suggested Citation: United States Cancer Statistics - Mortality: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention; 2024. Accessed at",,,,,,,
"http://wonder.cdc.gov/CancerMort-v2021.html on Dec 12, 2024 5:30:28 PM",,,,,,,
---,,,,,,,
Caveats:,,,,,,,
1. 'Not Applicable' is displayed for all data values when sex-specific cancers are combined with the wrong sex. More,,,,,,,
information: http://wonder.cdc.gov/wonder/help/CancerMort-v2021.html#Genital Cancers List.,,,,,,,
"2. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,
misleading.,,,,,,,
"3. About rate comparisons: <ul><li> For consistency with the data on cancer incidence, the cancer sites in mortality data were",,,,,,,
"grouped according to the revised SEER recodes dated March 1, 2018 (see SEER Cause of Death Recodes:",,,,,,,
"http://seer.cancer.gov/codrecode/.). Because NCHS uses different groupings for some sites, the death rates in this report may",,,,,,,
"differ slightly from those published by NCHS. In addition, under the ICD, there are differences in mortality and incidence",,,,,,,
"coding. For example, there are several codes for mesothelioma in ICD-10 (depending on the primary site). However in ICD-O-3, one",,,,,,,
code captures all of the primary sites that mesothelioma affects. Note that Kaposi sarcoma deaths included in this dataset are,,,,,,,
"only those deaths with underlying cause of death attributed to Kaposi Sarcoma, and do not include deaths where the condition was",,,,,,,
"a contributing cause of death, or subsequent to another underlying condition. </li><li> The population used to age-adjust the",,,,,,,
"rates in this report is the 2000 U.S. standard population, which is in accordance with a 1998 recommendation of the US.",,,,,,,
Department of Health and Human Services. The 2000 U.S. standard population is based on the proportion of the 2000 population in,,,,,,,
"specific age groups (younger than 1 year, 1-4 years, 5-9 years, 10-14 years, 15-19 years, . . . 85 years or older); the",,,,,,,
proportions of the 2000 population in these age groups serve as weights for calculating age-adjusted incidence and death rates.,,,,,,,
"NCHS, however, uses a different set of age groups in its age adjustment of death rates, and thus the cancer death rates in this",,,,,,,
report may differ slightly from those published by NCHS. </li><li> Deaths of persons of unknown age are not included in this,,,,,,,
data set. Death rates may differ slightly from other reports where deaths of persons of unknown age are included. </li></ul>,,,,,,,
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,
s
