Incidence Rate Report for United States by County

"Cervix (All Stages^), 2018-2022"

"White Non-Hispanic, Female, All Ages"

Sorted by Rate

County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR) &sect; (1)",00000,N/A,7 ,6.9, 7.1,N/A , N/A , N/A,7547,falling,-1.4 ,-2.5, -0.8
"Miller County, Arkansas(2)",05091,Urban,26 ,15.1, 41.5,N/A , N/A , N/A,4,*,*,*,*
"Mayes County, Oklahoma(2)",40097,Rural,26 ,14.6, 42.6,N/A , N/A , N/A,3,*,*,*,*
"Jasper County, Texas(7)",48241,Rural,24.8 ,13.4, 41.8,N/A , N/A , N/A,3,*,*,*,*
"Polk County, Texas(7)",48373,Rural,23.6 ,13.5, 38.1,N/A , N/A , N/A,4,*,*,*,*
"Howell County, Missouri(2)",29091,Rural,21.9 ,13.4, 33.7,N/A , N/A , N/A,4,*,*,*,*
"Whitley County, Indiana(2)",18183,Urban,20.2 ,11.2, 33.3,N/A , N/A , N/A,3,*,*,*,*
"Wayne County, Indiana(2)",18177,Rural,18.9 ,12.2, 27.7,N/A , N/A , N/A,6,stable,4.2 ,-0.6, 10.2
"Wayne County, West Virginia(2)",54099,Urban,18.8 ,10.8, 30.4,N/A , N/A , N/A,4,*,*,*,*
"Jackson County, Alabama(2)",01071,Rural,17.7 ,10.7, 27.4,N/A , N/A , N/A,4,*,*,*,*
"Liberty County, Texas(7)",48291,Urban,17.3 ,10.8, 26,N/A , N/A , N/A,5,*,*,*,*
"Talladega County, Alabama(2)",01121,Rural,17 ,10.5, 26.1,N/A , N/A , N/A,5,*,*,*,*
"Greenup County, Kentucky(7)",21089,Urban,16.9 ,9.7, 27.6,N/A , N/A , N/A,4,*,*,*,*
"Jones County, Mississippi(2)",28067,Rural,16.5 ,9.4, 26.8,N/A , N/A , N/A,3,stable,4.4 ,-2.2, 12.1
"Columbia County, Florida(2)",12023,Rural,16.1 ,9.4, 25.4,N/A , N/A , N/A,4,*,*,*,*
"Howard County, Indiana(2)",18067,Urban,15.7 ,10.2, 23.1,N/A , N/A , N/A,5,rising,10.3 ,0.6, 47.0
"Richmond County, Georgia(7)",13245,Urban,15.7 ,9.8, 23.7,N/A , N/A , N/A,5,*,*,*,*
"Ashtabula County, Ohio(2)",39007,Urban,15.3 ,10.5, 21.6,N/A , N/A , N/A,7,stable,3.8 ,-0.6, 9.0
"Wichita County, Texas(7)",48485,Urban,15.2 ,10.1, 21.8,N/A , N/A , N/A,6,stable,2.4 ,-0.5, 5.8
"Whiteside County, Illinois(7)",17195,Rural,15.1 ,8.4, 24.7,N/A , N/A , N/A,3,*,*,*,*
"Pearl River County, Mississippi(2)",28109,Rural,15 ,8.6, 24.3,N/A , N/A , N/A,4,*,*,*,*
"Roanoke City, Virginia(2)",51770,Urban,14.9 ,9.3, 22.6,N/A , N/A , N/A,5,*,*,*,*
"Laurens County, South Carolina(2)",45059,Urban,14.9 ,8.3, 24.5,N/A , N/A , N/A,3,*,*,*,*
"St. Francois County, Missouri(2)",29187,Rural,14.8 ,9.1, 22.8,N/A , N/A , N/A,4,*,*,*,*
"Hood County, Texas(7)",48221,Rural,14.8 ,8.6, 23.7,N/A , N/A , N/A,4,stable,0.4 ,-2.7, 4.1
"Sumter County, Florida(2)",12119,Urban,14.7 ,7.5, 25.7,N/A , N/A , N/A,4,*,*,*,*
"Gordon County, Georgia(7)",13129,Rural,14.7 ,8.2, 24.2,N/A , N/A , N/A,3,*,*,*,*
"White County, Arkansas(2)",05145,Rural,14.6 ,9.3, 21.9,N/A , N/A , N/A,5,stable,1.7 ,-2.5, 6.4
"Elmore County, Alabama(2)",01051,Urban,14.5 ,9.1, 21.9,N/A , N/A , N/A,5,stable,4.2 ,-13.9, 33.4
"Calhoun County, Alabama(2)",01015,Urban,14.4 ,9.4, 21,N/A , N/A , N/A,6,stable,3.0 ,-2.1, 9.0
"Craighead County, Arkansas(2)",05031,Urban,14.3 ,9.5, 20.7,N/A , N/A , N/A,6,*,*,*,*
"Jasper County, Missouri(2)",29097,Urban,14.3 ,10, 19.6,N/A , N/A , N/A,8,stable,0.6 ,-3.2, 4.7
"Coryell County, Texas(7)",48099,Urban,14.1 ,8.4, 22.2,N/A , N/A , N/A,4,*,*,*,*
"Orange County, Texas(7)",48361,Urban,14 ,8.8, 21.1,N/A , N/A , N/A,5,stable,-2.2 ,-6.2, 1.3
"Cabell County, West Virginia(2)",54011,Urban,13.8 ,9.1, 20.2,N/A , N/A , N/A,6,*,*,*,*
"Sebastian County, Arkansas(2)",05131,Urban,13.8 ,9.3, 19.6,N/A , N/A , N/A,7,stable,3.0 ,-1.1, 7.8
"Marshall County, Alabama(2)",01095,Rural,13.7 ,8.9, 20.1,N/A , N/A , N/A,6,stable,1.7 ,-1.6, 5.3
"Union County, Ohio(2)",39159,Urban,13.6 ,8.3, 21.2,N/A , N/A , N/A,4,*,*,*,*
"Lincoln County, Missouri(2)",29113,Urban,13.6 ,7.9, 21.6,N/A , N/A , N/A,4,*,*,*,*
"Ector County, Texas(7)",48135,Urban,13.5 ,7.6, 21.9,N/A , N/A , N/A,3,stable,0.1 ,-3.7, 4.0
"Pike County, Kentucky(7)",21195,Rural,13.5 ,8, 21.3,N/A , N/A , N/A,4,*,*,*,*
"Hampton City, Virginia(2)",51650,Urban,13.4 ,7.6, 21.8,N/A , N/A , N/A,4,stable,1.9 ,-2.8, 6.7
"Marion County, West Virginia(2)",54049,Rural,13.3 ,7.6, 21.5,N/A , N/A , N/A,4,*,*,*,*
"Lake County, California(7)",06033,Rural,13.3 ,7, 22.8,N/A , N/A , N/A,3,*,*,*,*
"Cumberland County, Tennessee(2)",47035,Rural,13.2 ,7.2, 21.9,N/A , N/A , N/A,3,*,*,*,*
"Crawford County, Arkansas(2)",05033,Urban,13.2 ,7.6, 21.1,N/A , N/A , N/A,4,*,*,*,*
"Clarke County, Georgia(7)",13059,Urban,13.2 ,7.6, 21.1,N/A , N/A , N/A,4,*,*,*,*
"Osceola County, Florida(2)",12097,Urban,13.1 ,9.2, 18.1,N/A , N/A , N/A,8,stable,2.0 ,-1.3, 5.8
"Elkhart County, Indiana(2)",18039,Urban,13 ,9.5, 17.3,N/A , N/A , N/A,10,stable,1.8 ,-1.1, 5.0
"Citrus County, Florida(2)",12017,Urban,12.8 ,8.7, 18.1,N/A , N/A , N/A,9,stable,2.0 ,-0.5, 4.8
"Grayson County, Texas(7)",48181,Urban,12.7 ,8.5, 18.3,N/A , N/A , N/A,6,stable,0.2 ,-3.1, 3.4
"Bartow County, Georgia(7)",13015,Urban,12.7 ,8.2, 18.7,N/A , N/A , N/A,5,*,*,*,*
"Maui County, Hawaii(7)",15009,Urban,12.6 ,7.1, 21.3,N/A , N/A , N/A,4,*,*,*,*
"Lyon County, Nevada(2)",32019,Urban,12.6 ,6.6, 21.9,N/A , N/A , N/A,3,stable,0.8 ,-4.4, 6.5
"Vermilion County, Illinois(7)",17183,Rural,12.6 ,7.2, 20.3,N/A , N/A , N/A,4,stable,3.1 ,-0.7, 7.5
"Lee County, Mississippi(2)",28081,Rural,12.5 ,7.3, 20,N/A , N/A , N/A,4,stable,-0.6 ,-5.1, 3.9
"Etowah County, Alabama(2)",01055,Urban,12.4 ,7.8, 18.6,N/A , N/A , N/A,5,stable,2.3 ,-2.0, 7.1
"Henderson County, Texas(7)",48213,Rural,12.4 ,7.3, 19.7,N/A , N/A , N/A,4,stable,-1.8 ,-6.5, 2.5
"Taylor County, Texas(7)",48441,Urban,12.4 ,7.8, 18.4,N/A , N/A , N/A,5,*,*,*,*
"El Paso County, Texas(7)",48141,Urban,12.2 ,7.9, 18,N/A , N/A , N/A,6,*,*,*,*
"Kenton County, Kentucky(7)",21117,Urban,12.2 ,8.9, 16.3,N/A , N/A , N/A,10,stable,1.3 ,-1.6, 4.6
"Highlands County, Florida(2)",12055,Urban,12.1 ,6.5, 20.5,N/A , N/A , N/A,4,*,*,*,*
"Bay County, Florida(2)",12005,Urban,12.1 ,8.6, 16.5,N/A , N/A , N/A,9,stable,0.9 ,-2.9, 5.0
"Buchanan County, Missouri(2)",29021,Urban,12.1 ,7.1, 19,N/A , N/A , N/A,4,stable,1.6 ,-1.9, 5.4
"Pulaski County, Kentucky(7)",21199,Rural,12 ,7, 19.2,N/A , N/A , N/A,4,*,*,*,*
"St. Joseph County, Michigan(2)",26149,Rural,12 ,6.6, 20,N/A , N/A , N/A,3,*,*,*,*
"Creek County, Oklahoma(2)",40037,Urban,12 ,7.1, 19,N/A , N/A , N/A,4,*,*,*,*
"Allen County, Indiana(2)",18003,Urban,11.9 ,9.5, 14.8,N/A , N/A , N/A,18,stable,3.3 ,-0.2, 13.5
"Polk County, Florida(2)",12105,Urban,11.8 ,9.7, 14.3,N/A , N/A , N/A,27,falling,-1.5 ,-2.9, -0.1
"Duval County, Florida(2)",12031,Urban,11.8 ,10, 13.9,N/A , N/A , N/A,32,rising,1.6 ,0.2, 3.1
"Bullitt County, Kentucky(7)",21029,Urban,11.7 ,7.4, 17.7,N/A , N/A , N/A,5,stable,0.7 ,-3.1, 5.6
"Pitt County, North Carolina(2)",37147,Urban,11.7 ,7.5, 17.4,N/A , N/A , N/A,5,stable,1.8 ,-2.3, 6.5
"Randall County, Texas(7)",48381,Urban,11.6 ,7.8, 16.6,N/A , N/A , N/A,7,stable,2.0 ,-1.3, 6.1
"Muskingum County, Ohio(2)",39119,Rural,11.5 ,7.3, 17.3,N/A , N/A , N/A,5,*,*,*,*
"Rutland County, Vermont(2)",50021,Rural,11.5 ,6.2, 19.4,N/A , N/A , N/A,3,*,*,*,*
"Angelina County, Texas(7)",48005,Rural,11.5 ,6.6, 18.8,N/A , N/A , N/A,4,stable,0.9 ,-2.9, 5.2
"Gregg County, Texas(7)",48183,Urban,11.5 ,7, 17.8,N/A , N/A , N/A,4,stable,-0.7 ,-4.8, 3.2
"Columbiana County, Ohio(2)",39029,Rural,11.4 ,7.3, 17,N/A , N/A , N/A,6,stable,2.0 ,-1.3, 5.4
"Hardin County, Kentucky(7)",21093,Urban,11.4 ,7.3, 17,N/A , N/A , N/A,5,*,*,*,*
"Monroe County, Florida(2)",12087,Rural,11.4 ,6.1, 19.7,N/A , N/A , N/A,3,*,*,*,*
"Hernando County, Florida(2)",12053,Urban,11.4 ,7.9, 15.9,N/A , N/A , N/A,9,stable,-1.0 ,-3.5, 1.6
"Marion County, Florida(2)",12083,Urban,11.4 ,8.6, 14.7,N/A , N/A , N/A,15,stable,0.0 ,-2.8, 2.8
"Brazoria County, Texas(7)",48039,Urban,11.4 ,8.3, 15.1,N/A , N/A , N/A,10,stable,0.2 ,-3.5, 4.1
"St. Lucie County, Florida(2)",12111,Urban,11.3 ,8.3, 15.2,N/A , N/A , N/A,12,stable,0.5 ,-1.6, 2.7
"Comanche County, Oklahoma(2)",40031,Urban,11.3 ,6.7, 17.8,N/A , N/A , N/A,4,stable,4.4 ,-1.2, 11.4
"Sauk County, Wisconsin(2)",55111,Rural,11.3 ,6.5, 18.3,N/A , N/A , N/A,4,*,*,*,*
"Midland County, Texas(7)",48329,Urban,11.3 ,7.1, 17.1,N/A , N/A , N/A,5,*,*,*,*
"St. Clair County, Alabama(2)",01115,Urban,11.2 ,6.9, 17.1,N/A , N/A , N/A,5,stable,2.3 ,-2.7, 8.1
"Jackson County, Georgia(7)",13157,Rural,11.2 ,6.5, 18,N/A , N/A , N/A,3,*,*,*,*
"Walker County, Alabama(2)",01127,Urban,11.2 ,6.2, 18.4,N/A , N/A , N/A,3,stable,-0.1 ,-6.5, 6.4
"Bell County, Texas(7)",48027,Urban,11.1 ,8, 15,N/A , N/A , N/A,9,stable,-0.8 ,-3.6, 2.1
"Tazewell County, Illinois(7)",17179,Urban,11.1 ,7.7, 15.4,N/A , N/A , N/A,8,stable,1.6 ,-1.4, 5.2
"Jefferson County, Texas(7)",48245,Urban,11 ,7, 16.5,N/A , N/A , N/A,5,stable,-0.7 ,-4.8, 3.0
"Butte County, California(7)",06007,Urban,11 ,7.6, 15.4,N/A , N/A , N/A,8,stable,1.5 ,-2.3, 5.7
"Clark County, Indiana(2)",18019,Urban,10.9 ,7.2, 15.8,N/A , N/A , N/A,6,stable,-0.2 ,-3.9, 3.7
"Kaufman County, Texas(7)",48257,Urban,10.9 ,6.9, 16.4,N/A , N/A , N/A,5,stable,0.7 ,-1.9, 3.8
