age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_50_54,Alabama,1,128,44,172,68.2039280219302,59.4268721879223,76.980983855938,.,.,.
_55_59,Alabama,1,174,52,226,73.795501846634,66.803858932445,80.7871447608231,.,.,.
_60_64,Alabama,1,195,51,246,77.6776054125232,70.7371389160193,84.618071909027,.,.,.
_65_69,Alabama,1,238,47,285,83.9073837160863,78.3752102681434,89.4395571640291,.,.,.
_70_74,Alabama,1,272,60,332,79.6537018925092,74.1625402280989,85.1448635569194,.,.,.
_50_54,Alaska,2,126,64,190,69.5754517879471,61.7638737804742,77.3870297954199,.,.,.
_55_59,Alaska,2,150,86,236,64.5672162369303,53.3191163902549,75.8153160836056,.,.,.
_60_64,Alaska,2,211,92,303,71.5616939584004,64.6805759497074,78.4428119670934,.,.,.
_65_69,Alaska,2,222,110,332,67.4597859764729,60.7616825408589,74.1578894120868,.,.,.
_70_74,Alaska,2,164,76,240,70.7304165464631,62.3849343107167,79.0758987822095,.,.,.
_50_54,Arizona,4,241,109,350,75.8647250460185,69.485490873378,82.243959218659,.,.,.
_55_59,Arizona,4,254,128,382,72.1541144596138,65.6239400265649,78.6842888926626,.,.,.
_60_64,Arizona,4,373,150,523,74.7270256159712,68.9341165731202,80.5199346588221,.,.,.
_65_69,Arizona,4,403,155,558,75.0168678603079,69.4691180314301,80.5646176891858,.,.,.
_70_74,Arizona,4,421,162,583,76.0133308283487,70.3218932829764,81.7047683737211,.,.,.
_50_54,Arkansas,5,137,52,189,75.1251000956892,68.2796352842743,81.970564907104,.,.,.
_55_59,Arkansas,5,147,61,208,75.0728206605578,67.9031630627172,82.2424782583985,.,.,.
_60_64,Arkansas,5,189,78,267,74.7604565797918,68.8337700156348,80.6871431439488,.,.,.
_65_69,Arkansas,5,218,75,293,74.0519370066925,67.521792681066,80.5820813323191,.,.,.
_70_74,Arkansas,5,251,78,329,75.8219922599584,70.0984110033172,81.5455735165996,.,.,.
_50_54,California,6,249,96,345,72.7586364132276,66.5880101118617,78.9292627145936,.,.,.
_55_59,California,6,283,89,372,75.4715003035749,68.3215607733367,82.6214398338131,.,.,.
_60_64,California,6,293,86,379,76.9671248730149,70.5743463071384,83.3599034388914,.,.,.
_65_69,California,6,331,75,406,80.1882579346343,74.2360687535886,86.14044711568,.,.,.
_70_74,California,6,316,73,389,78.0839660807415,71.2809014819327,84.8870306795504,.,.,.
_50_54,Colorado,8,248,113,361,67.0593138101902,61.2279292188097,72.8906984015707,.,.,.
_55_59,Colorado,8,231,109,340,68.1105676031351,61.99772162326,74.2234135830102,.,.,.
_60_64,Colorado,8,310,132,442,70.6599918132969,65.1174029804079,76.2025806461859,.,.,.
_65_69,Colorado,8,289,96,385,78.6425635864473,74.1862508305544,83.0988763423401,.,.,.
_70_74,Colorado,8,254,76,330,72.7654478511238,63.9599245117532,81.5709711904944,.,.,.
_50_54,Connecticut,9,308,98,406,76.4696765932633,70.6292613383895,82.3100918481372,.,.,.
_55_59,Connecticut,9,339,74,413,80.7823868955515,75.0266616529067,86.5381121381964,.,.,.
_60_64,Connecticut,9,442,107,549,80.8942465914192,75.5550307488969,86.2334624339416,.,.,.
_65_69,Connecticut,9,419,73,492,89.5265548017722,86.2022724113675,92.850837192177,.,.,.
_70_74,Connecticut,9,271,64,335,79.9063689737358,72.5864574371135,87.2262805103581,.,.,.
_50_54,Delaware,10,121,44,165,75.5746410633612,67.858128152701,83.2911539740214,.,.,.
_55_59,Delaware,10,139,37,176,80.9039159984685,73.9184178676958,87.8894141292412,.,.,.
_60_64,Delaware,10,171,47,218,81.7519533877749,75.4203064042446,88.0836003713052,.,.,.
_65_69,Delaware,10,225,51,276,78.7072494393899,71.8069265545138,85.607572324266,.,.,.
_70_74,Delaware,10,166,42,208,81.6033100253028,75.2014045751783,88.0052154754274,.,.,.
_50_54,"District of Columbia",11,92,25,117,74.8887091161633,62.7681587458435,87.0092594864831,.,.,.
_55_59,"District of Columbia",11,91,21,112,79.4996951719477,69.5908299509417,89.4085603929537,.,.,.
_60_64,"District of Columbia",11,96,29,125,80.7359755484524,72.7989729544516,88.6729781424533,.,.,.
_65_69,"District of Columbia",11,109,31,140,76.2205470885482,67.1460336344501,85.2950605426462,.,.,.
_70_74,"District of Columbia",11,124,42,166,75.6912147297666,67.9023843604494,83.4800450990839,.,.,.
_50_54,Florida,12,323,133,456,76.6747036796057,69.9581409235353,83.3912664356762,.,.,.
_55_59,Florida,12,386,150,536,70.6673843428709,61.1752918968117,80.1594767889302,.,.,.
_60_64,Florida,12,528,171,699,80.2599505714055,74.7210886336816,85.7988125091293,.,.,.
_65_69,Florida,12,580,153,733,78.0877002712465,73.0828301992134,83.0925703432796,.,.,.
_70_74,Florida,12,606,149,755,82.0325452887061,76.3138237316185,87.7512668457937,.,.,.
_50_54,Georgia,13,249,95,344,70.9650160859212,64.7055788549759,77.2244533168665,.,.,.
_55_59,Georgia,13,261,104,365,72.8485908315747,65.6679133567419,80.0292683064076,.,.,.
_60_64,Georgia,13,355,105,460,79.2540855654891,74.2671333157921,84.241037815186,.,.,.
_65_69,Georgia,13,416,107,523,79.3255905007069,74.6020667335049,84.049114267909,.,.,.
_70_74,Georgia,13,423,86,509,80.6954695984843,75.688677451064,85.7022617459045,.,.,.
_50_54,Hawaii,15,198,60,258,75.5012151239722,68.0771560758491,82.9252741720954,.,.,.
_55_59,Hawaii,15,213,70,283,74.4718450600742,66.2472254750234,82.6964646451249,.,.,.
_60_64,Hawaii,15,308,75,383,82.7137656150466,77.5772067920348,87.8503244380583,.,.,.
_65_69,Hawaii,15,320,82,402,78.8618366575567,72.9996777442203,84.7239955708932,.,.,.
_70_74,Hawaii,15,376,100,476,79.8212265948389,74.8702626984268,84.7721904912511,.,.,.
_50_54,Idaho,16,170,90,260,64.948479705936,58.2080990834483,71.6888603284237,.,.,.
_55_59,Idaho,16,167,76,243,65.2850995050346,57.8610647652639,72.7091342448053,.,.,.
_60_64,Idaho,16,224,79,303,73.2914688710648,67.3594890269392,79.2234487151904,.,.,.
_65_69,Idaho,16,189,91,280,69.2461158474207,62.9193825295678,75.5728491652735,.,.,.
_70_74,Idaho,16,183,83,266,68.5957852751268,62.326621950942,74.8649485993116,.,.,.
_50_54,Illinois,17,110,44,154,72.3717296181158,63.4874677056779,81.2559915305537,.,.,.
_55_59,Illinois,17,113,45,158,72.5239759100237,64.7365117885389,80.3114400315086,.,.,.
_60_64,Illinois,17,131,48,179,67.1581595741726,56.7177592540529,77.5985598942923,.,.,.
_65_69,Illinois,17,131,34,165,79.5218340387554,70.893485880959,88.1501821965517,.,.,.
_70_74,Illinois,17,107,36,143,73.7505306849055,63.8444324587651,83.6566289110459,.,.,.
_50_54,Indiana,18,286,113,399,73.3579960939015,68.6354690708167,78.0805231169863,.,.,.
_55_59,Indiana,18,291,102,393,76.8987207549207,72.5086398572054,81.2888016526359,.,.,.
_60_64,Indiana,18,424,111,535,77.8672626028638,73.6502948673226,82.084230338405,.,.,.
_65_69,Indiana,18,454,88,542,83.3666016597236,79.1632171119621,87.5699862074852,.,.,.
_70_74,Indiana,18,410,102,512,79.0846050218156,74.2756496679418,83.8935603756895,.,.,.
