education_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Did not graduate High School",Alabama,1,67,32,99,60.2869796825469,47.3629230298281,73.2110363352657,60.218398798552,43.72139745841,76.7154001386941
"Graduated High School",Alabama,1,273,76,349,75.696951990041,69.8790388442649,81.5148651358171,75.6666015399025,67.3577945170746,83.9754085627304
"Attended College or Technical School",Alabama,1,335,96,431,75.9146321475337,70.7053922680915,81.123872026976,76.0803991889902,67.8365513663011,84.3242470116794
"Graduated from College or Technical
School",Alabama,1,332,50,382,86.7083122778773,82.299640613156,91.1169839425987,87.724813566569,81.6827486959816,93.7668784371565
"Don’t know/Not sure/Missing",Alabama,1,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Alaska,2,23,19,42,53.8087669951971,33.3928707575233,74.224663232871,60.367703994524,35.253029869485,85.4823781195629
"Graduated High School",Alaska,2,175,97,272,65.4053074159564,57.9359174076338,72.8746974242791,64.6934821544335,52.5325038847719,76.8544604240951
"Attended College or Technical School",Alaska,2,279,127,406,70.0852473614299,64.2584708511102,75.9120238717495,69.7510967654916,60.5373279433015,78.9648655876817
"Graduated from College or Technical
School",Alaska,2,394,184,578,72.4266742587424,67.9116764999699,76.9416720175149,72.0702334070808,64.7359801961378,79.4044866180238
"Don’t know/Not sure/Missing",Alaska,2,2,1,3,.,.,.,.,.,.
"Did not graduate High School",Arizona,4,104,56,160,71.0084150004532,62.12409207966,79.8927379212464,71.9802419520953,58.130600826754,85.8298830774366
"Graduated High School",Arizona,4,281,131,412,75.1569638538698,68.6932800759395,81.6206476318001,75.023308213751,64.7423793780522,85.3042370494497
"Attended College or Technical School",Arizona,4,561,270,831,71.8072074063788,67.2330155252221,76.3813992875355,71.765405176236,64.1870564600702,79.3437538924017
"Graduated from College or Technical
School",Arizona,4,742,244,986,80.2660703508457,76.6326590688384,83.8994816328529,80.1223393729834,74.2511837905964,85.9934949553704
"Don’t know/Not sure/Missing",Arizona,4,4,3,7,66.8493911652122,26.0460390654313,100,64.4820330346539,62.1171835150736,66.8468825542342
"Did not graduate High School",Arkansas,5,59,25,84,77.0886842741565,66.6996989778334,87.4776695704796,80.1097209545557,68.2211517571652,91.9982901519462
