age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_21_24,Alabama,1,10,40,50,18.8251959275696,7.68375063819051,29.9666412169486,.,.,.
_25_29,Alabama,1,43,44,87,47.0954301032139,31.9734568671769,62.217403339251,.,.,.
_30_34,Alabama,1,49,58,107,37.7369172605725,26.1800219340336,49.2938125871114,.,.,.
_35_39,Alabama,1,81,67,148,51.8673974324663,42.4406378374978,61.2941570274349,.,.,.
_40_44,Alabama,1,81,50,131,56.8014538664223,45.0924182234053,68.5104895094394,.,.,.
_45_49,Alabama,1,64,63,127,52.478995565519,40.4755923069465,64.4823988240915,.,.,.
_50_54,Alabama,1,82,84,166,44.099595679644,35.3720891172721,52.8271022420159,.,.,.
_55_59,Alabama,1,90,110,200,43.1762072425065,34.8137714850414,51.5386429999716,.,.,.
_60_65,Alabama,1,130,164,294,42.7546418076875,35.9126063474974,49.5966772678777,.,.,.
_21_24,Alaska,2,28,60,88,36.1061294621922,23.0491727514915,49.1630861728929,.,.,.
_25_29,Alaska,2,46,65,111,38.0598147795855,26.942420797254,49.177208761917,.,.,.
_30_34,Alaska,2,79,85,164,49.9928837094733,41.1060054051048,58.8797620138417,.,.,.
_35_39,Alaska,2,79,85,164,44.0003836001127,34.1199421237414,53.8808250764839,.,.,.
_40_44,Alaska,2,85,78,163,52.0151126189457,42.3738115632589,61.6564136746324,.,.,.
_45_49,Alaska,2,75,72,147,53.6826098549131,44.5551864815396,62.8100332282866,.,.,.
_50_54,Alaska,2,73,98,171,40.879858503551,31.5156864690397,50.2440305380622,.,.,.
_55_59,Alaska,2,92,126,218,36.1290738828985,26.5702370489595,45.6879107168375,.,.,.
_60_65,Alaska,2,140,203,343,39.4498439861296,32.0995012458721,46.8001867263872,.,.,.
_21_24,Arizona,4,22,95,117,15.872461296532,8.04400453254401,23.70091806052,.,.,.
_25_29,Arizona,4,51,108,159,27.9685653488489,18.4207878653285,37.5163428323693,.,.,.
_30_34,Arizona,4,85,123,208,39.9353609978852,30.1450179389845,49.7257040567859,.,.,.
_35_39,Arizona,4,94,140,234,41.0194527434656,31.5556622939708,50.4832431929604,.,.,.
_40_44,Arizona,4,119,127,246,50.2550956490554,40.9017894920384,59.6084018060724,.,.,.
_45_49,Arizona,4,123,131,254,45.9126469854304,36.6287467713219,55.196547199539,.,.,.
_50_54,Arizona,4,141,176,317,50.917918623553,42.7693948310322,59.0664424160738,.,.,.
