education_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Did not graduate High School",Alabama,1,24,64,88,21.9291302867715,12.7432708473761,31.114989726167,20.8634272965021,12.4778996902183,29.2489549027858
"Graduated High School",Alabama,1,109,208,317,33.2029033137368,26.7280205298655,39.6777860976082,36.8096776625051,20.9678460490188,52.6515092759913
"Attended College or Technical School",Alabama,1,204,230,434,46.3181078042077,40.4643061599898,52.1719094484256,45.8346233601789,30.2307111612855,61.4385355590723
"Graduated from College or Technical
School",Alabama,1,293,178,471,61.5189116392827,56.2664756368304,66.7713476417349,57.5072956536494,42.8765680961733,72.1380232111256
"Don’t know/Not sure/Missing",Alabama,1,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Alaska,2,15,40,55,27.8165184297703,13.5695134737758,42.0635233857648,.,.,.
"Graduated High School",Alaska,2,104,232,336,34.5952637581757,27.8575923163053,41.3329352000461,35.7664449126185,20.9523088238428,50.5805810013941
"Attended College or Technical School",Alaska,2,183,261,444,40.8102668444466,34.9409856311653,46.6795480577278,41.4480920863003,24.1678657381333,58.7283184344674
"Graduated from College or Technical
School",Alaska,2,395,335,730,55.3365314789172,50.5270030021731,60.1460599556612,54.6896346815848,40.757551502835,68.6217178603346
"Don’t know/Not sure/Missing",Alaska,2,0,4,4,.,.,.,.,.,.
"Did not graduate High School",Arizona,4,63,113,176,31.1642433478543,21.3380764314801,40.9904102642286,.,.,.
"Graduated High School",Arizona,4,145,309,454,35.0267363818451,28.2478041432411,41.8056686204491,32.8348624002412,18.1965140134632,47.4732107870191
"Attended College or Technical School",Arizona,4,299,524,823,40.038265764759,34.8380090079213,45.2385225215968,40.9431234092557,25.1245288054579,56.7617180130535
"Graduated from College or Technical
School",Arizona,4,494,520,1014,48.1999312033432,43.4807707227681,52.9190916839182,44.3794811819528,31.3396421973242,57.4193201665814
"Don’t know/Not sure/Missing",Arizona,4,0,8,8,.,.,.,.,.,.
"Did not graduate High School",Arkansas,5,16,48,64,27.7340406919095,13.573327108803,41.894754275016,.,.,.
"Graduated High School",Arkansas,5,108,251,359,34.3635216415706,28.0998274540751,40.6272158290662,34.9776010626863,18.428919765336,51.5262823600366
"Attended College or Technical School",Arkansas,5,147,219,366,37.6805002741277,31.7097218220093,43.6512787262461,36.1195900249986,21.2435256844196,50.9956543655775
"Graduated from College or Technical
School",Arkansas,5,240,254,494,47.565022623038,42.1851147776519,52.9449304684242,52.6830596682451,38.2592986481142,67.1068206883759
"Don’t know/Not sure/Missing",Arkansas,5,2,1,3,86.6455028240945,57.6657123161951,100,.,.,.
"Did not graduate High School",California,6,70,131,201,33.4932617604623,25.4471016375434,41.5394218833812,.,.,.
"Graduated High School",California,6,148,276,424,32.8922126089766,26.8932259045195,38.8911993134338,35.7902197670705,23.5403903365898,48.0400491975512
"Attended College or Technical School",California,6,305,366,671,45.5161218792343,40.4422008242604,50.5900429342082,40.7439625751889,27.4921767172235,53.9957484331543
"Graduated from College or Technical
School",California,6,828,652,1480,53.0241413343966,49.3142454215569,56.7340372472363,53.3338680645361,43.5608559177603,63.1068802113119
"Don’t know/Not sure/Missing",California,6,3,2,5,.,.,.,.,.,.
"Did not graduate High School",Colorado,8,45,108,153,33.1825075470294,23.8660733474813,42.4989417465775,37.4124768411561,22.8134352601897,52.0115184221225
"Graduated High School",Colorado,8,158,292,450,37.4087779089354,33.0022094292749,41.8153463885958,35.0821016619707,22.5273233946311,47.6368799293102
"Attended College or Technical School",Colorado,8,309,357,666,45.8727798662643,41.5026683249547,50.2428914075739,47.3779065478851,35.863542543983,58.8922705517873
"Graduated from College or Technical
School",Colorado,8,882,654,1536,57.1470284344183,54.2239880888916,60.070068779945,55.0765319332688,44.9098378760664,65.2432259904713
"Don’t know/Not sure/Missing",Colorado,8,2,4,6,.,.,.,.,.,.
"Did not graduate High School",Connecticut,9,49,89,138,31.6402339023244,22.6553235438622,40.6251442607865,.,.,.
