income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Less than $15,000",Alabama,1,31,67,98,24.818586371934,13.0959336746547,36.5412390692133,.,.,.
"$15,000 to < $25,000",Alabama,1,55,104,159,31.441088005798,22.4381081831179,40.4440678284782,33.381567566502,15.4824787792926,51.2806563537114
"$25,000 to < $35,000",Alabama,1,51,95,146,35.0139418798939,25.4299897964046,44.5978939633831,.,.,.
"$35,000 to < $50,000",Alabama,1,68,86,154,43.0624151655363,33.1666857997368,52.9581445313358,41.4532899418325,21.6725889292296,61.2339909544354
"$50,000 to < $75,000",Alabama,1,103,77,180,53.907460620303,44.6322084608959,63.1827127797101,57.599276648071,40.6554166745441,74.543136621598
"$75,000 to < $100,000",Alabama,1,81,45,126,59.9180011795224,48.3082240649787,71.5277782940661,72.2216808959642,54.5797944726407,89.8635673192878
"$100,000 to < $200,000",Alabama,1,124,70,194,58.1331160131394,48.9316881992226,67.3345438270562,62.1180346131716,49.016941766331,75.2191274600122
"$200,000 or more",Alabama,1,36,17,53,58.6662426643706,40.3792870250968,76.9531983036444,66.4413428798369,43.9102778732329,88.9724078864408
"Don’t know/Not sure/Missing",Alabama,1,81,119,200,36.4428930263772,27.1727715152744,45.71301453748,36.9730039789915,16.2677360354584,57.6782719225245
"Less than $15,000",Alaska,2,15,53,68,.,.,.,.,.,.
"$15,000 to < $25,000",Alaska,2,27,79,106,24.6546371773666,14.0377207212094,35.2715536335237,28.2476213263388,13.1888892029757,43.306353449702
"$25,000 to < $35,000",Alaska,2,38,80,118,30.3670207436677,20.1843962964618,40.5496451908736,.,.,.
"$35,000 to < $50,000",Alaska,2,67,98,165,47.6163849597412,37.1454366819056,58.0873332375767,50.0465976374095,27.5160604905398,72.5771347842793
"$50,000 to < $75,000",Alaska,2,105,123,228,40.9027516846604,32.5257933287372,49.2797100405837,43.674609535592,24.5734300409641,62.77578903022
"$75,000 to < $100,000",Alaska,2,106,119,225,48.8934545098709,40.5604699123869,57.2264391073549,46.9717854156293,24.830548928105,69.1130219031536
"$100,000 to < $200,000",Alaska,2,212,149,361,57.2015493211025,50.2761090968989,64.1269895453061,54.9191870689613,32.5570076113794,77.2813665265432
