insurance_status,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Have some form of insurance",Alabama,1,596,582,1178,47.985538574257,44.3299748914915,51.6411022570225,48.0261017795476,37.7793106365974,58.2728929224979
"Do not have some form of health
insurance",Alabama,1,28,86,114,15.5160326695566,9.35317870677936,21.6788866323339,19.5493563253052,9.39381434021077,29.7048983103996
"Don´t know, refused or missing
insurance response",Alabama,1,6,12,18,26.2311010494707,11.0731585050917,41.3890435938496,.,.,.
"Have some form of insurance",Alaska,2,658,756,1414,45.3365461787514,41.8698626186047,48.8032297388982,45.7450092708306,34.8093235625116,56.6806949791496
"Do not have some form of health
insurance",Alaska,2,26,84,110,22.9856680167688,13.0122323385244,32.9591036950133,.,.,.
"Don´t know, refused or missing
insurance response",Alaska,2,13,32,45,.,.,.,.,.,.
"Have some form of insurance",Arizona,4,923,1270,2193,42.3899984952838,39.1647436763069,45.6152533142607,41.2906240514952,31.2763052233372,51.3049428796531
"Do not have some form of health
insurance",Arizona,4,62,159,221,29.9474945841643,20.4564174309511,39.4385717373775,44.4563649611266,26.4392034853948,62.4735264368584
"Don´t know, refused or missing
insurance response",Arizona,4,16,45,61,23.3132966039172,9.8223871276661,36.8042060801684,.,.,.
"Have some form of insurance",Arkansas,5,478,682,1160,40.0828672657942,36.5791697142755,43.586564817313,39.2139930539336,29.6304508205845,48.7975352872827
"Do not have some form of health
insurance",Arkansas,5,20,61,81,24.6048767194055,11.3722238191506,37.8375296196605,.,.,.
"Don´t know, refused or missing
insurance response",Arkansas,5,15,30,45,34.7792283405393,16.7472694879039,52.8111871931746,34.4419074519978,20.8696183393065,48.0141965646891
"Have some form of insurance",California,6,1290,1282,2572,45.8353826779239,43.0534256805091,48.6173396753387,43.5204816569191,35.0697306695671,51.9712326442711
"Do not have some form of health
insurance",California,6,44,102,146,29.1816076130198,20.1562367926608,38.2069784333789,.,.,.
"Don´t know, refused or missing
insurance response",California,6,20,43,63,21.7344687252339,10.3060357763085,33.1629016741594,.,.,.
"Have some form of insurance",Colorado,8,1313,1219,2532,50.7512045723741,48.3782835352134,53.1241256095349,49.3089580082092,41.7577434200676,56.8601725963509
"Do not have some form of health
insurance",Colorado,8,65,154,219,28.253669097267,20.9047255747581,35.6026126197758,31.8921288927815,19.2000304592771,44.584227326286
"Don´t know, refused or missing
insurance response",Colorado,8,18,42,60,28.0375385154994,14.2725921445041,41.8024848864947,.,.,.
"Have some form of insurance",Connecticut,9,1450,1052,2502,55.5617819599657,52.6969077607458,58.4266561591856,54.6258788656482,46.4399946055254,62.811763125771
"Do not have some form of health
insurance",Connecticut,9,42,91,133,26.0748288977619,16.7153915188581,35.4342662766658,.,.,.
"Don´t know, refused or missing
insurance response",Connecticut,9,33,52,85,26.7118492620043,17.7982997062357,35.625398817773,30.7023823058049,14.3390981930464,47.0656664185635
"Have some form of insurance",Delaware,10,514,493,1007,49.0142345074071,44.7262121984406,53.3022568163736,47.8234568699879,35.4681200961398,60.178793643836
"Do not have some form of health
insurance",Delaware,10,24,58,82,22.6278034291946,11.1604782956137,34.0951285627755,.,.,.
"Don´t know, refused or missing
insurance response",Delaware,10,11,11,22,.,.,.,.,.,.
"Have some form of insurance","District of
Columbia",11,528,411,939,52.6439186746118,48.6459116788336,56.64192567039,53.9687092201598,40.6715074322518,67.2659110080679
"Do not have some form of health
insurance","District of
Columbia",11,4,15,19,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response","District of
Columbia",11,6,21,27,.,.,.,.,.,.
"Have some form of insurance",Florida,12,1354,1430,2784,48.0541213568241,44.334632143514,51.7736105701343,46.8860856602514,39.1451738503994,54.6269974701034
"Do not have some form of health
insurance",Florida,12,90,234,324,23.7955374489985,16.5663160908866,31.0247588071103,26.4523773639467,13.5466888614223,39.3580658664712
"Don´t know, refused or missing
insurance response",Florida,12,33,55,88,30.2159753462023,15.9639569030305,44.467993789374,42.071440414136,32.1511526053426,51.9917282229295
"Have some form of insurance",Georgia,13,1066,1009,2075,50.6180292042641,47.5490880437476,53.6869703647805,48.2699722027987,40.465867077933,56.0740773276643
"Do not have some form of health
insurance",Georgia,13,63,198,261,23.2766679726995,16.3877163078604,30.1656196375386,25.8919157602816,10.9748631133392,40.808968407224
"Don´t know, refused or missing
insurance response",Georgia,13,28,45,73,32.4849592829657,14.4370742064037,50.5328443595278,38.3059123923369,27.2337464408849,49.3780783437889
"Have some form of insurance",Hawaii,15,960,1135,2095,44.7720560471318,41.9286415493642,47.6154705448995,44.7718947588984,35.9542584871563,53.5895310306405
"Do not have some form of health
insurance",Hawaii,15,11,35,46,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Hawaii,15,8,12,20,53.5206407490078,22.0788256393455,84.96245585867,.,.,.
"Have some form of insurance",Idaho,16,768,913,1681,42.2520151397494,39.4108356927962,45.0931945867025,40.9432801845409,32.8162638723453,49.0702964967365
"Do not have some form of health
insurance",Idaho,16,27,110,137,23.3109590256855,13.4405803384912,33.1813377128799,.,.,.
"Don´t know, refused or missing
insurance response",Idaho,16,9,31,40,.,.,.,.,.,.
"Have some form of insurance",Illinois,17,531,582,1113,44.9685948170963,41.187701991721,48.7494876424716,43.8756049387323,30.6465528496602,57.1046570278044
"Do not have some form of health
insurance",Illinois,17,35,97,132,22.8698614597909,14.130997329385,31.6087255901968,39.2604384051513,25.3432953723187,53.177581437984
"Don´t know, refused or missing
insurance response",Illinois,17,7,18,25,.,.,.,.,.,.
"Have some form of insurance",Indiana,18,1225,1291,2516,45.6226357288487,43.3159649329305,47.9293065247669,43.3874062110982,36.8193642734831,49.9554481487133
"Do not have some form of health
insurance",Indiana,18,37,103,140,26.9711865656963,18.386944817411,35.5554283139817,27.724219591284,12.4909555001971,42.9574836823708
"Don´t know, refused or missing
insurance response",Indiana,18,45,64,109,39.2920891106072,28.4538974858489,50.1302807353655,43.4636080492978,22.575488065616,64.3517280329796
"Have some form of insurance",Iowa,19,1029,1131,2160,48.6424580582006,45.9653455974741,51.3195705189272,46.0159095588639,38.3897756878929,53.642043429835
"Do not have some form of health
insurance",Iowa,19,44,111,155,25.7750566331111,16.1005106905881,35.4496025756341,.,.,.
"Don´t know, refused or missing
insurance response",Iowa,19,17,32,49,31.9321800491326,16.5113492830035,47.3530108152616,42.3542727611158,18.6949591706442,66.0135863515875
"Have some form of insurance",Kansas,20,1237,1328,2565,47.8234514752385,45.2973065447507,50.3495964057262,45.4523125945517,38.617162356203,52.2874628329004
"Do not have some form of health
insurance",Kansas,20,57,164,221,24.056754923876,16.4815550717011,31.631954776051,.,.,.
"Don´t know, refused or missing
insurance response",Kansas,20,28,25,53,42.065924109398,19.1893230316075,64.9425251871886,63.9303237850662,52.1918477816955,75.6687997884368
"Have some form of insurance",Kentucky,21,538,633,1171,44.2246578249306,40.3550479104611,48.0942677394001,44.0170755912478,34.3215889058598,53.7125622766357
"Do not have some form of health
insurance",Kentucky,21,7,32,39,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Kentucky,21,6,13,19,.,.,.,.,.,.
"Have some form of insurance",Louisiana,22,702,707,1409,48.681895128016,45.4464307948648,51.9173594611671,47.5198960116106,38.6025469385714,56.4372450846497
"Do not have some form of health
insurance",Louisiana,22,19,51,70,23.3786780202677,12.3558544596519,34.4015015808836,25.002756303772,12.9803540748541,37.0251585326899
"Don´t know, refused or missing
insurance response",Louisiana,22,18,22,40,39.3694671999405,23.0639195622782,55.6750148376029,42.3184687433277,24.3400272880603,60.296910198595
"Have some form of insurance",Maine,23,1429,1194,2623,54.9383273865339,52.1621200646157,57.7145347084521,54.470881282536,46.7775765281329,62.164186036939
"Do not have some form of health
insurance",Maine,23,39,81,120,30.1138655663276,20.4157249668089,39.8120061658463,32.5970342995085,21.5413221401876,43.6527464588295
"Don´t know, refused or missing
insurance response",Maine,23,11,24,35,24.379672013669,12.6137591775711,36.1455848497669,36.5799642726829,33.8304818244804,39.3294467208854
"Have some form of insurance",Maryland,24,2185,2010,4195,50.2849899729147,47.9621255107611,52.6078544350683,47.5924531365764,40.2883887327128,54.8965175404401
"Do not have some form of health
insurance",Maryland,24,61,226,287,18.3115307315697,12.4548056495299,24.1682558136096,32.4929581499237,19.9868150442783,44.999101255569
"Don´t know, refused or missing
insurance response",Maryland,24,36,76,112,38.7823547526442,22.3196918098898,55.2450176953985,.,.,.
"Have some form of insurance",Massachusetts,25,1718,1381,3099,52.5065092803458,50.208081573857,54.8049369868345,50.4542432218943,43.4974622804006,57.4110241633879
"Do not have some form of health
insurance",Massachusetts,25,16,39,55,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Massachusetts,25,20,48,68,31.2650488958149,18.4650870233809,44.0650107682489,44.3675051468253,25.5723803625744,63.1626299310761
"Have some form of insurance",Michigan,26,1258,1144,2402,49.6487307939588,47.1436056436139,52.1538559443037,47.9789516182999,41.0447914132169,54.9131118233829
"Do not have some form of health
insurance",Michigan,26,14,53,67,29.8273368141187,17.5291937788162,42.1254798494211,.,.,.
"Don´t know, refused or missing
insurance response",Michigan,26,26,56,82,21.3089060354362,11.6820517547625,30.9357603161098,.,.,.
"Have some form of insurance",Minnesota,27,2188,2217,4405,45.7304444626555,43.7830732566669,47.6778156686441,42.5710420286134,36.8158656689336,48.3262183882932
"Do not have some form of health
insurance",Minnesota,27,46,132,178,19.6051725893221,13.3276819033181,25.8826632753262,.,.,.
"Don´t know, refused or missing
insurance response",Minnesota,27,41,62,103,38.4784815910553,26.1726286630422,50.7843345190685,39.5812911246794,17.6455624129422,61.5170198364165
"Have some form of insurance",Mississippi,28,524,717,1241,41.7228361723799,38.2669695993415,45.1787027454184,38.2820679988417,30.2885747259789,46.2755612717044
"Do not have some form of health
insurance",Mississippi,28,28,105,133,18.2114229153964,11.1130556643508,25.3097901664419,.,.,.
"Don´t know, refused or missing
insurance response",Mississippi,28,14,34,48,.,.,.,.,.,.
"Have some form of insurance",Missouri,29,891,1018,1909,45.748717633305,42.7908917095715,48.7065435570386,45.1379936807378,36.4850557223822,53.7909316390933
"Do not have some form of health
insurance",Missouri,29,52,127,179,30.5077111441797,22.6260274186698,38.3893948696896,29.1221741926103,14.659239260566,43.5851091246545
"Don´t know, refused or missing
insurance response",Missouri,29,13,26,39,37.6498101119604,24.2571725409907,51.0424476829301,49.1002725931934,41.6495635180345,56.5509816683523
"Have some form of insurance",Montana,30,781,771,1552,49.6997257060153,46.7009283113459,52.6985231006846,47.6431476368461,39.346796457157,55.9394988165352
"Do not have some form of health
insurance",Montana,30,31,63,94,23.5683184888574,14.253311054978,32.8833259227368,35.4639956161007,21.6980208035667,49.2299704286348
"Don´t know, refused or missing
insurance response",Montana,30,10,19,29,26.7908882132808,9.75998115363345,43.8217952729282,46.4028592406094,29.2683660810937,63.5373524001251
"Have some form of insurance",Nebraska,31,806,952,1758,46.5770949591384,43.4546647431722,49.6995251751047,47.0418863146149,38.8081426729895,55.2756299562403
"Do not have some form of health
insurance",Nebraska,31,36,124,160,26.8232119479853,16.8985925659693,36.7478313300012,.,.,.
"Don´t know, refused or missing
insurance response",Nebraska,31,13,36,49,20.9190298530878,9.51427168086888,32.3237880253068,37.8717023002602,37.0562589908603,38.6871456096601
"Have some form of insurance",Nevada,32,327,424,751,41.7116266525675,36.3888946512059,47.0343586539291,40.4379942758229,26.8719534216272,54.0040351300186
"Do not have some form of health
insurance",Nevada,32,24,78,102,22.8531359770138,12.7990644162124,32.9072075378152,.,.,.
"Don´t know, refused or missing
insurance response",Nevada,32,7,8,15,.,.,.,.,.,.
"Have some form of insurance","New Hampshire",33,758,644,1402,51.42811457041,47.8628099742229,54.9934191665972,48.0192819949546,38.3694811129537,57.6690828769554
