race_name,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"American Indian or Alaskan Native",Alabama,1,3,3,6,.,.,.,.,.,.
Asian,Alabama,1,4,6,10,39.5636416995106,0,89.387123913753,.,.,.
Black,Alabama,1,220,245,465,44.5014953707551,38.7864940252843,50.216496716226,42.9307336809872,29.9765059520471,55.8849614099274
Hispanic,Alabama,1,8,22,30,.,.,.,.,.,.
Multiracial,Alabama,1,2,14,16,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Alabama,1,1,2,3,.,.,.,.,.,.
White,Alabama,1,392,388,780,47.3948684882148,43.0872298563259,51.7025071201037,48.1807568225909,36.2058083708842,60.1557052742975
"American Indian or Alaskan Native",Alaska,2,81,128,209,38.447759786477,30.3046529749215,46.5908665980326,37.6041842002766,23.7474959427503,51.4608724578029
Asian,Alaska,2,13,34,47,29.9479669444131,12.3514540685303,47.5444798202959,43.1213804006596,20.5984689345435,65.6442918667758
Black,Alaska,2,8,18,26,42.7522438083737,25.6030145409617,59.9014730757858,59.4655081206371,53.4361834116802,65.4948328295941
Hispanic,Alaska,2,30,42,72,33.5401546775381,20.4472604485295,46.6330489065467,37.3614102206114,20.0123378915584,54.7104825496644
Multiracial,Alaska,2,57,61,118,51.1824126591226,39.5017837376103,62.8630415806348,48.2369955658499,24.7781277310031,71.6958634006967
"Native Hawaiian or other Pacific
Islander",Alaska,2,3,13,16,.,.,.,.,.,.
White,Alaska,2,505,576,1081,46.9896597607557,43.1704124479094,50.8089070736021,45.9726468311182,35.1126296757564,56.8326639864799
"American Indian or Alaskan Native",Arizona,4,47,110,157,33.2207199370179,21.5501326045124,44.8913072695235,34.3337632197469,21.1406830249424,47.5268434145514
Asian,Arizona,4,14,29,43,.,.,.,.,.,.
Black,Arizona,4,41,37,78,54.204635941855,39.1788853453682,69.2303865383419,.,.,.
Hispanic,Arizona,4,237,354,591,36.4639063497688,30.8910701263346,42.0367425732029,39.4923875681127,26.5223504019118,52.4624247343137
Multiracial,Arizona,4,20,40,60,30.3609513537195,14.6454667280578,46.0764359793812,.,.,.
"Native Hawaiian or other Pacific
Islander",Arizona,4,2,6,8,.,.,.,.,.,.
White,Arizona,4,640,898,1538,43.7533257930995,39.8439560841604,47.6626955020386,41.1440043053607,30.0659002400066,52.2221083707149
"American Indian or Alaskan Native",Arkansas,5,7,18,25,.,.,.,.,.,.
Asian,Arkansas,5,3,8,11,.,.,.,.,.,.
Black,Arkansas,5,57,118,175,30.9563943101287,21.5166780216979,40.3961105985595,34.1714331037888,19.2296437281323,49.1132224794452
Hispanic,Arkansas,5,21,35,56,39.6058015487625,23.9491856070154,55.2624174905096,.,.,.
Multiracial,Arkansas,5,11,25,36,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Arkansas,5,0,4,4,.,.,.,.,.,.
White,Arkansas,5,414,565,979,41.9742693448362,38.33517521551,45.6133634741624,40.2163517436864,30.0245983739795,50.4081051133933
"American Indian or Alaskan Native",California,6,15,23,38,35.7170422117955,15.661128895827,55.7729555277641,42.2401511235681,26.124479011,58.3558232361362
Asian,California,6,100,168,268,41.8861954630372,33.9573211747843,49.8150697512901,39.5704011243472,22.4163291374163,56.724473111278
Black,California,6,103,105,208,49.328359168477,39.534425312106,59.122293024848,50.3575982305367,34.3833825656858,66.3318138953876
Hispanic,California,6,344,461,805,36.8801908204373,32.6781550454261,41.0822265954485,34.6228368422088,23.6614732553481,45.5842004290695
Multiracial,California,6,33,41,74,47.1841565491652,30.8628345465245,63.505478551806,49.4420629376137,27.6388606547458,71.2452652204817
"Native Hawaiian or other Pacific
Islander",California,6,9,14,23,46.762482314585,29.681123508011,63.843841121159,.,.,.
White,California,6,750,615,1365,54.1073861259812,50.5634938300546,57.6512784219079,51.0833290956083,40.2923052301759,61.8743529610406
"American Indian or Alaskan Native",Colorado,8,11,14,25,40.3659769504576,14.7535218138858,65.9784320870294,.,.,.
Asian,Colorado,8,34,41,75,40.8106530095887,27.3550482914463,54.2662577277312,.,.,.
Black,Colorado,8,33,53,86,36.9704575795185,26.9065996135283,47.0343155455088,.,.,.
Hispanic,Colorado,8,219,322,541,40.3726222092869,35.0129868200271,45.7322575985467,39.4775426245557,24.8082134649878,54.1468717841237
Multiracial,Colorado,8,30,38,68,46.5494529987142,34.7667504446543,58.3321555527742,46.4230696603109,26.4478561846599,66.398283135962
"Native Hawaiian or other Pacific
Islander",Colorado,8,1,5,6,.,.,.,.,.,.
White,Colorado,8,1068,942,2010,52.5994547201562,50.0214537133366,55.1774557269758,51.4136268977194,43.3341343813824,59.4931194140563
"American Indian or Alaskan Native",Connecticut,9,5,7,12,49.1182335823774,19.0312267783917,79.2052403863632,79.4017695739287,65.9614857694405,92.8420533784169
Asian,Connecticut,9,23,47,70,29.9642374810218,17.4845310741421,42.4439438879016,51.4012349699983,30.5975455521676,72.2049243878289
Black,Connecticut,9,128,115,243,49.6770180266779,40.7957278916594,58.5583081616965,50.3756911468003,29.4913809909038,71.2600013026969
Hispanic,Connecticut,9,185,242,427,40.8650041516549,34.8865646481284,46.8434436551813,44.2499556134663,32.9084191501533,55.5914920767794
Multiracial,Connecticut,9,29,26,55,60.5093102627552,43.8036758709911,77.2149446545193,67.1786614498773,40.1904299972608,94.1668929024938
"Native Hawaiian or other Pacific
Islander",Connecticut,9,4,2,6,37.5786426684706,0,100,.,.,.
White,Connecticut,9,1151,756,1907,58.7265009587014,55.5066158520356,61.9463860653673,57.8258179686751,48.0460001087663,67.6056358285838
"American Indian or Alaskan Native",Delaware,10,3,3,6,.,.,.,.,.,.
Asian,Delaware,10,7,9,16,35.6660627234754,13.5378784603248,57.794246986626,54.7075735855446,29.0730154096821,80.342131761407
Black,Delaware,10,101,106,207,49.4484219090773,40.0398485645673,58.8569952535874,.,.,.
Hispanic,Delaware,10,51,96,147,32.1160885335219,22.2470114969455,41.9851655700984,33.1537506323909,14.2387374576541,52.0687638071277
Multiracial,Delaware,10,12,12,24,.,.,.,.,.,.
"Native Hawaiian or other Pacific
Islander",Delaware,10,1,1,2,.,.,.,.,.,.
