state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
Alabama,1,630,680,1310,44.0683934298088,40.5965454061274,47.5402414534902,44.1764695213837,34.3094021291352,54.0435369136321
Alaska,2,697,872,1569,43.4123770047932,40.1159648565125,46.7087891530738,43.5533171018942,33.5399050129274,53.5667291908611
Arizona,4,1001,1474,2475,40.284226053794,37.2775535291785,43.2908985784094,39.9907591720529,30.6236462673018,49.3578720768039
Arkansas,5,513,773,1286,38.6376013647516,35.3211618438222,41.9540408856811,38.1933256362517,29.1695095778269,47.2171416946766
California,6,1354,1427,2781,44.3107509137909,41.6753896699972,46.9461121575847,42.2608536454435,34.1780265755387,50.3436807153483
Colorado,8,1396,1415,2811,48.3459834012561,46.0985162265823,50.5934505759299,47.0724440923892,39.8570386679814,54.2878495167969
Connecticut,9,1525,1195,2720,52.842464469924,50.1312141235334,55.5537148163146,52.6524886768366,44.8247259009943,60.4802514526789
Delaware,10,549,562,1111,46.5307187736552,42.438375406146,50.6230621411645,45.8712835967105,34.2856420540342,57.4569251393868
"District of Columbia",11,538,447,985,49.922000837523,45.9007970033301,53.9432046717158,52.0195332020995,38.9362864857145,65.1027799184845
Florida,12,1477,1719,3196,44.1485647002437,40.7152892269689,47.5818401735186,43.2491422828686,35.9099700929963,50.5883144727409
Georgia,13,1157,1252,2409,46.586189460292,43.7412090858041,49.4311698347798,44.9829056837767,37.6278165007547,52.3379948667986
Hawaii,15,979,1182,2161,44.4266876040423,41.6135656911367,47.2398095169479,44.6865517455634,35.9235060452326,53.4495974458943
Idaho,16,804,1054,1858,40.2392178464753,37.5605064609474,42.9179292320032,39.409775218442,31.5767067108296,47.2428437260544
Illinois,17,573,697,1270,42.2627494679373,38.7416196147935,45.783879321081,41.6349292901604,29.0707492345303,54.1991093457905
Indiana,18,1307,1458,2765,44.3305909180424,42.1406632802381,46.5205185558467,42.0938864671545,35.7669512443288,48.4208216899801
Iowa,19,1090,1274,2364,46.9847455282925,44.416703494643,49.552787561942,44.4127587147971,37.2156836546483,51.6098337749459
Kansas,20,1322,1517,2839,45.3486760062177,42.921015127204,47.7763368852315,43.4337066592649,36.9470078950565,49.9204054234733
