age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_45_49,Alabama,1,73,186,259,30.4001286053989,23.4840062646571,37.3162509461407,.,.,.
_50_54,Alabama,1,173,133,306,53.2747691748283,46.573620634081,59.9759177155756,.,.,.
_55_59,Alabama,1,287,90,377,75.2245031455477,70.0335910714577,80.4154152196377,.,.,.
_60_64,Alabama,1,348,96,444,74.3416922778553,69.6298247503616,79.053559805349,.,.,.
_65_69,Alabama,1,399,79,478,82.6011552824143,78.2302853922621,86.9720251725664,.,.,.
_70_75,Alabama,1,502,85,587,85.0259525220868,81.3498570138975,88.7020480302761,.,.,.
_45_49,Alaska,2,100,246,346,30.45122193579,23.8901543213585,37.0122895502214,.,.,.
_50_54,Alaska,2,195,180,375,49.6764387013747,43.2062901401592,56.1465872625903,.,.,.
_55_59,Alaska,2,323,168,491,62.9000341065933,56.2641139311133,69.5359542820733,.,.,.
_60_64,Alaska,2,403,167,570,72.9624988504692,68.1176919484519,77.8073057524866,.,.,.
_65_69,Alaska,2,479,142,621,78.1159489974646,73.8908040102704,82.3410939846589,.,.,.
_70_75,Alaska,2,449,160,609,75.8153385195666,71.2803639752427,80.3503130638905,.,.,.
_45_49,Arizona,4,134,392,526,27.4224532094803,21.7517551598504,33.0931512591101,.,.,.
_50_54,Arizona,4,287,347,634,45.2194031335781,39.2912709767961,51.1475352903601,.,.,.
_55_59,Arizona,4,428,257,685,67.0564385537667,61.5172798244343,72.5955972830992,.,.,.
_60_64,Arizona,4,667,267,934,72.1941842305142,67.1161606350442,77.2722078259843,.,.,.
_65_69,Arizona,4,774,267,1041,75.5020620192711,71.3948312324898,79.6092928060524,.,.,.
_70_75,Arizona,4,1009,301,1310,77.6442175128808,73.8979868533945,81.3904481723672,.,.,.
_45_49,Arkansas,5,93,194,287,32.6520911667314,26.4254542119672,38.8787281214955,.,.,.
_50_54,Arkansas,5,186,170,356,49.7126514501361,43.6798860049997,55.7454168952724,.,.,.
_55_59,Arkansas,5,262,122,384,69.7560085724405,64.1588242989842,75.3531928458969,.,.,.
_60_64,Arkansas,5,329,132,461,68.9095630597217,63.6575035140389,74.1616226054046,.,.,.
_65_69,Arkansas,5,398,138,536,74.0596154000063,69.5514268355699,78.5678039644427,.,.,.
_70_75,Arkansas,5,523,107,630,82.7564774311781,79.1021853421946,86.4107695201616,.,.,.
_45_49,California,6,165,423,588,28.9020903783245,23.7340270934527,34.0701536631963,.,.,.
_50_54,California,6,356,373,729,48.7611677944847,43.3280375562885,54.1942980326808,.,.,.
_55_59,California,6,513,240,753,65.0965283647813,59.821302375488,70.3717543540746,.,.,.
_60_64,California,6,573,227,800,70.3092290240587,65.4360498636803,75.182408184437,.,.,.
_65_69,California,6,583,167,750,79.133568450108,74.7768493940227,83.4902875061933,.,.,.
_70_75,California,6,700,175,875,75.6407334615105,70.5570388438314,80.7244280791896,.,.,.
_45_49,Colorado,8,169,469,638,26.3144076802001,22.5114594363781,30.1173559240221,.,.,.
_50_54,Colorado,8,377,311,688,56.124826853741,51.5181728445607,60.7314808629214,.,.,.
_55_59,Colorado,8,450,199,649,68.6091202203232,64.2234976534249,72.9947427872215,.,.,.
_60_64,Colorado,8,608,209,817,74.189379369427,70.5809851700833,77.7977735687707,.,.,.
_65_69,Colorado,8,643,152,795,81.0672594856911,77.0830271688532,85.0514918025291,.,.,.
_70_75,Colorado,8,698,125,823,85.2593604981419,82.0303817922656,88.4883392040181,.,.,.
_45_49,Connecticut,9,196,338,534,41.2873729667152,35.6595666125168,46.9151793209136,.,.,.
_50_54,Connecticut,9,453,261,714,64.4744118065747,59.5725636560758,69.3762599570735,.,.,.
_55_59,Connecticut,9,640,142,782,81.5557102878056,77.7342009676666,85.3772196079446,.,.,.
_60_64,Connecticut,9,795,163,958,81.1112252242984,76.7392722905598,85.483178158037,.,.,.
_65_69,Connecticut,9,852,137,989,86.0430836604016,82.1487131000719,89.9374542207312,.,.,.
_70_75,Connecticut,9,789,105,894,87.7333651063094,84.060835282307,91.4058949303117,.,.,.
_45_49,Delaware,10,72,154,226,31.7584722306111,23.5839692856352,39.932975175587,.,.,.
_50_54,Delaware,10,159,122,281,58.9683959938253,51.6110380361731,66.3257539514775,.,.,.
_55_59,Delaware,10,213,81,294,71.4276733889232,64.1030191661693,78.7523276116771,.,.,.
_60_64,Delaware,10,289,85,374,80.6915254357547,75.835819280132,85.5472315913774,.,.,.
_65_69,Delaware,10,358,90,448,80.3703376953029,75.6849562269003,85.0557191637055,.,.,.
_70_75,Delaware,10,403,72,475,82.5154696903943,77.5351154675942,87.4958239131945,.,.,.
_45_49,"District of Columbia",11,70,123,193,34.4444464528038,26.6908011319359,42.1980917736717,.,.,.
_50_54,"District of Columbia",11,132,80,212,59.4721298171977,50.7666525796461,68.1776070547492,.,.,.
_55_59,"District of Columbia",11,170,41,211,80.6017302473673,74.159109930582,87.0443505641526,.,.,.
_60_64,"District of Columbia",11,177,38,215,82.1251139868912,75.9192835521144,88.330944421668,.,.,.
_65_69,"District of Columbia",11,180,35,215,84.0801266226105,77.8520573443685,90.3081959008524,.,.,.
_70_75,"District of Columbia",11,284,47,331,85.4875779496327,80.9130452132203,90.0621106860452,.,.,.
_45_49,Florida,12,202,428,630,32.8629402350132,24.7101252885082,41.0157551815182,.,.,.
_50_54,Florida,12,437,383,820,53.1874578718539,46.5616982983483,59.8132174453594,.,.,.
_55_59,Florida,12,681,268,949,69.6217817905998,63.6987020593329,75.5448615218667,.,.,.
_60_64,Florida,12,936,293,1229,74.7508638318773,69.0111038113926,80.490623852362,.,.,.
_65_69,Florida,12,1106,256,1362,77.5978302201722,72.1974768840475,82.998183556297,.,.,.
_70_75,Florida,12,1431,239,1670,85.6749300395594,82.4474517775732,88.9024083015456,.,.,.
_45_49,Georgia,13,138,337,475,28.9443643671022,23.1090599586924,34.779668775512,.,.,.
_50_54,Georgia,13,346,257,603,55.7665530651158,50.2515804870585,61.2815256431731,.,.,.
_55_59,Georgia,13,456,192,648,70.8606053225372,65.6521227845598,76.0690878605145,.,.,.
_60_64,Georgia,13,600,195,795,74.4122000365952,70.0966278122314,78.7277722609591,.,.,.
_65_69,Georgia,13,719,159,878,80.1062484518493,76.0832661993833,84.1292307043153,.,.,.
_70_75,Georgia,13,891,137,1028,85.8567736247708,82.6247567097054,89.0887905398362,.,.,.
_45_49,Hawaii,15,101,345,446,28.3201194666085,22.5078674528627,34.1323714803543,.,.,.
_50_54,Hawaii,15,283,208,491,59.3356260926808,53.6624970327939,65.0087551525676,.,.,.
_55_59,Hawaii,15,400,154,554,75.0723167741287,70.093315332592,80.0513182156654,.,.,.
_60_64,Hawaii,15,489,158,647,75.4229229363543,70.6438244240581,80.2020214486505,.,.,.
_65_69,Hawaii,15,589,138,727,80.2128875844185,75.6946566608334,84.7311185080036,.,.,.
_70_75,Hawaii,15,847,207,1054,76.4984917037625,71.9769905336293,81.0199928738957,.,.,.
_45_49,Idaho,16,122,325,447,28.4860021462918,23.7598764918654,33.2121278007182,.,.,.
_50_54,Idaho,16,250,211,461,52.5104919777974,47.1938911492915,57.8270928063032,.,.,.
_55_59,Idaho,16,296,145,441,64.5503624424182,59.3523310671346,69.7483938177018,.,.,.
_60_64,Idaho,16,399,153,552,72.7100850764818,68.531747020304,76.8884231326597,.,.,.
_65_69,Idaho,16,413,130,543,76.7045203786826,72.8659140773881,80.5431266799771,.,.,.
_70_75,Idaho,16,490,130,620,79.7084600272484,76.1144458694051,83.3024741850917,.,.,.
_45_49,Illinois,17,77,211,288,31.9875884028686,25.0041669104964,38.9710098952408,.,.,.
_50_54,Illinois,17,146,147,293,54.8790154017182,47.7875955657682,61.9704352376681,.,.,.
_55_59,Illinois,17,189,115,304,66.9114512665321,60.8078648664182,73.0150376666459,.,.,.
_60_64,Illinois,17,234,97,331,68.6174165962915,61.738175565166,75.496657627417,.,.,.
_65_69,Illinois,17,253,86,339,82.0758918864624,77.5039326594852,86.6478511134396,.,.,.
_70_75,Illinois,17,279,52,331,86.5087316761165,82.181247772798,90.8362155794349,.,.,.
_45_49,Indiana,18,196,406,602,31.9927939191791,27.9207606954263,36.064827142932,.,.,.
_50_54,Indiana,18,402,311,713,56.0304273668667,51.879294279601,60.1815604541323,.,.,.
_55_59,Indiana,18,576,201,777,73.396427023131,69.9348351275875,76.8580189186745,.,.,.
_60_64,Indiana,18,764,208,972,79.6722372030007,76.522087948956,82.8223864570453,.,.,.
_65_69,Indiana,18,836,172,1008,82.3969739247792,79.5710646473104,85.222883202248,.,.,.
_70_75,Indiana,18,901,155,1056,85.2385811877343,82.3431546811117,88.1340076943569,.,.,.
_45_49,Iowa,19,138,362,500,27.7763021571788,23.2334871269384,32.3191171874192,.,.,.
_50_54,Iowa,19,314,247,561,56.1037180482375,51.259971240749,60.9474648557259,.,.,.
_55_59,Iowa,19,518,153,671,77.2792775267237,73.4111272170126,81.1474278364348,.,.,.
_60_64,Iowa,19,620,184,804,77.1025542801592,73.5611776022923,80.643930958026,.,.,.
_65_69,Iowa,19,751,150,901,82.9370451540378,79.8007945665401,86.0732957415354,.,.,.
_70_75,Iowa,19,803,172,975,81.1083390118081,77.9374384098203,84.2792396137958,.,.,.
_45_49,Kansas,20,173,452,625,27.7387140999742,23.083355891462,32.3940723084864,.,.,.
_50_54,Kansas,20,379,302,681,52.4216683270579,47.4977940662919,57.3455425878238,.,.,.
_55_59,Kansas,20,570,224,794,70.8970456010497,66.6871932624326,75.1068979396668,.,.,.
_60_64,Kansas,20,767,271,1038,73.8132169779846,70.1362618517695,77.4901721041998,.,.,.
_65_69,Kansas,20,937,241,1178,79.4480810150259,76.2887104054975,82.6074516245543,.,.,.
_70_75,Kansas,20,1018,234,1252,81.7150652250202,78.9598912799269,84.4702391701136,.,.,.
