income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Less than $15,000",Alabama,1,96,59,155,62.1419694950621,52.7983634331941,71.4855755569302,57.8296144911132,39.8535955174476,75.8056334647787
"$15,000 to < $25,000",Alabama,1,190,75,265,63.1956070013622,56.3485974232544,70.0426165794699,57.2901416905631,39.790738895338,74.7895444857882
"$25,000 to < $35,000",Alabama,1,184,77,261,63.6421288399843,55.7600508988605,71.524206781108,51.932405396034,40.3047945137707,63.5600162782973
"$35,000 to < $50,000",Alabama,1,213,69,282,69.4179720647108,62.55234717282,76.2835969566016,56.2189183829249,42.9470862054883,69.4907505603615
"$50,000 to < $75,000",Alabama,1,268,83,351,72.6735606873409,67.1078406059452,78.2392807687366,67.1115926391937,51.8370623340803,82.3861229443071
"$75,000 to < $100,000",Alabama,1,173,51,224,71.333674378082,63.3469252678391,79.3204234883249,62.7908680646678,48.8972878914238,76.6844482379118
"$100,000 to < $200,000",Alabama,1,279,107,386,68.777577031086,63.0758780932578,74.4792759689142,61.1689478168478,50.7832110784369,71.5546845552587
"$200,000 or more",Alabama,1,67,18,85,76.580647043707,66.7339247514855,86.4273693359284,71.7624478022088,59.092958175184,84.4319374292335
"Don’t know/Not sure/Missing",Alabama,1,312,130,442,65.1317053408941,58.7364412203623,71.5269694614259,50.4274529140287,38.4587163329269,62.3961894951305
"Less than $15,000",Alaska,2,72,83,155,51.8292060604906,40.6214669606916,63.0369451602896,48.0072517048856,26.3814484314946,69.6330549782766
"$15,000 to < $25,000",Alaska,2,103,91,194,48.284229792247,37.2508471075483,59.3176124769456,42.1607134492913,26.8544323972546,57.466994501328
"$25,000 to < $35,000",Alaska,2,121,92,213,53.7622103877775,44.8290257140726,62.6953950614824,41.8591032826172,23.9649649775254,59.7532415877091
"$35,000 to < $50,000",Alaska,2,163,105,268,62.497191490457,54.8357307855642,70.1586521953497,49.4955707410107,30.4756853569899,68.5154561250315
"$50,000 to < $75,000",Alaska,2,304,149,453,66.5687351185171,60.8799517711603,72.2575184658738,53.581221458536,41.2795543421369,65.8828885749352
"$75,000 to < $100,000",Alaska,2,278,126,404,64.2962457029668,56.9966190630538,71.5958723428799,58.1432972133889,43.5595921154367,72.7270023113411
"$100,000 to < $200,000",Alaska,2,477,209,686,66.6353002109063,61.6998934690795,71.570706952733,62.3165121330505,52.3261941530568,72.3068301130442
"$200,000 or more",Alaska,2,132,78,210,56.1520937147944,47.6100378023556,64.6941496272332,57.7159807395668,45.5815569806256,69.850404498508
"Don’t know/Not sure/Missing",Alaska,2,299,130,429,66.02013377021,59.2083090212789,72.8319585191412,54.6188186513494,41.5546335981761,67.6830037045227
"Less than $15,000",Arizona,4,183,158,341,45.2549552273992,36.2149104007384,54.2950000540599,38.1909287947484,21.1546185615844,55.2272390279124
"$15,000 to < $25,000",Arizona,4,265,201,466,57.975786734253,50.6074469301298,65.3441265383762,48.9631541762716,33.1829927147481,64.7433156377951
"$25,000 to < $35,000",Arizona,4,312,209,521,60.5026496861804,53.2033628661866,67.8019365061742,50.4200106094971,34.9142233746155,65.9257978443788
"$35,000 to < $50,000",Arizona,4,393,224,617,55.0450403322563,47.968761368435,62.1213192960777,48.1423732297277,32.8778196559256,63.4069268035297
