age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_50_54,Alabama,1,6,20,26,.,.,.,.,.,.
_55_59,Alabama,1,6,29,35,19.3958053519835,8.41816499902691,30.3734457049401,.,.,.
_60_64,Alabama,1,15,34,49,38.6805558610797,21.6311310267354,55.729980695424,.,.,.
_65_69,Alabama,1,18,22,40,49.7961667606637,32.0266413549483,67.5656921663792,.,.,.
_70_74,Alabama,1,18,25,43,34.9419032341302,16.063971513136,53.8198349551244,.,.,.
_75_79,Alabama,1,3,11,14,42.879820327714,36.8812687777741,48.8783718776539,.,.,.
_50_54,Alaska,2,6,22,28,16.8770120434278,6.42209408379256,27.3319300030631,.,.,.
_55_59,Alaska,2,7,30,37,.,.,.,.,.,.
_60_64,Alaska,2,11,47,58,.,.,.,.,.,.
_65_69,Alaska,2,12,37,49,.,.,.,.,.,.
_70_74,Alaska,2,6,23,29,.,.,.,.,.,.
_75_79,Alaska,2,7,8,15,41.0533723319262,21.1315427770447,60.9752018868077,.,.,.
_50_54,Arizona,4,5,30,35,.,.,.,.,.,.
_55_59,Arizona,4,8,47,55,.,.,.,.,.,.
_60_64,Arizona,4,13,50,63,.,.,.,.,.,.
_65_69,Arizona,4,22,63,85,28.4362808296482,14.1591157595309,42.7134458997655,.,.,.
_70_74,Arizona,4,31,60,91,33.9420969121765,19.8189428362617,48.0652509880912,.,.,.
_75_79,Arizona,4,8,40,48,.,.,.,.,.,.
_50_54,Arkansas,5,2,27,29,.,.,.,.,.,.
_55_59,Arkansas,5,8,40,48,.,.,.,.,.,.
_60_64,Arkansas,5,16,37,53,33.5081548239196,19.5731209898409,47.4431886579984,.,.,.
_65_69,Arkansas,5,28,38,66,45.6484257237722,29.4141038812992,61.8827475662452,.,.,.
_70_74,Arkansas,5,21,49,70,26.6997597234014,16.578956355199,36.8205630916038,.,.,.
_75_79,Arkansas,5,8,21,29,.,.,.,.,.,.
_50_54,California,6,2,20,22,.,.,.,.,.,.
_55_59,California,6,5,34,39,.,.,.,.,.,.
_60_64,California,6,9,36,45,.,.,.,.,.,.
_65_69,California,6,4,31,35,.,.,.,.,.,.
_70_74,California,6,15,23,38,48.3127135561497,23.8486167156494,72.77681039665,.,.,.
_75_79,California,6,14,18,32,53.9169877287411,31.6195901185633,76.2143853389189,.,.,.
_50_54,Colorado,8,2,18,20,.,.,.,.,.,.
_55_59,Colorado,8,6,28,34,.,.,.,.,.,.
_60_64,Colorado,8,8,48,56,.,.,.,.,.,.
_65_69,Colorado,8,14,37,51,20.507147381695,9.57584354810135,31.4384512152887,.,.,.
_70_74,Colorado,8,11,17,28,53.9513340018751,30.549674239897,77.3529937638533,.,.,.
_75_79,Colorado,8,2,11,13,.,.,.,.,.,.
_50_54,Connecticut,9,9,19,28,.,.,.,.,.,.
_55_59,Connecticut,9,11,36,47,34.5914704908001,15.6780209616185,53.5049200199817,.,.,.
_60_64,Connecticut,9,22,43,65,32.2448395706582,15.9905655486585,48.4991135926579,.,.,.
_65_69,Connecticut,9,30,34,64,44.2646898862417,30.1782039411605,58.3511758313229,.,.,.
_70_74,Connecticut,9,23,26,49,43.0330934656876,20.3938178052065,65.6723691261687,.,.,.
_75_79,Connecticut,9,15,11,26,74.5194201663138,59.599834447521,89.4390058851066,.,.,.
_50_54,Delaware,10,0,14,14,.,.,.,.,.,.
_55_59,Delaware,10,8,17,25,.,.,.,.,.,.
_60_64,Delaware,10,23,28,51,51.6253319651347,32.1363425216888,71.1143214085807,.,.,.
_65_69,Delaware,10,13,33,46,29.2236932189142,12.4796034332828,45.9677830045457,.,.,.
_70_74,Delaware,10,10,17,27,36.349534650369,15.9083559952536,56.7907133054844,.,.,.
_75_79,Delaware,10,3,5,8,37.5637032946681,20.1684379868051,54.9589686025311,.,.,.
_50_54,"District of Columbia",11,0,4,4,.,.,.,.,.,.
_55_59,"District of Columbia",11,2,5,7,.,.,.,.,.,.
_60_64,"District of Columbia",11,5,5,10,.,.,.,.,.,.
_65_69,"District of Columbia",11,6,7,13,.,.,.,.,.,.
_70_74,"District of Columbia",11,5,12,17,.,.,.,.,.,.
_75_79,"District of Columbia",11,3,3,6,.,.,.,.,.,.
_50_54,Florida,12,9,62,71,17.6398039915156,14.8312636849555,20.4483442980757,.,.,.
_55_59,Florida,12,22,81,103,20.5587990851827,12.9530337150372,28.1645644553281,.,.,.
_60_64,Florida,12,35,109,144,31.4854905841193,27.0321808889865,35.938800279252,.,.,.
_65_69,Florida,12,58,100,158,36.5950636371524,26.4317842837572,46.7583429905476,.,.,.
_70_74,Florida,12,43,79,122,22.7910770430182,17.3201106123884,28.262043473648,.,.,.
_75_79,Florida,12,26,53,79,27.6218079245448,16.3726596462406,38.870956202849,.,.,.
_50_54,Georgia,13,1,22,23,2.19004935473568,2.02786906628997,2.35222964318139,.,.,.
_55_59,Georgia,13,1,53,54,0.86347288413198,0.77576035275863,0.95118541550533,.,.,.
_60_64,Georgia,13,15,50,65,.,.,.,.,.,.
_65_69,Georgia,13,20,59,79,20.2342705813513,8.19798297534561,32.270558187357,.,.,.
_70_74,Georgia,13,29,47,76,41.9913726837672,26.1962997380068,57.7864456295276,.,.,.
_75_79,Georgia,13,20,17,37,63.5824145624147,43.2586452552104,83.906183869619,.,.,.
_50_54,Hawaii,15,2,21,23,.,.,.,.,.,.
_55_59,Hawaii,15,2,28,30,.,.,.,.,.,.
_60_64,Hawaii,15,8,30,38,29.7954938283104,13.1894005384114,46.4015871182093,.,.,.
_65_69,Hawaii,15,12,21,33,.,.,.,.,.,.
_70_74,Hawaii,15,18,43,61,44.0924100651463,18.9575747401722,69.2272453901203,.,.,.
_75_79,Hawaii,15,8,21,29,.,.,.,.,.,.
_50_54,Idaho,16,2,19,21,.,.,.,.,.,.
_55_59,Idaho,16,6,17,23,33.2093136792135,20.4689859195268,45.9496414389001,.,.,.
_60_64,Idaho,16,10,28,38,.,.,.,.,.,.
_65_69,Idaho,16,5,18,23,.,.,.,.,.,.
_70_74,Idaho,16,10,15,25,45.2640993063713,21.2781950728628,69.2500035398797,.,.,.
_75_79,Idaho,16,4,14,18,20.7205863208617,12.7886983609738,28.6524742807496,.,.,.
